AneedaOpinionResponse,AneedaOpinionArtist,AneedaOpinionKeyword
what do you think about drake,drake,
what do you think about rihanna,rihanna,
what do you think about will.i.am ,will.i.am,
what do you think about the black eyed peas,the black eyed peas,
what do you think about madonna ,madonna,
what do you think about lady gaga,lady gaga,
what do you think about twenty one pilots ,twenty one pilots,
what do you think about coldplay,coldplay,
what do you think about u2,u2,
what do you think about justin bieber,justin bieber,
what do you think about justin timberlake ,justin timberlake,
what do you think about snoop dogg ,snoop dogg,
what do you think about jay z,jay z,
what do you think about taylor swift ,taylor swift,
what do you think about lorde,lorde,
what do you think about kiiara,kiiara,
what do you think about calvin harris ,calvin harris,
what do you think about skrillex,skrillex,
what do you think about diplo,diplo,
what do you think about david guetta,david guetta,
what do you think about avicii,avicii,
what do you think about major lazer,major lazer,
what do you think about fifth harmony,fifth harmony,
what do you think about charlie puth ,charlie puth,
what do you think about meghan trainor,meghan trainor,
what do you think about carrie underwood,carrie underwood,
what do you think about skrillex,skrillex,
what do you think about ty dolla sign ,ty dolla sign ,
what do you think about fergie,fergie,
what do you think about little mix,little mix,
what do you think about usher,usher,
what do you think about jay z,jay z,
what do you think about beyonce,beyonce,
what do you think about paul mccartney ,paul mccartney,
what do you think about a tribe called quest ,a tribe called quest,
what do you think about ll cool j ,ll cool j,
what do you think about zz top ,zz top,
what do you think about bruno mars ,bruno mars,
what do you think about maroon 5,maroon 5,
what do you think about rita ora,rita ora,
what do you think about jessie j,jessie j,
what do you think about pink ,pink,
what do you think about shakira,shakira,
what do you think about mandy moore,mandy moore,
what do you think about nicki minaj ,nicki minaj,
what do you think about global warming ,,global warming
what do you think about donald trump ,,donald trump
what do you think about china,,china
what do you think about sushi ,,sushi
what do you think about time travel ,,time travel
what do you think about singularity ,,singularity
what do you think about black holes ,,black holes
what do you think about kim kardashian ,,kim kardashian
what do you think about kendall jenner,,kendall jenner
what do you think about hillary clinton ,,hillary clinton
what do you think about life ,,life
what do you think about machine learning ,,machine learning
what do you think about fidel castro ,,fidel castro
what do you think about christmas ,,christmas
what do you think about holidays ,,holidays
what do you think about going to hawaii ,,going to hawaii
what do you think about musicals,,musicals
what do you think about hamilton ,,hamilton
what do you think about starbucks,,starbucks
what do you think about mcdonalds,,mcdonalds
what do you think about kanye's shoes,,kanye's shoes
what do you think about black lives matter,,black lives matter
what do you think about bananas,,bananas
what do you think about nobu ,,nobu
what do you think about kobe beef,,kobe beef
what do you think about japan,,japan
what do you think about chinese food,,chinese food
what do you think about italian food,,italian food
what do you think about eating raw fish ,,eating raw fish
what do you think about the weather ,,the weather
what do you think about fine dining,,fine dining
what do you think about movies today ,,movies today
what do you think about tv shows today,,tv shows today
what do you think about crime,,crime
what do you think about disney land,,disney land
what do you think about singapore ,,singapore
what do you think about the kardashians ,,the kardashians
what do you think about gun violence ,,gun violence
what do you think about black mirror,,black mirror
what do you think about diets,,diets
what do you think about the paleo diet ,,the paleo diet
what do you think about the great escape ,,the great escape
what do you think of the roots,the roots,
what do you think of toni braxton ,toni braxton,
what do you think of kiiara,kiiara,
what do you think of bjork,bjork,
what do you think of britney spears,britney spears,
what do you think of green day,green day,
what do you think of red hot chili peppers,red hot chili peppers,
what do you think of the cranberries,the cranberries,
what do you think of the yeah yeah yeahs,the yeah yeah yeahs,
what do you think of frank sinatra ,frank sinatra,
what do you think of charlie puth ,charlie puth,
what do you think of celine dion ,celine dion,
what do you think of ll cool j,ll cool j,
what do you think of tom jones,tom jones,
what do you think of fergie,fergie,
what do you think of john legend ,john legend,
what do you think of miley cyrus ,miley cyrus,
what do you think of selena gomez,selena gomez,
what do you think of drake ,drake,
what do you think of madonna ,madonna,
what do you think of lady gaga,lady gaga,
what do you think of sia,sia,
what do you think of justin bieber,justin bieber,
what do you think of selena ,selena,
what do you think of rage against the machine,rage against the machine,
what do you think of hootie and the blowfish ,hootie and the blowfish,
what do you think of ginuwine,ginuwine,
what do you think of backstreet boys ,backstreet boys,
what do you think of r kelly ,r kelly,
what do you think of TI ,TI,
what do you think of p diddy ,p diddy,
what do you think of fifth harmony ,fifth harmony,
what do you think of shawn mendes,shawn mendes,
what do you think of ed sheeran ,ed sheeran,
what do you think of taylor swift ,taylor swift,
what do you think of calvin harris ,calvin harris,
what do you think of diplo ,diplo,
what do you think of major lazer,major lazer,
what do you think of nina simone,nina simone,
what do you think of queen latifah ,queen latifah,
what do you think of ciara,ciara,
what do you think of alicia keys,alicia keys,
what do you think of french montana,french montana,
what do you think of dj khaled,dj khaled,
what do you think of aerosmith ,aerosmith,
what do you think of the beatles ,the beatles,
what do you think of the rolling stones ,the rolling stones,
what do you think of elvis ,elvis,
what do you think of tina turner,tina turner,
what do you think of john lennon,john lennon,
what do you think of nicki minaj ,nicki minaj,
what do you think of mary j blige ,mary j blige,
what do you think of justin timberlake,justin timberlake,
what do you think of goapele,goapele,
what do you think of nobu ,,nobu
what do you think of new zealand music ,,new zealand music
what do you think of the music in new zealand ,,the music in new zealand
what do you think of the crisis in syria ,,the crisis in syria
what do you think of prussia ,,prussia
what do you think of undocumented immigrants,,undocumented immigrants
what do you think of DAPL,,DAPL
what do you think of Mike Pence,,Mike Pence
what do you think of Obama,,Obama
what do you think of Barack Obama,,Barack Obama
what do you think of Michelle Obama,,Michelle Obama
what do you think of joe biden ,,joe biden
what do you think of putin ,,putin
what do you think of the chinese government ,,the chinese government
what do you think of miami vice ,,miami vice
what do you think of time warner cable ,,time warner cable
what do you think of los angeles ,,los angeles
what are your thoughts on adele,adele,
what are your thoughts on drake,drake,
what are your thoughts on ll cool j,ll cool j,
what are your thoughts on p diddy ,p diddy,
what are your thoughts on zz top ,zz top,
what are your thoughts on snoop dogg ,snoop dogg,
what are your thoughts on warren g ,warren g,
what are your thoughts on kid rock ,kid rock,
what are your thoughts on shakira ,shakira,
what are your thoughts on sisqo ,sisqo,
what are your thoughts on dru hill ,dru hill,
what are your thoughts on toni braxton ,toni braxton,
what are your thoughts on babyface,babyface,
what are your thoughts on madonna ,madonna,
what are your thoughts on marijuana,,marijuana
what are your thoughts on the legalization of marijuana,,the legalization of marijuana
