BusinessRatingResponse,BusinessRatingLocalBusiness
what are the business ratings,
what's the rating,
what is their rating,their
what are the ratings,
what are their ratings,their
what is the rating of that place,that place
what are their business ratings,their
what are the business ratings of that place,that place
what is the rating of the first one,first one
What are the business ratings of the second one,second one
whats the ratings of the fifth one,fifth one
Tell me the ratings of that place,that place
Tell me the business rating of that place,that place
Tell me the rating of that place,that place
Tell me the ratings of the third one,third one
Tell me their rating,their
Tell me a rating of the fourth one,fourth one
what rating are they open,they
which rating are they open,they
what is their local rating,their
which ratings are listed,
what are their ratings,their
rating,
business rating,
Give me the ratings of that place,that place
Give me the business rating of the last one,last one
Give me the rating of that place,that place
Give me the rating of the third one,third one
Show me the ratings of that place,that place
Show me the business rating of the last one,last one
Show me the rating of that place,that place
Show me the rating of the third one,third one
how many stars do they have,they
how many stars does the third one have,third one
how many stars does it have,
how many stars,
what is the star rating,
how well is it rated,
Show its stars,
Tell me its star rating,
Give me the number of stars,
Tell me the number of stars it has,
show me its star rating,
is it rated well,
does it have a good rating,
it is a good place,
