calendarCheckEvent,calendarDate,calendarTime
am I available Monday at 5pm ,Monday,5pm
am I available on March 13th at 7pm ,march 13th,7pm
am I available on May 11th afternoon  ,may 11th,afternoon 
am I available on May 11th at 5pm ,may 11th,5pm
am I available tomorrow 5pm ,tomorrow,5pm
Am I available tomorrow for lunch?,tomorrow,lunch
am I available Tuesday night at 5pm ,Tuesday,5pm
am I free at 2:30pm on tuesday ,tuesday,2:30pm
am I free at 2pm on april 1st  ,april 1st ,2pm
am I free at 2pm on december 12th  ,december 12th ,2pm
am I free at 2pm on Sunday ,Sunday,2pm
am I free at 3pm next Tuesday ,next Tuesday ,3pm
Am I free at 6pm on Saturday for 1hr,Saturday,6pm
am I free at 8pm tomorrow ,tomorrow,8pm
am I free at noon on monday ,monday,noon
Am I free for breakfast tomorrow?,tomorrow,breakfast
Am I free for dinner on Sunday? ,Sunday,dinner
am I free in the morning on Sunday ,Sunday,morning
am I free Monday afternoon ,monday,afternoon
am I free next Tuesday,next Tuesday,
Am I free next week?,next week,
am I free on december 12th evening,december 12th ,evening
am I free on january 3rd,january 3rd,
am I free on may 5 2017 ,may 5 2017,
Am I free on Monday 2pm?,Monday,2pm
am I free on september 21 2016,september 21 2016,
Am I free on Sunday afternoon?,Sunday,afternoon
am I free on Sunday morning,Sunday,morning
Am I free on Tuesday at 5PM?,Tuesday,5pm
am I free this evening ,,this evening
am I free this Monday,Monday,
Am I free tomorrow for lunch?,tomorrow,lunch
Am I free tomorrow?,tomorrow,
any chance I'm free next Sunday at 5pm,next Sunday,5pm
any chances I am free on Tuesday at 7pm,Tuesday,7pm
are there any chances I'm free on june 14th,june 14th,
are there open times on my schedule tomorrow,tomorrow,
are there open times on my calendar on Monday,monday,
are there opening on my schedule for next Monday afternoon,next Monday,afternoon
are there openings on my calendar this afternoon,,this afternoon
are there any openings on my calendar on june 4th,june 4th,
are there free times on my schedule next Monday morning,next Monday,morning
any openings in my day tomorrow afternoon,tomorrow,afternoon
any open times in my schedule next Tuesday,next Tuesday,
any free time in my day tomorrow,tomorrow,
any free time on my calendar for next Friday,next Friday,
any gaps in my day tomorrow,tomorrow,
any gaps in my schedule next Wednesday night,next Wednesday,night
any gaps in my schedule tomorrow,tomorrow,
any gaps on my schedule on December 12th,December 12th ,
Any time slots available for tomorrow afternoon?,tomorrow,afternoon
can I fit in a meeting on Wednesday afternoon,Wednesday,afternoon
Can I fit this meeting in tonight?,,tonight
Can I meet dad for dinner over this weekend?,this weekend,dinner
Can I meet my friend for lunch on Wednesday?,Wednesday,lunch
can I squeeze in meetings on Wednesday,Wednesday,
can I fit in some meetings Friday night,Friday,night
can I fit in some appointments on december 4th,december 4th,
can I slide in some meetings next Tuesday night,next Tuesday,night
can I slip in a meeting on Friday afternoon,Friday,afternoon
can you see if I am available in the afternoon of december 12th,december 12th ,afternoon
can you see if I am available in the evening on Tuesday,Tuesday,evening
can you see if I am available in the morning tomorrow,tomorrow,morning
can you see if I am available today afternoon,today,afternoon
can you see if I am available today evening,today,evening
can you see if I am available today morning,today,morning
can you see if I am available tomorrow afternoon,tomorrow,afternoon
can you see if I am available tomorrow evening,tomorrow,evening
can you see if I am available tomorrow morning,tomorrow,morning
can you see if I am free today afternoon,today,afternoon
can you see if I am free today in the evening,today,evening
can you see if I am free today in the morning,today,morning
can you see if I am free tomorrow afternoon,tomorrow,afternoon
can you see if I am free tomorrow evening,tomorrow,evening
can you see if I am free tomorrow morning,tomorrow,morning
Can you tell me if there is any free time for Friday noon?,Friday,noon
check if am available in the afternoon,,afternoon
check if am available in the evening,,evening
check if am available in the morning of january 1st,january 1st,morning
check if am available today afternoon,today,afternoon
check if am available today evening,today,evening
check if am available today morning,today,morning
check if am free in the afternoon,,afternoon
check if am free in the evening,,evening
check if am free in the morning,,morning
check if am free today afternoon,today,afternoon
check if am free today evening,today,evening
check if am free today morning,today,morning
check if I am available today at 4,today,4
check if I am free at 7PM tomorrow,tomorrow,7PM
check if I am free at 7PM on october 7th,october 7th,7PM
check if I'm free on may 12th in the evening,may 12th,evening
check that I am free next Tuesday 4pm,next Tuesday,4pm
check that I am free on Sunday morning,Sunday,morning
check that I'm free next Tuesday night,next Tuesday,night
could I fit in some meetings on Friday,Friday,
could I squeeze in some meetings Thursday night,Thursday,night
could you check if I'm free tomorrow at 4pm,tomorrow,4pm
could you see If I am free on march 15th for dinner,march 15th,dinner
could you see if I have an opening on 4pm Thursday,Thursday,4pm
could you see if I have free times available on Friday,friday,
could you check if I am free tomorrow for dinner,tomorrow,dinner
could you see if I'm available on Saturday morning,Saturday,morning
could you check for gaps in my schedule next Monday,next Monday,
Do I have time for a concert on Sunday night,Sunday ,night
Do I have time for a doctor's appointment on Monday,Monday,
Do I have time for a meeting with Chandra tonight?,,tonight
Do I have time for a movie on Monday night?,Monday,night
do I have time for another meeting on Wednesday afternoon,Wednesday,afternoon
Do I have time for dinner on Saturday night,Saturday,night
Do I have time for the concert on Monday,Monday,
Do I have time for the party on Tuesday night,Tuesday,night
Do I have time for the soccer game on Sunday afternoon ,Sunday,afternoon
does it look like I'm free at 5pm Monday,Monday,5pm
does it look like I'm free on next Sunday,next Sunday,
does it look like I'm available next Monday evening,next Monday,evening
does it seem like I'm open on Monday night,Monday,night
