calendarCreateEvent,calendarEvent,calendarTvShow,calendarConcert,calendarSport,calendarDate,calendarTime,calendarTitle,calendarAttendees,calendarLocation,calendarDuration,calendarRecurrence
Add 1 hour lunch meeting with Dorothy Underwood to my agenda,,,,,,,lunch meeting,Dorothy Underwood,,1 hour,
add a 1:30pm meeting for Sunday,,,,,sunday,1:30pm,,,,,
add a 10 minute check in with Peter Lathers every Fridays at noon in my office,,,,,Fridays,noon,check in,peter lathers,my office,10 minute,every
add a 2 and half hour event to my calendar,,,,,,,,,,2 and half hour,
add a 2 hour thing to my schedule,,,,,,,,,,2 hour,
add a 30 minute status meeting in conference room with team every weekday,,,,,,,status meeting,team,conference room,30 minute,every weekday
add a calendar event for tomorrow,,,,,tomorrow,,,,,,
add a call with mom every Sunday 3pm,,,,,sunday,3pm,call,mom,,,every
Add a call with timothy perkins to my schedule,,,,,,,call,timothy perkins,,,
add a daily chat session with tina marie louis at 4:00 pm,,,,,,4:00 pm,chat session,tina marie louis,,,daily
add a daily meeting to my calendar,,,,,,,,,,,daily
add a daily thing to my schedule,,,,,,,,,,,daily
Add a Doctor's appointment on October 12th 2016 at 10AM at Raffles Medical,,,,,October 12th 2016,10am,Doctor's Appointment,,Raffles Medical,,
add a film screening to my calendar for Monday and add jonah hill to it,,,,,Monday,,film screening,jonah hill,,,
add a Friday event to my calendar,,,,,Friday ,,,,,,
add a la petty meeting to my calendar,,,,,,,la petty meeting,,,,
add a meeting at soho house to my calendar,,,,,,,,,soho house,,
add a meeting for 5th of October at 8am for 2 hours,,,,,5th of October,8am,,,,2 hours,
add a meeting for that time,,,,,,that time,,,,,
add a meeting on Monday at noon,,,,,Monday,noon,,,,,
add a meeting to my schedule for Saturday at 2 pm,,,,,Saturday,2 pm,,,,,
add a meeting with alan walker to my calendar,,,,,,,,alan walker,,,
add a meeting with him to my calendar tomorrow night,,,,,tomorrow,night,,him,,,
add a meeting with jane jain to my calendar,,,,,,,,jane jain,,,
add a meeting with tony lee perkins to discuss the TPS reports for one hour,,,,,,,discuss the TPS reports,tony lee perkins,,one hour,
add a morning jog to my calendar every Sunday 9am at hollywood sign,,,,,sunday,9am,morning jog,,hollywood sign,,every
add a new event then,,,,,,then,,,,,
add a one hour session to my calendar,,,,,,,,,,one hour,
Add a reminder for first  movie,,first,,,,,,,,,
add a reminder for first tv program,,first,,,,,,,,,
add a september 12th event to my calendar for 1:00 pm,,,,,september 12th,1:00 pm,,,,,
add a weekly recurring event,,,,,,,,,,,weekly
add a workout session at Gold's Gym to my calendar each Tuesday at 10am,,,,,Tuesday,10am,workout session,,Gold's Gym,,each
add a yoga class to my calendar,,,,,,,yoga class,,,,
Add acting class with Donald at Laugh Factory,,,,,,,acting class,Donald,Laugh Factory,,
add an appointment to my calendar,,,,,,,,,,,
add an appointment to my schedule,,,,,,,,,,,
add an event and set it at the tang center,,,,,,,,,tang center,,
Add an event called ballet class with Jeff for 9am,,,,,,9am,ballet class,jeff,,,
add an event called LA restaurant week,,,,,,,LA restaurant week,,,,
Add an event called pre lighting every Saturday with Jacob,,,,,saturday,,pre lighting,Jacob,,,every
add an event called shopping at target to my calendar,,,,,,,shopping at target,,,,
add an event for noon on Saturday,,,,,Saturday,noon,,,,,
add an event in my calendar called Birthday Party at Joe's house on Sunday,,,,,Sunday,,Birthday Party,,Joe's house,,
add an event on Saturday to my schedule,,,,,Saturday,,,,,,
add an event on Sunday,,,,,Sunday,,,,,,
add an event to my calendar that day for 4pm,,,,,that day,4pm,,,,,
add an event with wen ju yang to my schedule,,,,,,,,wen ju yang,,,
add an hour long conference call with amanda peet at 1 o'clock on wednesday in the lab office,,,,,wednesday,1 o'clock,conference call,amanda peet,lab office,hour,
add an hour of scuba diving with Damon dash on the 5th of may in venice beach,,,,,5th of may,,scuba diving,damon dash,venice beach,an hour,
Add art class with Sally may banks at 5 pm every day,,,,,,5 pm,art class,sally may banks,,,every day
add b ball game to my calendar every Wednesday 4pm in Mount Holly,,,,,Wednesday,4pm,b ball game,,Mount Holly,,every
add babysitting for alan to my calendar,,,,,,,babysitting for alan,,,,
add baseball game at dodger stadium at 1pm on July 9th to my calendar,,,,,July 9th,1pm,baseball game,,dodger stadium,,
Add baseball game at la cienega park on Oct 15th at 5PM to calendar,,,,,Oct 15th,5pm,Baseball Game,,la cienega park,,
add becky's house party to my calendar on Friday and tell ricky about it,,,,,Friday,,becky's house party,ricky,,,
add boxing with Carlton banks at studio one,,,,,,,boxing,carlton banks,studio one,,
Add brunch date with Tom de lancy at Blue Jam Cafe at 11am for 1 hour on saturday,,,,,saturday,11am,brunch date,tom de lancy,blue jam cafe,1 hour,
Add buy diapers tonight on calendar,,,,,,tonight,buy diapers,,,,
Add buy laptop charger tonight at best Buy with duncan,,,,,,,buy laptop charger,Duncan,best buy,,
add call mom to my schedule for every Sunday night,,,,,sunday,night,call mom,,,,every
Add Christmas dinner for tomorrow on the calendar,,,,,tomorrow,,christmas dinner,,,,
Add coffee meeting with Pam to calendar,,,,,,,coffee meeting,Pam,,,
add coffee with uncle Ben on Friday at 7am,,,,,Friday,7am,coffee,uncle Ben,,,
Add color correction session for tomorrow,,,,,tomorrow,,color correction session,,,,
Add Cynthia's baby shower from noon to 3pm on October 10th at X hotel,,,,,October 10th,noon,Cynthia's baby shower,,X hotel,,
add dad's birthday to my calendar on november 5th and share an invite to yoanna house,,,,,november 5th,,dad's birthday,yoanna house,,,
add damian's birthday to my calendar,,,,,,,damian's birthday,,,,
