calendarCreateEvent,calendarEvent,calendarTvShow,calendarConcert,calendarSport,calendarAttendees,calendarDate,calendarTime,calendarDuration,calendarTitle,calendarLocation,calendarRecurrence
add 2 hours lunch meeting with Guy L Steele to my agenda,,,,,Guy L Steele,,,2 hours,lunch meeting,,
add 30 minutes lunch meeting with Alexander.Emanuel437@advalvas.be to my agenda,,,,,Alexander.Emanuel437@advalvas.be,,,30 minutes,lunch meeting,,
add 4 hours of scuba diving with Ma Zengyu on the March twenty first in venice beach,,,,,Ma Zengyu,March twenty first,,4 hours,scuba diving,venice beach,
add a 11 19 am meeting for September twenty first,,,,,,September twenty first,11 19 am,,,,
add a 2 26 meeting for November first,,,,,,November first,2 26,,,,
add a 3 hours status meeting in conference room with Demetrio every weekday,,,,,Demetrio,,,3 hours,status meeting,conference room,every weekday
add a 4 hours event to my calendar,,,,,,,,4 hours,,,
add a 4 hours status meeting in conference room with Osyp every weekday,,,,,Osyp,,,4 hours,status meeting,conference room,every weekday
add a 45 minutes check in with mom every fifteenth August at 5 15 am in my office,,,,,mom,fifteenth August,5 15 am,45 minutes,check in,my office,every
add a 8 45 meeting for twentieth August,,,,,,twentieth August,8 45,,,,
add a August twenty sixth event to my calendar for 9 45,,,,,,August twenty sixth,9 45,,,,
add a December second event to my calendar for 5 30 p m,,,,,,December second,5 30 p m,,,,
add a October second event to my calendar for 10 7,,,,,,October second,10 7,,,,
add a a few days check in with Fernando.J795@yahoo.co.uk every second August at 12 35 pm in my office,,,,,Fernando.J795@yahoo.co.uk,second August,12 35 pm,a few days,check in,my office,every
add a a few days status meeting in conference room with spouse every weekday,,,,,spouse,,,a few days,status meeting,conference room,every weekday
add a a few days thing to my schedule,,,,,,,,a few days,,,
add a a few hours check in with Boyce every twenty first August at 7 45 in my office,,,,,Boyce,twenty first August,7 45,a few hours,check in,my office,every
add a a few hours event to my calendar,,,,,,,,a few hours,,,
add a a few minutes session to my calendar,,,,,,,,a few minutes,,,
add a a minute event to my calendar,,,,,,,,a minute,,,
add a calendar event for February second,,,,,,February second,,,,,
add a calendar event for January fourth,,,,,,January fourth,,,,,
add a calendar event for July fifth,,,,,,July fifth,,,,,
add a calendar event for July twentieth,,,,,,July twentieth,,,,,
add a calendar event for November fifteenth,,,,,,November fifteenth,,,,,
add a calendar event for fifteenth February,,,,,,fifteenth February,,,,,
add a calendar event for second August,,,,,,second August,,,,,
add a calendar event for second September,,,,,,second September,,,,,
add a calendar event for twenty sixth November,,,,,,twenty sixth November,,,,,
add a calendar event for twenty sixth November,,,,,,twenty sixth November,,,,,
add a call with Amit Sheth every October twenty first 8 59,,,,,Amit Sheth,October twenty first,8 59,,call,,every
add a call with Ernst.Lubitsch864@aristotle.org to my schedule,,,,,Ernst.Lubitsch864@aristotle.org,,,,call,,
add a call with Gershon to my schedule,,,,,Gershon,,,,call,,
add a call with James Blake to my schedule,,,,,James Blake,,,,call,,
add a call with Joan.Tompkins714@army.net to my schedule,,,,,Joan.Tompkins714@army.net,,,,call,,
add a call with John.Claiborne@technisamail.co.za every April fourth 7 30,,,,,John.Claiborne@technisamail.co.za,April fourth,7 30,,call,,every
add a call with John.Pasta405@microsoft.net every June second 10 42 a m,,,,,John.Pasta405@microsoft.net,June second,10 42 a m,,call,,every
add a call with Lanny to my schedule,,,,,Lanny,,,,call,,
add a call with Scarlett every third May 9 30 p m,,,,,Scarlett,third May,9 30 p m,,call,,every
