calendarShowEvent,calendarDate,calendarTitle,calendarAttendee,calendarUpcoming
what's on my calendar april 9th,april 9th,,, 
show me my scheduled events for august 17th,august 17th,,, 
Do I have anything planned for September 4th,September 4th,,, 
Pull up my calendar for September 30th,September 30th,,, 
Look up my schedule for October 1st and show me what I have set,October 1st,,, 
what's on my agenda for October 5th,October 5th,,, 
Show me events for November 3rd,November 3rd,,, 
open my calendar for November 3rd,November 3rd,,, 
Show my events from November 18th,November 18th,,,
Can I see what's on my calendar on December 2nd,December 2nd,,, 
what are my Upcoming events, ,,,upcoming
what are my forthcoming events, ,,,forthcoming
Show me my upcoming events, ,,,upcoming
show me my forthcoming events, ,,,forthcoming
pull up my Upcoming events, ,,,upcoming
pull up my forthcoming events, ,,,forthcoming
Display upcoming events., ,,,upcoming
display forthcoming events., ,,,forthcoming
show me upcoming events, ,,,upcoming
show me forthcoming events, ,,,forthcoming
Let me see any upcoming events in my calendar., ,,,upcoming
let me see any forthcoming events in my calendar., ,,,forthcoming
Show me upcoming events, ,,,upcoming
show me forthcoming events, ,,,forthcoming
show me all upcoming events on my calendar, ,,,upcoming
show me all forthcoming events on my calendar, ,,,forthcoming
show me upcoming events, ,,,upcoming
show me forthcoming events, ,,,forthcoming
Give me a list of upcoming events., ,,,upcoming
give me a list of forthcoming events., ,,,forthcoming
Show upcoming events, ,,,upcoming
show forthcoming events, ,,,forthcoming
Show upcoming calendar events., ,,,upcoming
show forthcoming calendar events., ,,,forthcoming
Show me all my upcoming events., ,,,upcoming
show me all my forthcoming events., ,,,forthcoming
Show me my upcoming events, ,,,upcoming
show me my forthcoming events, ,,,forthcoming
what events are upcoming for me?, ,,,upcoming
what events are forthcoming for me?, ,,,forthcoming
show me all upcoming events in calendar, ,,,upcoming
show me all forthcoming events in calendar, ,,,forthcoming
Show me all upcoming events, ,,,upcoming
show me all forthcoming events, ,,,forthcoming
What's on my calendar?, ,,, 
what are my next events, ,,,next
what are my future events, ,,,future
Show me my next events, ,,,next
show me my future events, ,,,future
pull up my next events, ,,,next
pull up my future events, ,,,future
Display next events., ,,,next
display future events., ,,,future
show me next events, ,,,next
show me future events, ,,,future
let me see any future events in my calendar., ,,,future
show me all future events on my calendar, ,,,future
give me a list of future events., ,,,future
Show next events, ,,,next
show future events, ,,,future
Show next calendar events., ,,,next
show future calendar events., ,,,future
show me all my future events., ,,,future
Show me my next events, ,,,next
show me my future events, ,,,future
show me all future events in calendar, ,,,future
show me all future events, ,,,future
please provide a list of events for 10th of September,10th of September,,,
please provide a list of events for 10th September,10th September,,,
What do I have planned on 13th of December?,13th of December,,,
What am I doing on the 18th September,18th September,,,
What plans do I have on 1st of April,1st of April,,,
what's my calendar look like on 1st of may?,1st of may,,, 
show me my schedule for 20th of september,20th of september,,,
show me my schedule for 20th september,20th september,,,
how is my calendar looking for 25th december,25th december,,,
Show me calendar events for 25th december,25th december,,, 
how is my calendar looking for 25th of december,25th of december,,,
Show me calendar events for 25th of december,25th of december,,,
what do I have going on 29th of October,29th of October,,, 
