calendarShowEvent,calendarDate,calendarTitle,calendarAttendee,calendarUpcoming
November fifth what am i doing,November fifth,,,
am i busy next twentieth February,twentieth February,,,
am i busy on fifth March,fifth March,,,
am i doing anything April twenty sixth,April twenty sixth,,,
am i doing anything January twenty sixth,January twenty sixth,,,
am i doing anything May third,May third,,,
am i doing anything October fifteenth,October fifteenth,,,
am i doing anything fifteenth December,fifteenth December,,,
am i doing anything first January,first January,,,
am i doing anything fourth March,fourth March,,,
am i doing anything on January twentieth,January twentieth,,,
am i doing anything on July fifth,July fifth,,,
am i doing anything on November second,November second,,,
am i doing anything on first February,first February,,,
am i doing anything on the September fifteenth,September fifteenth,,,
am i doing anything on the fifth March,fifth March,,,
am i doing anything on the first February,first February,,,
am i doing anything on the fourth February,fourth February,,,
am i doing anything on twenty first January,twenty first January,,,
am i doing anything twenty sixth January,twenty sixth January,,,
am i doing something on April twenty sixth,April twenty sixth,,,
am i doing something on August third,August third,,,
am i doing something on August twenty first,August twenty first,,,
am i doing something on July second,July second,,,
am i doing something on March second,March second,,,
am i doing something on October first,October first,,,
am i doing something on October twenty first,October twenty first,,,
am i doing something on fifteenth July,fifteenth July,,,
am i doing something on fourth February,fourth February,,,
am i doing something on twenty first November,twenty first November,,,
can you find out when my meeting with Athanasios is,,meeting,Athanasios,
can you find out when my meeting with Ransom is,,meeting,Ransom,
can you get my calendar for February fifteenth,February fifteenth,,,
can you get my calendar for March fourth,March fourth,,,
can you get my calendar for twenty first May,twenty first May,,,
can you please show me what is on my calendar for December fifteenth,December fifteenth,,,
can you please show me what was on my calendar for November fourth,November fourth,,,
can you please show me what was on my calendar for fifth November,fifth November,,,
can you please show me what was on my calendar for twenty sixth July,twenty sixth July,,,
can you please show me what was on my calendar for twenty sixth October,twenty sixth October,,,
can you see if i had any appointments fifteenth December,fifteenth December,,,
can you see if i had any appointments second June,second June,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have any appointments,,,,
can you see if i have meetings April third,April third,,,
can you see if i have meetings February twenty first,February twenty first,,,
can you see if i have meetings January twenty first,January twenty first,,,
can you see if i have meetings June first,June first,,,
can you see if i have meetings fifth July,fifth July,,,
can you see if i have meetings fifth March,fifth March,,,
can you see if i have meetings second April,second April,,,
can you see if i have meetings twenty first January,twenty first January,,,
check if i am busy on March fourth,March fourth,,,
check if i am busy on fifth August,fifth August,,,
check if i am busy on first April,first April,,,
check if i am busy on first January,first January,,,
check if i am busy on first October,first October,,,
check if i am busy on second September,second September,,,
check if i am busy on twentieth July,twentieth July,,,
could you search for the meeting with Ada,,meeting,Ada,
could you search for the meeting with Hyder Ali,,meeting,Hyder Ali,
did i have any appointment fifth March,fifth March,,,
display forthcoming events,,,,forthcoming
display forthcoming events,,,,forthcoming
display forthcoming events,,,,forthcoming
display future events,,,,future
display future events,,,,future
display next events,,,,next
