HelpQuery,Skill
Help me,
I need help,
Can you help me,
I need help,
I need assistance,
aneeda app help,
I need help using Aneeda app,
app assistance,
how does aneeda work,
how do I make aneeda app work,
assist me,
aneeda support,
contact support,
get me some help,
Help me find a cab,cab
How do I call an Uber,uber
Uber help commands,uber
Help with Uber,uber
Help with calling a cab,cab
taxi help,taxi
How do I use uber,uber
how does uber work,uber
Help me with taxi commands,taxi
How do I open an app,
How to open AneedA app,
Open AneedA app,
Help opening AneedA,
I don't know how to open aneeda app,
How to use the app,
How does that app work,
instructions on how to use the app,
Help me with music statements,music
How do I open the music app,music
Help with music app,music
Help me with music app,music
I need help with the music skill,music
music app commands,music
Aneeda music help,music
how to open music skill,music
music skill instructions,music
what can you do,
what are you capable of,
What skills can you do,
Tell me your skills,
show me your skills,
What skills do you have,
What are your skills,
What are AneedA skills,
Instruction on using skills,
how do the the skills work,
how can you help me,
what do you do,
Help with calendar,calendar
How to open calendar,calendar
calendar help commands,calendar
how do I use calendar commands,calendar
How do I open calendar,calendar
calendar app help,calendar
help me with calendar,calendar
How does calendar work,calendar
instructions on how to use calendar,calendar
How do I use the calendar skill,calendar
How do I use the weather commands,weather
show me the weather skill,weather
how does the weather skill work,weather
help with the weather skill,weather
weather skill help,weather
help me find the weather,weather
weather skill instructions,weather
help me with weather skill,weather
how does the weather skill work,weather
help with weather,weather
How do I see the news,news
show me how to use news,news
how does the news skill work,news
help with the news skill,news
news skill help,news
help me find the news,news
news skill instructions,news
help me with news app,news
how does news work,news
help with news,news
how do i use news commands,news
what are the news commands,news
what commands can you handle,
what queries can you do,
help,
help,
help,
open help,
open help,
help commands,
help commands,
help options,
help options,
help,
help,
help,
help,
help,
help,
help,
help,
help,
