ControlNextResponse,ControlNextSkill
aneeda next ,
aneeda skip ,
aneeda skip it ,
aneeda skip this ,
can you get the next one ,
can you play the next song ,song
can you play the next track ,track 
change it to the next one ,
get me the next song ,song
get me the next track ,track 
get next,
get next ,
get next ,
get next ,
get next ,
get next result,
get the next song ,song
get the next track ,track 
get to the next ,
get to the next ,
get to the next ,
get to the next one,
get to the next one ,
get to the next one ,
get to the next one ,
get to the next result ,
get to the next song ,song
get to the next song ,song
get to then next one,
go forward ,
go next ,
go next ,
go on ,
go to next,
go to next ,
go to next ,
go to next one ,
go to next one ,
go to next song,song
go to next song ,song
go to next track ,track 
Go to next track.,track 
go to the next ,
go to the next one ,
go to the next one ,
go to the next song ,song
go to the next track ,track 
I mean go to the next  one ,
I mean next song ,song
I need the next one ,
I want the next one ,
I want to hear the next song ,song
I want to hear the next track ,track 
jump next ,
jump to the next one ,
jump to the next one ,
just skip,
just skip to the next one,
keep going ,
keep going ,
keep it going ,
let me hear the next ,
let me hear the next one,
let's listen to the next song ,song
let's listen to the next track ,track 
listen to next song ,song
listen to next track ,track 
move forward ,
Move forward to the next song,
move next ,
move on to the next song ,song 
move to next ,
move to next one ,
move to the next card ,
move to the next one,
music skip ,music
next,
next,
next ,
NEXT ,
next ,
next ,
next card ,
next card ,
next in the list,
next next ,
next one ,
next one ,
next one ,
next one please ,
next one please ,
next one please ,
next please,
next please,
next please,
next please,
next please,
next please,
next please,
next please ,
next result ,
next result ,
next result ,
next result ,
next song,song
next song ,song
next song ,song
next song ,song 
next song play ,song
next song please,song
next song please,song 
NEXT SONG PLEASE,song
next thing ,
next track ,track 
next track ,track 
next track ,track 
next track play ,track 
next track please,track 
no the next one,
play next one ,
Play next song,song
Play next track.,track 
play the next one,
play the next one ,
play the next one , 
play the next one ,
play the next song ,song
play the next song ,song
Play the next song.,song
play the next track ,track 
play the next track ,track 
please skip,
please skip this song ,song
please skip this track ,track 
read next ,
read next ,
read the next,
read the next ,
read the next card ,
read the next one,
say next ,
say the next ,
say the next one,
say the next one,
say the next result ,
show next ,
show the next one ,
skip,
skip ,
skip ,
skip ,
skip ,
skip ahead,
skip ahead,
skip ahead ,
skip ahead please ,
skip ahead to the next one ,
skip ahead to the next song ,song
skip ahead to the next track ,track 
skip forward ,
skip it ,
skip it ,
skip it ,
skip it ,
skip it ,
skip music ,music
skip next ,
skip next ,
skip next song ,song 
skip one,
skip over,
skip over ,
skip over this ,
skip over this song ,song
skip over this track ,track 
skip please,
skip skip ,
skip skip ,
skip song ,song
skip song ,song 
skip song please,song
skip that song ,song 
skip the song ,song
skip the song ,song 
skip the track ,track 
skip this,
skip this,
skip this ,
skip this ,
skip this ,
skip this ,
skip this song ,song
skip this song ,song 
Skip this song.,song
skip this track ,track 
skip to next,
skip to next card ,
skip to next song ,song
skip to next song ,song
skip to next track ,track 
skip to next track ,track 
skip to the next ,
skip to the next ,
skip to the next ,
skip to the next one ,
skip to the next one ,
skip to the next one ,
skip to the next one ,
skip to the next one ,
skip to the next song ,song
skip to the next song ,song
skip to the next song ,song 
skip to the next song please,song
Skip to the next track,track 
skip to the next track ,track 
skip to the next track ,track 
skip track ,track 
skip track please,track 
song next ,song
Switch to the next song,song
the next song ,song 
track next ,track 
what's next ,
what's next ,
what's next ,
what's the next result ,
