ControlPauseResponse,ControlPauseSkill
Pause,
pause please,
pause it ,
pause this ,
pause ,
pause it ,
pause,
please pause,
pause reading ,
hold on ,
pause playing ,
quiet for a sec ,
hold up ,
hold off,
pause this ,
pause It ,
make it pause ,
shut up for a minute ,
pause the music ,music
pause music,music
pause please,
hold on ,
pause  music,music
pause this,
pause ,
aneeda pause ,
pause pause,
pausing music,music
music pause,music
pause readback ,
make it pause ,
you can pause now,
can you pause ,
pause for a bit ,
stop for a sec,
stop a minute ,
one moment please,
I told you to pause ,
can you please pause ,
I said pause ,
please pause ,
please pause it ,
pause the song ,song 
pause playing please,
pause it ,
pause here ,
music pause ,music
music pause please ,music
hold off for a sec ,
pause track ,track 
hold the music ,music
pause it ,
pause for a sec ,
pause,
pause the music.,music
pause the music now ,music
pause music for now ,music
put it on pause ,
pause now ,
put on pause ,
music pause,music
pause playing,
pause currently playing song,song 
pause playing now,
pause music,music
make it pause ,
hold it ,
hold the music ,music
put music on hold ,music
freeze ,
wait ,
hold on ,
hold up ,
hang on ,
wait ,
wait a minute ,
wait a sec,
hey can you make the music pause,music
can you make it pause ,
make pause ,
wait a sec ,
I said pause,
hey pause ,
hey can you pause ,
I said pause ,
pause music application,music
pause music session,music
yo pause ,
yo pause it ,
I told you to pause it ,
pause it now,
you can pause now ,
wait please ,
please wait ,
please hold,
please hold it,
make it pause ok,
hold on a sec for music ,music 
hold on ,
hold it ,
hold it please ,
wait just a minute ,
pause there ,
can you pause ,
just pause ,
Please pause the music.,music
hold it right there ,
hold the music ,music 
hold it for a sec ,
hold music ,music 
put it on hold ,
put this on hold,
pause play of music.,music 
pause playing.,
Please pause the music playing.,music 
pause it ,
pause please,
pause playing music.,music 
please pause ,
pause it ,
freeze it ,
pause the music.,music
music freeze ,music
Please pause playing this song.,song 
pause music playback,music
pause for a sec ,
hold on aneeda ,
hang on aneeda,
hang on ,
wait hang on ,
wait pause ,
pause audio.,
you can pause ,
can she pause ,
just a sec ,
stop for a sec ,
wait for a sec ,
you can pause now ,
pause it ,
pause a sec ,
please pause ,
aneeda pause ,
pause it now ,
stop for a sec ,
stop a sec ,
stop a minute ,
wait pause ,
stop for a bit ,
hold on a bit ,
wait a bit ,
wait pause ,
wait for a moment ,
pause now ,
you can pause now ,
pause it ,
pause that ,
pause this ,
pause playing ,
pause reading ,
pause it please,
please pause it ,
pause this,
ok pause ,
ok enough pause ,
pause talking ,
pause speaking ,
pause pause ,
pause it aleady ,
pause this ,
pause that ,
pause it now ,
pause aneeda ,
please pause ,
hey pause ,
please pause talking,
please pause ,
ok pause it ,
ok pause now ,
ok you can pause ,
pause it ,
pause reading ,
freeze right there ,
pause here ,
that's enough ,
that's it pause ,
ok pause it ,
ok you can pause now ,
ok that's enough ,
pause it already ,
pause it please,
you can pause now ,
can you pause ,
can you pause it ,
can you pause reading ,
aneeda pause ,
need you to pause ,
I said pause ,
I said pause it ,
I said that's enough ,
I said pause now ,
I said pause please ,
hold on pause ,
hold on and pause ,
hold it and pause ,
hold it pause ,
pause right there,
pause service ,
pause playing ,
pause speaking ,
pause aneeda,
I said pause aneeda,
hey I said pause ,
hey I said pause it ,
pause pause ,
pause pause pause ,
please pause ,
hey pause ,
ok pause ,
pause for now ,
you can pause now ,
just pause ,
just pause now ,
just pause already ,
please pause ,
pause it ,
pause pause pause ,
I said pause ,
ok pause ,
pause there,
pause right there ,
pause here,
just pause it ,
pause mode ,
put it on pause ,
put this on pause ,
pause mode ,
pause please,
make it pause ,
pause down ,
pause a little ,
pause this ,
I said pause ,
said pause ,
pause now ,
pause ,
pause it please,
um pause ,
hey pause ,
hey pause it ,
hang on ,
hold on ,
pause for a second ,
ok pause ,
pause music playback,music 
pause playing music,music 
pause music,music 
pause the music ,music 
pause playing the music ,music 
pause music now ,music 
pause it with the music ,music 
pause playing music ,music 
pause music skill ,music 
pause music app ,music 
pause music play,music 
pause the music ,music 
pause music please,music 
you can pause music ,music 
please pause music ,music 
hey pause music,music 
I said pause music ,music 
I told you pause music ,music 
I said pause the music ,music 
I said pause the music app ,music 
pause the music ,music 
music pause ,music 
please pause music ,music 
please pause the music ,music 
pause this music,music 
pause the music now ,music 
music pause a sec ,music 
hold on and pause music ,music 
can you pause  music ,music 
pause this music ,music 
pause the music please ,music 
put music on pause ,music 
can you pause the music ,music 
can you pause music ,music 
please pause music ,music 
pause mode music,music 
music pause mode,music 
set music on pause ,music 
pause the music app ,music 
pause the music,music 
hey pause music,music 
only pause music ,music 
pause music please,music 
please pause music ,music 
please pause playing music ,music 
aneeda pause music,music 
aneeda pause playing music,music 
could you pause music ,music 
pause music now ,music 
I said pause music ,music 
put it on pause ,
put it on hold ,
make this pause ,
pause this ,
pause that ,
pause here,
pause there ,
pause aneeda,
aneeda pause ,
please pause,
pause please,
yo pause ,
pause it ,
pause and hold,
hold and pause ,
can you pause it ,
pause now ,
pause a sec ,
pause a minute ,
