ControlPauseResponse,ControlPauseSkill
aneeda pause,
aneeda pause card,card
aneeda pause news,news
aneeda pause opinion,opinion
aneeda pause opinion,opinion
aneeda pause playing card,card
aneeda pause playing card,card
aneeda pause playing card,card
aneeda pause playing card,card
aneeda pause playing card,card
aneeda pause playing music,music
aneeda pause playing opinion,opinion
can she pause,
can she pause,
can she pause,
can you pause card,card
can you pause it,
can you pause music,music
can you pause news,news
can you pause reading,
can you pause reading,
can you pause reading,
can you please pause,
card pause,card
freeze,
freeze it,
freeze it,
freeze it,
freeze it,
freeze it,
hang on aneeda,
hey can you make the card pause,card
hey can you make the card pause,card
hey can you make the opinion pause,opinion
hey can you pause,
hey i said pause,
hey pause,
hey pause,
hey pause it,
hold and pause,
hold card,card
hold it and pause,
hold it pause,
hold it pause,
hold it please,
hold it please,
hold it please,
hold it please,
hold it please,
hold it please,
hold it please,
hold it right there,
hold off for a sec,
hold off for a sec,
hold off for a sec,
hold off for a sec,
hold on,
hold on,
hold on a bit,
hold on a sec for music,music
hold on a sec for news,news
hold on and pause,
hold on and pause,
hold on and pause,
hold on and pause opinion,opinion
hold on and pause opinion,opinion
hold on and pause opinion,opinion
hold on aneeda,
hold on aneeda,
hold the card,card
hold the news,news
hold the opinion,opinion
i said pause,
i said pause,
i said pause,
i said pause,
i said pause,
i said pause,
i said pause card,card
i said pause card,card
i said pause now,
i said pause please,
i said pause the card app,card
i said pause the card app,card
i said pause the opinion,opinion
i said pause the opinion app,opinion
i told you pause opinion,opinion
just a sec,
just pause,
just pause it,
just pause it,
just pause it,
just pause it,
just pause now,
make it pause,
make it pause,
make pause,
music freeze,music
music pause mode,music
news pause a sec,news
news pause a sec,news
news pause a sec,news
ok enough pause,
ok pause,
ok pause,
ok pause it,
ok that s enough,
ok that s enough,
ok that s enough,
ok that s enough,
ok you can pause,
ok you can pause,
ok you can pause,
ok you can pause now,
ok you can pause now,
ok you can pause now,
one moment please,
one moment please,
only pause card,card
only pause news,news
only pause news,news
opinion pause,opinion
opinion pause a sec,opinion
opinion pause mode,opinion
opinion pause mode,opinion
pause,
pause,
pause,
pause,
pause,
pause,
pause,
pause,
pause a little,
pause a minute,
pause a minute,
pause a minute,
pause a sec,
pause a sec,
pause aneeda,
pause aneeda,
pause aneeda,
pause audio,
pause audio,
pause card session,card
pause card skill,card
pause currently playing card,card
pause currently playing music,music
pause currently playing music,music
pause currently playing music,music
pause currently playing opinion,opinion
pause currently playing opinion,opinion
pause down,
pause down,
pause for a bit,
pause for a second,
pause here,
pause here,
pause here,
pause here,
pause it,
pause it,
pause it,
pause it,
pause it,
pause it aleady,
pause it aleady,
pause it already,
pause it already,
pause it already,
pause it already,
pause it now,
pause it now,
pause it now,
pause it now,
pause it now,
pause it now,
pause it now,
pause mode,
pause mode,
pause mode,
pause mode,
pause mode music,music
pause mode music,music
pause mode news,news
pause music,music
pause music please,music
pause music session,music
pause music session,music
pause news app,news
pause news for now,news
pause opinion session,opinion
pause pause,
pause pause,
pause pause,
pause pause,
pause pause,
pause pause pause,
pause pause pause,
pause pause pause,
pause playing,
pause playing,
pause playing,
pause playing,
pause playing,
pause playing card,card
pause playing card,card
pause playing now,
pause playing now,
pause playing opinion,opinion
pause playing opinion,opinion
pause playing please,
pause playing please,
pause please,
pause readback,
pause readback,
pause reading,
pause speaking,
pause speaking,
pause speaking,
pause speaking,
pause speaking,
pause talking,
pause talking,
pause talking,
pause talking,
pause talking,
pause that,
pause the music,music
pause the music app,music
pause the news,news
pause the news please,news
pause the opinion app,opinion
pause there,
pause this,
pause this,
pause this,
pause this news,news
pause this opinion,opinion
pausing music,music
pausing opinion,opinion
please hold,
please hold,
please hold it,
please hold it,
please pause,
please pause,
please pause,
please pause it,
please pause music,music
please pause news,news
please pause opinion,opinion
please pause talking,
please pause talking,
please pause talking,
please wait,
please wait,
put it on hold,
put it on hold,
put it on pause,
put it on pause,
put it on pause,
put it on pause,
put it on pause,
put it on pause,
put it on pause,
put on pause,
put on pause,
put on pause,
put on pause,
put on pause,
put this on hold,
put this on hold,
said pause,
stop for a bit,
stop for a bit,
stop for a bit,
stop for a bit,
stop for a bit,
stop for a bit,
stop for a sec,
stop for a sec,
stop for a sec,
that s it pause,
um pause,
um pause,
wait,
wait,
wait,
wait,
wait,
wait,
wait for a moment,
wait for a moment,
wait for a moment,
wait hang on,
you can pause,
you can pause music,music
you can pause music,music
you can pause news,news
