ControlPreviousResponse,ControlPreviousSkill
 previous ,
and the previous one,
and what was the previous one,
aneeda go to previous ,
aneeda play the previous song ,song 
back ,
can you play the previous song ,song
can you read the previous one,
get back to previous,
get back to the last one ,
get me the previous one ,
get previous ,
get previous track ,track 
get the previous,
get the previous one ,
get the previous one again ,
get to previous ,
get to the previous one ,
go back ,
go back ,
go back ,
go back one ,
go back to last one ,
go back to last song ,song
go back to last track ,track 
go back to previous,
go back to previous one,
go back to the last one ,
go back to the last one ,
go back to the last result,
go back to the last song ,song
go back to the last track ,track 
go back to the previous ,
go back to the previous ,
go back to the previous one,
go back to the previous one again ,
go previous ,
go previous ,
go previous one ,
go to last one,
go to one before ,
go to previous,
go to previous,
go to previous,
go to previous ,
go to previous ,
go to previous one ,
go to previous result ,
go to previous track ,track 
go to the last one ,
go to the last song ,song
go to the last track ,track 
go to the one before ,
go to the one before this,
go to the previous,
go to the previous card ,
go to the previous one,
go to the previous result,
go to the previous song ,song
go to the previous track ,track 
I said read the previous one ,
I said the previous one,
I want the previous one again ,
play last song again ,song
play last track again ,track 
play me the previous song ,song
play previous song ,song
play previous song ,song
play previous song ,song 
play previous song please,song
play previous track ,track 
play previous track ,track 
play that last song again ,song
play that last track again ,track 
play that previous one again ,
play the last one again ,
play the last song ,song
play the last song ,song
play the last song again ,song
play the last track again ,track 
play the one before ,
play the previous,
play the previous,
play the previous,
play the previous one,
play the previous result ,
play the previous song ,song
play the previous song ,song
play the previous song ,song
play the previous song before this ,song
play the previous track ,track 
play the song before,song
play the song before this ,song 
please play previous song ,song
please play the previous song ,song 
previous,
previous,
previous ,
previous card ,
previous card ,
previous one,
previous one,
previous one,
previous one,
previous one ,
previous one ,
previous one ,
previous one please,
previous one please,
previous please,
Previous result ,
previous result ,
previous result ,
previous track ,track 
read again the previous  one,
read previous again ,
read previous one,
read previous result ,
read the last one ,
read the last one again ,
read the previous,
read the previous ,
read the previous again ,
read the previous one,
read the previous one,
read the previous one,
redo the previous song ,song
redo the previous track ,track 
repeat that last one,
repeat that previous one ,
repeat the last card ,
repeat the last one,
repeat the last one ,
repeat the last result ,
repeat the last result ,
repeat the one before ,
repeat the previous ,
repeat the previous card ,
repeat the previous one,
repeat the previous one ,
reread the previous one,
say previous,
say that last one again ,
say the last card ,
say the last one again ,
say the last one again ,
say the last one card ,
say the last result ,
say the one before,
say the one before this again ,
say the previous ,
say the previous ,
say the previous ,
say the previous again ,
say the previous again ,
say the previous card ,
say the previous one,
say the previous one,
say the previous one,
say the previous one ,
say the previous one ,
say the previous one ,
say the previous one ,
say the previous one ,
say the previous one ,
say the previous one again ,
say the previous result ,
say the previous result ,
show me the last one again ,
show me the previous ,
show me the previous one ,
show previous ,
show previous again ,
speak the previous ,
tell me previous ,
tell me previous ,
tell me previous one ,
tell me the last one again ,
tell me the one before ,
tell me the previous one ,
tell me the previous result ,
what is the previous ,
what is the previous one please ,
what was the last one ,
what was the last one again ,
what was the last result ,
what was the one before ,
what was the previous,
what was the previous ,
what was the previous ,
what was the previous card ,
what was the previous one,
what was the previous one,
what was the previous one,
what was the previous one again ,
what's the last one again,
what's the previous one ,
