ControlPreviousResponse,ControlPreviousSkill
aneeda go to previous,
aneeda play the previous music,music
aneeda play the previous music,music
aneeda play the previous music,music
aneeda play the previous news,news
aneeda play the previous opinion,opinion
aneeda play the previous opinion,opinion
back,
back,
back,
can you play the previous card,card
can you play the previous card,card
can you play the previous card,card
can you play the previous news,news
can you play the previous news,news
can you play the previous opinion,opinion
can you play the previous opinion,opinion
can you read the previous one,
get back to previous,
get back to the last one,
get back to the last one,
get back to the last one,
get back to the last one,
get previous card,card
get the previous,
get the previous,
get the previous,
get the previous one,
get the previous one,
get the previous one,
get to previous,
get to previous,
get to previous,
get to previous,
get to previous,
get to the previous one,
get to the previous one,
go back,
go back,
go back,
go back to last card,card
go back to last card,card
go back to last news,news
go back to last opinion,opinion
go back to last opinion,opinion
go back to previous,
go back to the last card,card
go back to the last card,card
go back to the last music,music
go back to the last music,music
go back to the last music,music
go back to the last news,news
go back to the last news,news
go back to the last result,
go back to the last result,
go back to the last result,
go back to the last result,
go back to the last result,
go back to the last result,
go back to the previous,
go back to the previous,
go back to the previous,
go back to the previous,
go back to the previous,
go back to the previous,
go back to the previous,
go back to the previous one,
go back to the previous one,
go back to the previous one,
go back to the previous one,
go back to the previous one,
go back to the previous one,
go previous,
go previous,
go previous one,
go previous one,
go previous one,
go previous one,
go previous one,
go to last one,
go to previous,
go to previous,
go to previous card,card
go to previous card,card
go to previous music,music
go to previous music,music
go to previous music,music
go to previous news,news
go to previous news,news
go to previous one,
go to previous opinion,opinion
go to previous result,
go to previous result,
go to the last card,card
go to the last one,
go to the one before,
go to the one before,
go to the one before,
go to the previous card,card
go to the previous one,
go to the previous one,
go to the previous opinion,opinion
go to the previous result,
i said read the previous one,
i said read the previous one,
i said read the previous one,
i said the previous one,
i want the previous one again,
play me the previous card,card
play me the previous music,music
play me the previous music,music
play me the previous music,music
play me the previous music,music
play me the previous news,news
play me the previous opinion,opinion
play me the previous opinion,opinion
play me the previous opinion,opinion
play me the previous opinion,opinion
play previous card please,card
play previous music,music
play previous music,music
play that last music again,music
play that last music again,music
play that last news again,news
play that last news again,news
play that last opinion again,opinion
play that last opinion again,opinion
play the last card again,card
play the last card again,card
play the last card again,card
play the last card again,card
play the last music,music
play the last music again,music
play the last music again,music
play the last music again,music
play the last news again,news
play the last one again,
play the last one again,
play the last opinion,opinion
play the last opinion again,opinion
play the last opinion again,opinion
play the music before this,music
play the news before,news
play the one before,
play the one before,
play the one before,
play the opinion before this,opinion
play the previous,
play the previous music,music
play the previous music,music
play the previous one,
play the previous one,
play the previous one,
play the previous one,
play the previous one,
play the previous opinion,opinion
play the previous opinion,opinion
play the previous opinion,opinion
play the previous result,
play the previous result,
play the previous result,
play the previous result,
play the previous result,
please play previous music,music
please play previous news,news
please play previous news,news
please play previous opinion,opinion
previous,
previous,
previous,
previous,
previous,
previous,
previous card,
previous music,music
previous news,news
previous news,news
previous one,
previous please,
previous please,
previous result,
previous result,
previous result,
read previous one,
read previous one,
read previous one,
read the last one,
read the last one,
read the last one,
read the last one,
read the last one,
read the last one again,
read the last one again,
read the last one again,
read the last one again,
read the previous,
read the previous,
read the previous,
read the previous again,
read the previous again,
read the previous one,
read the previous one,
redo the previous music,music
redo the previous music,music
repeat that last one,
repeat that last one,
repeat that last one,
repeat that last one,
repeat that previous one,
repeat that previous one,
repeat that previous one,
repeat the last card,
repeat the last one,
repeat the last one,
repeat the last one,
repeat the last one,
repeat the last result,
repeat the last result,
repeat the last result,
repeat the one before,
repeat the one before,
repeat the one before,
repeat the one before,
repeat the one before,
repeat the previous,
repeat the previous,
reread the previous one,
reread the previous one,
say previous,
say previous,
say previous,
say that last one again,
say that last one again,
say the last card,
say the last card,
say the last card,
say the last card,
say the last one again,
say the last one card,
say the last one card,
say the one before this again,
say the one before this again,
say the one before this again,
say the one before this again,
say the one before this again,
say the one before this again,
say the previous,
say the previous,
say the previous,
say the previous,
say the previous,
say the previous,
say the previous again,
say the previous again,
say the previous card,
say the previous card,
say the previous card,
say the previous one,
say the previous one again,
say the previous one again,
say the previous one again,
show me the last one again,
show me the previous,
show me the previous,
show previous,
show previous again,
speak the previous,
speak the previous,
speak the previous,
speak the previous,
speak the previous,
tell me previous,
tell me previous one,
tell me the last one again,
tell me the one before,
tell me the previous one,
tell me the previous one,
tell me the previous one,
tell me the previous one,
what is the previous,
what is the previous one please,
what is the previous one please,
what s the previous one,
what s the previous one,
what s the previous one,
what was the last one,
what was the last one,
what was the last result,
what was the last result,
what was the last result,
what was the last result,
what was the one before,
what was the one before,
what was the previous,
what was the previous,
what was the previous,
what was the previous,
what was the previous card,
what was the previous card,
what was the previous one,
