ControlRepeatResponse,ControlRepeatSkill,ControlRepeatAll
repeat,,
repeat it,,
repeat this,,
repeat that,,
repeat what you said,,
repeat it for me,,
repeat again,,
repeat it again,,
repeat for me,,
repeat it for me,,
repeat it please,,
repeat now,,
repeat that please,,
repeat please,,
repeat again,,
repeat this please,,
repeat this for me ,,
repeat one more time,,
repeat it ,,
repeat that again ,,
repeat again,,
repeat one more ,,
can you repeat this,,
can you repeat it ,,
can you repeat ,,
can you repeat that ,,
can you repeat this please,,
can you repeat it please,,
can you repeat it for me,,
can you say that again ,,
can you say it again ,,
say it again ,,
can you say it again ,,
say that again ,,
can you say that again ,,
wait can you repeat that ,,
wait can you say it again ,,
one more time ,,
play it again ,,
say it one more time for me,,
what did you say ,,
say this again ,,
say it again ,,
say that again please,,
tell me what you said again ,,
say it once more ,,
say it one more time,,
tell me again ,,
come again ,,
what was that ,,
what was that again ,,
what did you say again ,,
say that again ,,
can you say again ,,
say it one more time,,
one more time for me ,,
what was that ,,
what was that you said ,,
what was that again ,,
what did you say ,,
what you say ,,
what was that ,,
what was that again ,,
what was that you said again ,,
play it again ,,
say it again please,,
play it one more time,,
once more ,,
one more time,,
do it again ,,
read it again ,,
repeat that ,,
read repeat it ,,
read it one more time ,,
read it once more,,
can you read it again ,,
can you say it one more,,
say it again ,,
play it once more,,
tell me again ,,
say that again ,,
tell me again what you said ,,
what was that you said,,
what did you say please ,,
please repeat that ,,
please repeat ,,
please repeat it ,,
please say it again ,,
play say this again ,,
can you repeat it ,,
can you repeat that ,,
could you repeat that ,,
could you please repeat that ,,
could you say it again ,,
could you say that again ,,
could you tell me again ,,
could you tell me what you said again ,,
tell me again ,,
say it again ,,
say it one more time,,
please say it one more time ,,
tell me one more time ,,
tell me again ,,
sorry I wasn't listening can you say that again ,,
sorry I didn't get that ,,
sorry I didn't get that repeat it ,,
sorry I didn't get that can you say it again ,,
sorry what did you way ,,
what did you say I didn't get that ,,
I didn't get that can you repeat ,,
can you repeat ,,
I didn't get that ,,
I didn't hear what you said ,,
wait what did you say ,,
wait what was that ,,
what repeat that ,,
wait repeat that ,,
wait say that again ,,
repeat what you said before ,,
repeat the last result ,,
repeat what you said before ,,
can you repeat that ,,
can you say that again please,,
say it again please ,,
say it one more time ,,
one more time ,,
once again ,,
read it again ,,
read it one more time please ,,
one more time please ,,
once more again ,,
again repeat ,,
repeat again please ,,
repeat it again for me ,,
tell me again ,,
say it to me again ,,
speak it again ,,
once again ,,
tell it again ,,
say that again,,
I wasn't listening say that again ,,
I wasn't listening say it again ,,
can you say it again please,,
tell me again ,,
what was that again ,,
say that again ,,
say it again ,,
again please ,,
repeat that ,,
