ControlResumeResponse,ControlResumeSkill
resume,
resume this,
resume playing ,
resume it ,
resume please,
resume music,music
resume playback ,
resume reading ,
resume readback ,
resume speaking ,
resume on,
resume play ,
resume music ,music
resume that ,
resume the song ,song
resume news,news
resume that ,
start playing again ,
go on ,
ok go on ,
ok keep going ,
keep going ,
keep moving ,
keep on ,
keep reading ,
ok resume ,
alright resume ,
please resume ,
please go on ,
please keep going ,
please keep speaking ,
please keep talking ,
keep on ,
continue ,
continue this,
continue playing ,
continue it ,
continue please,
continue music,
continue playback ,
continue reading ,
continue readback ,
continue speaking ,
continue on,
continue play ,
continue music ,music
continue that ,
continue the song ,song
continue news,news
continue that ,
keep speaking ,
keep talking ,
keep going ,
keep playing music ,music
resume music,music
resume songs,songs
resume tracks,tracks
resume playing music,music
resume the song ,song 
resume the song that was playing ,song 
resume the last song ,song
resume what I was playing ,
resume music,music
music resume ,music
songs resume ,songs
please resume ,
please resume music ,music
please resume songs ,songs
resume news ,news
please resume news,news
resume reading news,news
resume reading emails ,emails
resume reading results ,
resume what you were doing ,
resume whatever we did ,
resume that ,
please proceed ,
proceed ,
proceed reading ,
resume on,
proceed on ,
keep going ,
ok keep going ,
ok keep playing ,
ok restart playing ,
restart music,music
restart playing ,
continue again ,
continue on ,
keep on ,
keep going ,
resume on ,
resume again ,
resume it ,
resume this ,
resume these,
resume what was playing ,
let's pick up where we left off ,
let's resume ,
aneeda resume ,
let us resume ,
please resume ,
ok resume ,
ok proceed ,
ok let's resume ,
