ControlStopResponse,ControlStopSkill
Stop ,
stop it ,
stop,
please stop,
stop reading ,
turn it off,
stop playing ,
quiet ,
shut it ,
turn it off,
stop this ,
stop It ,
make it stop ,
shut up ,
stop the music ,music
stop music,music
stop please,
hold on ,
stop  music,music
stop this,
stop ,
aneeda stop ,
stop stop,
stopping music,music
music stop,music
stop readback ,
make it stop ,
you can stop now,
can you stop ,
shush It ,
zip it ,
shush ,
quiet please,
I told you to stop ,
can you please stop ,
I said stop ,
please stop ,
please stop it ,
stop the song ,song 
stop playing please,
turn off,
switch it off,
music off,music
music stop,music
shut it off ,
stop track ,track 
cut the music ,music
cut it ,
cut it out ,
stop,
Stop the music.,music
Turn off the music now,music
turn off the music,music
turn it off please,
stop now ,
turn it off now ,
switch off music,music
Stop playing,
Stop currently playing song,song 
stop playing now,
Stop music,music
make it stop ,
kill it ,
kill the music,music
Kill music app,music
exit ,
silence,
silence the music,music
be quiet ,
shush,
zip it,
switch it off,
shut up ,
hey can you make the music stop,music
can you make it stop ,
make stop ,
I want silence please,
I said stop,
hey stop ,
hey can you stop ,
I said stop ,
close music application,music
End music session,music
yo stop ,
yo stop it ,
I told you to stop it ,
stop it now,
you can stop now ,
turn it off ,
close it ,
shut it off,
turn it off,
make it stop ok,
Kill the music,music 
i quit,
quit ,
quit this ,
off ,
quit it ,
shut it off ,
shut her off ,
Please stop the music.,music
quit playing ,
quit playing music ,music 
quit playin ,
Shut the music off.,music 
quit it ,
cut it off ,
End play of music.,music 
Close the app and stop playing.,
Please stop the music playing.,music 
Please turn off.,
off ,
Stop playing music.,music 
terminate ,
stop it ,
Turn off,
Stop the music.,music
music off,music
Please stop playing this song.,song 
Stop music playback,music
silent ,
quit ,
quiet ,
shut down ,
Silent!,
"AI, stop the music and shut down the app.",music 
Stop audio.,
you can stop ,
can she stop ,
close your mouth ,
shut up ,
shush ,
you can stop now ,
stop it ,
stop a sec ,
please stop ,
aneeda stop ,
stop it now ,
cut it out ,
cut it out now ,
that's enough ,
that's enough now,
enough ,
shut it ,
shut it up ,
shut you rmouth ,
shut it down ,
stop now ,
you can stop now ,
stop it ,
stop that ,
stop this ,
stop playing ,
stop reading ,
stop it please,
cut it out please,
ok cut it out,
ok stop ,
ok enough ,
stop talking ,
stop speaking ,
stop stop ,
stop it aleady ,
stop this ,
stop that ,
stop it now ,
shut up please,
please stop ,
please shut it ,
please stop talking,
please stop ,
ok stop it ,
ok stop now ,
ok you can stop ,
stop it ,
stop reading ,
stop that's enough ,
that's enough talking ,
that's enough ,
that's it stop ,
ok stop it ,
ok you can stop now ,
ok that's enough ,
stop it already ,
stop it please,
you can stop now ,
can you stop ,
can you stop it ,
can you stop reading ,
aneeda stop ,
need you to stop ,
I said stop ,
I said stop it ,
I said that's enough ,
I said stop now ,
I said stop please ,
hold on stop ,
hold on and stop ,
hold it and stop ,
hold it stop ,
stop right there,
stop service ,
stop playing ,
stop speaking ,
stop aneeda,
I said stop aneeda,
hey I said stop ,
hey I said stop it ,
stop stop ,
stop stop stop ,
please stop ,
hey stop ,
ok stop ,
stop for now ,
you can stop now ,
just stop ,
just stop now ,
just stop already ,
please stop ,
stop it ,
stop stop stop ,
I said stop ,
ok stop ,
stop there,
stop right there ,
stop here,
just stop it ,
shut up aneeda,
shut it aneeda,
shut up ,
shut it,
shut down ,
shut it down ,
ok shut up ,
shut up already ,
shut up I said ,
I said shut up ,
I said stop ,
stop now ,
stop ,
stop it please,
um stop ,
hey stop ,
hey stop it ,
that's enough ,
that's enough talking ,
that's enough reading ,
ok that's it ,
Stop music playback,music 
stop playing music,music 
stop music,music 
stop the music ,music 
stop playing the music ,music 
stop music now ,music 
stop it with the music ,music 
stop playing music ,music 
stop music skill ,music 
stop music app ,music 
stop music play,music 
stop the music ,music 
stop music please,music 
you can stop music ,music 
please stop music ,music 
hey stop music,music 
I said stop music ,music 
I told you stop music ,music 
I said stop the music ,music 
I said stop the music app ,music 
music off ,music 
music stop ,music 
music kill ,music 
Kill the music,music 
shut down music ,music 
shut off music ,music 
music end ,music 
end the music ,music 
cut the music now ,music 
turn off music ,music 
Turn off the music now,music 
turn off the music ,music 
can you stop the music ,music 
can you stop music ,music 
please stop music ,music 
close music,music 
close music app ,music 
close the music app ,music 
stop the music app ,music 
stop the music,music 
kill the music ,music 
kill music,music 
stop music please,music 
please stop music ,music 
please stop playing music ,music 
aneeda stop music,music 
aneeda stop playing music,music 
could you stop music ,music 
stop music now ,music 
I said stop music ,music 
