ControlStopResponse,ControlStopSkill
aneeda stop,
aneeda stop music,music
aneeda stop news,news
can you make it stop,
can you please stop,
can you stop it,
can you stop it,
can you stop reading,
can you stop the music,music
can you stop the music,music
can you stop the news,news
can you stop the news,news
can you stop the opinion,opinion
card stop,card
close music application,music
close the app and stop playing,
could you stop news,news
cut it,
cut it,
cut it off,
cut it out,
cut it out please,
cut it out please,
cut the card now,card
cut the card now,card
cut the music now,music
cut the news now,news
cut the news now,news
cut the opinion now,opinion
end music session,music
end play of music,music
end play of opinion,opinion
enough,
enough,
enough,
enough,
enough,
exit,
exit,
hey can you make the card stop,card
hey can you make the card stop,card
hey can you make the music stop,music
hey can you make the music stop,music
hey can you make the music stop,music
hey can you stop,
hey can you stop,
hey i said stop,
hey i said stop,
hey i said stop,
hey i said stop it,
hey i said stop it,
hey stop,
hey stop,
hey stop,
hey stop,
hey stop it,
hey stop it,
hey stop it,
hold on and stop,
i quit,
i quit,
i quit,
i quit,
i quit,
i quit,
i said stop,
i said stop,
i said stop now,
i said stop now,
i said stop now,
i said stop now,
i said stop now,
i said stop now,
i said stop please,
i said stop please,
i told you stop card,card
i told you stop opinion,opinion
i told you stop opinion,opinion
i told you to stop,
i told you to stop,
i told you to stop,
i told you to stop,
i told you to stop it,
just stop already,
just stop now,
just stop now,
just stop now,
kill card,card
kill card,card
kill music app,music
kill news,news
kill news app,news
kill the card,card
kill the news,news
kill the news,news
kill the opinion,opinion
make it stop,
make it stop ok,
music stop,music
music stop,music
music stop,music
music stop,music
news off,news
news stop,news
ok stop,
ok stop,
ok stop,
ok stop it,
ok stop now,
ok stop now,
ok stop now,
ok stop now,
ok stop now,
ok stop now,
ok stop now,
ok you can stop,
ok you can stop,
please stop,
please stop,
please stop,
please stop it,
please stop it,
please stop it,
please stop it,
please stop playing card,card
please stop playing music,music
please stop playing music,music
please stop playing news,news
please stop playing news,news
please stop talking,
please stop the card,card
please stop the card playing,card
please stop the opinion,opinion
please turn off,
please turn off,
quiet please,
quit,
quit playing,
quit playing,
quit playing,
quit playing music,music
quit playing music,music
quit playing music,music
quit this,
quit this,
quit this,
quit this,
quit this,
quit this,
shush,
shush,
shush,
shush,
shush it,
shut down,
shut down,
shut it,
shut it,
shut it,
shut it,
shut it up,
shut the music off,music
shut the music off,music
shut the music off,music
shut the music off,music
shut the opinion off,opinion
shut up,
shut up,
shut up,
shut up already,
shut up already,
shut up aneeda,
shut up aneeda,
shut up i said,
shut up i said,
shut up please,
shut up please,
shut up please,
shut up please,
shut up please,
shut you rmouth,
silence,
silence the opinion,opinion
silent,
silent,
silent,
silent,
silent,
stop aneeda,
stop card,card
stop card,card
stop card,card
stop card now,card
stop card now,card
stop card play,card
stop card play,card
stop currently playing music,music
stop currently playing news,news
stop for now,
stop for now,
stop here,
stop here,
stop it,
stop it aleady,
stop it now,
stop it now,
stop it now,
stop music,music
stop music now,music
stop news,news
stop news,news
stop news,news
stop news now,news
stop news play,news
stop news playback,news
stop news skill,news
stop now,
stop now,
stop now,
stop now,
stop opinion,opinion
stop opinion,opinion
stop opinion,opinion
stop opinion play,opinion
stop opinion playback,opinion
stop playing,
stop playing,
stop playing,
stop playing,
stop playing card,card
stop playing card,card
stop playing card,card
stop playing music,music
stop playing music,music
stop playing music,music
stop playing please,
stop playing the card,card
stop playing the card,card
stop playing the card,card
stop playing the music,music
stop playing the news,news
stop please,
stop readback,
stop right there,
stop service,
stop service,
stop service,
stop speaking,
stop speaking,
stop stop,
stop stop,
stop stop,
stop talking,
stop talking,
stop that,
stop the card,card
stop the card,card
stop the card,card
stop the card app,card
stop the music,music
stop the music app,music
stop the music app,music
stop the opinion,opinion
stop the opinion,opinion
stop this,
switch off music,music
switch off news,news
terminate,
terminate,
terminate,
that s enough talking,
that s enough talking,
turn it off,
turn it off,
turn it off,
turn it off,
turn it off,
turn off,
turn off,
turn off card,card
turn off the news,news
turn off the news,news
turn off the news,news
turn off the news,news
turn off the news,news
um stop,
yo stop,
yo stop,
yo stop,
yo stop,
yo stop it,
yo stop it,
you can stop now,
you can stop now,
you can stop now,
zip it,
zip it,
zip it,
zip it,
zip it,
