emailReply,emailBody
Send reply, 
reply to this, 
Reply, 
Reply to email, 
Reply to this email., 
shoot a reply, 
shoot john a reply, 
draft a reply, 
Send a reply to the email, 
Reply to this mail, 
make a reply, 
reply to this please, 
write a reply to email, 
Reply to this email, 
send a reply, 
send a response, 
please reply, 
Please send a reply email, 
add a reply, 
can you help me reply, 
compose a reply, 
respond to this, 
Reply to this mail, 
I need to reply, 
reply to that, 
reply to him, 
make a reply, 
reply here, 
reply to this mail, 
Reply to my open email., 
could you start a reply, 
Send a reply back to the sender of this message., 
help me reply to this, 
I'd like to respond, 
I'd like to reply, 
Reply to this email., 
reply to her, 
respond to this email, 
shoot a response back, 
respond back, 
send back a reply, 
shoot back a response, 
I need to reply to this, 
I want to reply, 
I'd like to reply, 
reply to current email, 
Reply to this  E-mail, 
Respond to this email, 
Respond to this message, 
Reply to this message., 
send a message back, 
hey can you reply to that email for me , 
reply to this email for me, 
compose a reply to this, 
draft a reply to this, 
Reply to sender., 
I'm making a reply, 
response to this mail, 
hold on reply to this, 
I would like to reply here, 
I'd like to respond to this, 
please reply to this email, 
start a reply, 
begin a reply, 
Please reply to the the email I am currently reading, 
draft up a reply, 
I need to reply, 
Reply to my recent email, 
reply to that email, 
reply to that mail, 
reply to this message please, 
could you please reply to this email, 
can you reply, 
reply for me, 
draft a reply for me, 
I would like to reply to this, 
Send a reply to this email., 
compose a message in response, 
respond to this message please, 
please respond with something, 
I'd like to draft a response, 
Send a reply to this, 
Reply to email, 
answer this email, 
I'd like to answer this email, 
send an answer to this email, 
send him an answer, 
Send an email response., 
let me answer this, 
let me answer this one real quick, 
I can reply to this, 
alright reply to this mail, 
send an answer back, 
send back an answer, 
send a message in response, 
draft a response, 
Reply to this, 
start replying back,
reply back,
I want to reply back,
reply with a message,
reply to this,
reply to that,
reply to him,
reply to her,
compose reply,
compose a reply,
send a message back,
send a note back saying,
send back a note,
respond,
respond to this,
answer back,
write a reply,
shoot a reply email back,
Reply to email with Work is still in progress,Work is still in progress
Please respond to this email with Lets reschedule this meeting,Lets reschedule this meeting
Reply and say OK,OK
reply and say thank you,thank you
reply and say noted,noted
reply and say what are your plans today,what are your plans today
reply and say sorry not interested,sorry not interested
send a reply for me saying thank you.,thank you
send a reply for me saying you are most welcome,you are most welcome
send a reply for me saying what's up,what's up
send a reply saying let's meet up later,let's meet up later
send a reply saying we should catch up soon,we should catch up soon
send a reply saying thanks,thanks
reply to this email saying sure I will attend the party.,sure I will attend the party
reply to this email saying that I am busy now,I am busy now
reply saying thanks for the invite,thanks for the invite
reply saying we should catch up later,we should catch up later
reply saying hello,hello
reply saying lets discuss later in person,lets discuss later in person
reply to this email saying thank you,thank you
reply to this email saying good morning,good morning
reply to this email saying how are you,how are you
reply to this email saying lets catch up soon,lets catch up soon
reply to this email saying your request has been accepted,your request has been accepted
tell her thanks but no thanks,thanks but no thanks
tell him sorry I won't be able to make it, sorry I won't be able to make it
reply back saying sorry I wont be able to attend,sorry I wont be able to attend
reply to him saying hey thanks for this,hey thanks for this
reply back and say great idea,great idea
reply with haha that's stupid,haha that's stupid
can you reply and say what the hell,what the hell
send a reply saying I did not see your car there sorry, I did not see your car there sorry
reply back with that's ok,that's ok
reply back to deepak and say I hope you feel better,I hope you feel better
