emailShow,emailContactDate,emailContact,emailDate,emailKeyword,emailSubject,emailCategory,emailUnread,emailLatest
find all emails from 2015 about chinese alive,2015,,,chinese alive,,,,
which ones from jess cha did I need to reply to,jess cha,,,,,reply,,
display emails from 4th october,4th october,,,,,,,
open my mails from 4th of December,4th of December,,,,,,,
can you read my e-mails from the 7th of April,7th of April,,,,,,,
search for the e-mail about fantasy football from aaron jones,aaron jones,,,fantasy football,,,,
have I got any unopened emails from abc@gmail.com,abc@gmail.com,,,,,,unopened,
read ada shen's emails,ada shen,,,,,,,
Show me the latest emails from alan,alan,,,,,,,
any missed ones from Alejandro Borbossa?,Alejandro Borbossa,,,,,,missed,
show me Alexa Melhorn emails which I have to reply,Alexa Melhorn,,,,,reply,,
do I have anything urgent from Alexis Chomsky,Alexis Chomsky,,,,,urgent,,
what did the email from alexis k ross say,alexis k ross,,,,,,,
read the latest email from allan jj waxman,allan jj waxman,,,,,,,latest
read my latest email from allen bolden,allen bolden,,,,,,,latest
show my latest emails,,,,,,,,latest
show my latest email,,,,,,,,latest
read my latest emails,,,,,,,,latest
Show me emails I need to respond to,,,,,,respond,,
Find emails I need to respond to,,,,,,respond,,
Read emails I need to respond to,,,,,,respond,,
What emails do I need to respond to,,,,,,respond,,
what emails do I need to respond to from Amy Schumer,Amy Schumer,,,,,respond,,
find the new email from anastasia gabor,anastasia gabor,,,,,,,new
read out the one from andre leon talley,andre leon talley,,,,,,,
find the email from andrew whitacre about job postings,andrew whitacre,,,job postings,,,,
read Ankita's emails which needs a reply,Ankita,,,,,reply,,
find all the emails from anna frederick,anna frederick,,,,,,,
search emails from anna lu owens about vista training,anna lu owens,,,vista training,,,,
open the one from anna wintour,anna wintour,,,,,,,
what is my critical email from Anna Zukowski about,Anna Zukowski,,,,,critical,,
find anne brown's newest email to me,anne brown,,,,,,,newest
show me the newest e-mail from anne christina-gomez,anne christina-gomez,,,,,,,newest
let's hear the urgent one from anthony sparks,anthony sparks,,,,,urgent,,
search inbox for messages from April 11th,April 11th,,,,,,,
find email from april 1st about bowling night,april 1st,,,bowling night,,,,
Unread mails from Aru,Aru,,,,,,Unread,
read me latest email from asteroid jones regarding product updates,asteroid jones,,,product updates,,,,latest
what are recent emails from B Lewis,B Lewis,,,,,,,recent
can you open my unopened emails from babatunde please,babatunde,,,,,,unopened,
hey can you read me my unread emails please from backspaceit,backspaceit,,,,,,unread,
read me emails from Barbara with the words meeting,Barbara,,,meeting,,,,
what emails do I have from bark lee tong,bark lee tong,,,,,,,
comb through my emails for ones from baxter stapleton about demos,baxter stapleton,,,demos,,,,
which ones did I miss from becky h ross,becky h ross,,,,,,miss,
show me the emails from ben carson about brain surgery,ben carson,,,brain surgery,,,,
find all my emails from beta leja,beta leja,,,,,,,
search for one from Betty Monroe that needs replying to,Betty Monroe,,,,,replying,,
which ones from Beverley Wallace have I not read,Beverley Wallace,,,,,,not read,
show meeting requests from Bill Davidson,Bill Davidson,,,,,meeting requests,,
find meeting emails from bill h rogers,bill h rogers,,,,,meeting,,
read my email from bill manning about elections happy hour,bill manning,,,elections happy hour,,,,
open my unread emails from bill piper,bill piper,,,,,,unread,
read emails from Billy Popik needing an answer,Billy Popik,,,,,answer,,
what emails do I have from boafoa darko,boafoa darko,,,,,,,
find the email from boafoa offei darko about the womens march,boafoa offei darko,,,womens march,,,,
what emails from bob smith do I need to reply to,bob smith,,,,,reply,,
what emails from bobross@gmail.com do I need to reply,bobross@gmail.com,,,,,reply,,
search for an email about birthday party sent from Brad Hall,Brad Hall,,,birthday party,,,,
read out to me emails from brian k smith,brian k smith,,,,,,,
show latest email from Bryan,Bryan,,,,,,,latest
search for butler's most recent mail to me,butler,,,,,,,recent
any one from Carol Caligari that needs reply,Carol Caligari,,,,,reply,,
find the email from cecile containing w9 form,cecile,,,w9 form,,,,
Show me latest emails from Chandra,Chandra,,,,,,,
can you read me emails regarding timelines from Chandra levy,Chandra levy,,,timelines,,,,
read me emails from Chandra Young with the words investment in snapchat,Chandra Young,,,investment in snapchat,,,,
show the email from chanel iman about modeling in paris,chanel iman,,,modeling in paris,,,,
find emails from charles schwab,charles schwab,,,,,,,
what email from Charlie DePew do I need to answer,Charlie DePew,,,,,answer,,
pull up charlotte frederich's latest email,charlotte frederich,,,,,,,latest
what does the one from chase bank say,chase bank,,,,,,,
which one from Chase Bank are marked unopen,Chase Bank,,,,,,unopen,
show me emails about data delivery API from chris,chris,,,data delivery API,,,,
what does christian perez important email say,christian perez,,,,,important,,
show emails I need to reply to from Christina Rossitto,Christina Rossitto,,,,,reply,,
can you read out chuck norris email,chuck norris,,,,,,,
show me meeting requests from Cindy Liu-Lee,Cindy Liu-Lee,,,,,meeting requests,,
find the emails from Clayton Herrman requesting to meet,Clayton Herrman,,,,,requesting to meet,,
find ones from cole that are urgent,cole,,,,,urgent,,
do I have any emails from Colin Hong that need I need to respond to,Colin Hong,,,,,respond,,
what emails from Connor Cushman do I have to reply to,Connor Cushman,,,,,reply,,
read Craig Mutchler's urgent email,Craig Mutchler,,,,,urgent,,
what's the meeting request from Cutter McSmith,Cutter McSmith,,,,,meeting request,,
did I miss any e-mails from cynthia,cynthia,,,,,,miss,
read to me some emails from cynthia erenas,cynthia erenas,,,,,,,
Display all needs a response e-mails from Dad,Dad,,,,,response,,
please read dad's email with subject camping trip,dad,,,,camping trip,,,
read me emails from Damon containing the words important,Damon,,,important,,,,
read recent mail from Dan Kane,Dan Kane,,,,,,,recent
which messages from daniel w are important,daniel w,,,,,important,,
can you find the email from danny fan,danny fan,,,,,,,
can you read emails sent from danny lee,danny lee,,,,,,,
can you read emails sent from danny lee about travis,danny lee,,,travis,,,,
find the email from danny lee about the hackathon,danny lee,,,hackathon,,,,
look for an email from David Andrew-Jones related to financial statement,David Andrew-Jones,,,financial statement,,,,
are there any ones from David Chang that I haven't read,David Chang,,,,,,haven't read,
read me recent email from David Lee-Warner,David Lee-Warner,,,,,,,recent
tell me what david peter tse's meeting email is about,david peter tse,,,,,meeting,,
search emails for the one from David Singh about vietnam trip,David Singh,,,vietnam trip,,,,
Show me emails from day before yesterday,day before yesterday,,,,,,,
did I get something from dean kamen about the grant,dean kamen,,,grant,,,,
read the mail from dean kamen of subject st louis,dean kamen,,,,st louis,,,
find emails about college track from december,december,,,college track,,,,
find the ones from december that mention stock options,december,,,stock options,,,,
look up emails from december that mention black friday,december,,,black friday,,,,
show me deedee cain's email with the subject that says family reunion,deedee cain,,,,family reunion,,,
can you find the email from deepak liu about timelines for marketing,deepak liu,,,timelines for marketing,,,,
find the newest e-mail from Deepak TVS,Deepak TVS,,,,,,,newest
read emails from Deepak TVS about demo updates,Deepak TVS,,,demo updates,,,,
read ones from Dennis that are unopened,Dennis,,,,,,unopened,
show urgent emails from Dick Van Dyke,Dick Van Dyke,,,,,urgent,,
pull up emails from Dimple Kyle with the words timelines,Dimple Kyle,,,timelines,,,,
