MusicAlbumsResponse,MusicAlbumsArtist,MusicAlbumsGenre,MusicAlbumsEra
a tribe called quest albums,a tribe called quest,,
aaliyah albums,aaliyah,,
albums please,,,
browse christina aguilera albums,christina aguilera,,
browse some latin albums ,,latin ,
browse soundgarden's albums,soundgarden,,
browse through classical music albums ,,classical ,
browse through some rap albums,,rap,
browse top rap albums ,,rap,
can I search for albums,,,
can I see 2 chainz albums,2 chainz,,
can I see albums by 50 cent,50 cent,,
can I see albums by aerosmith,aerosmith,,
can I see albums by an artist,,,
Can I see albums by badly drawn boy,badly drawn boy,,
can I see albums by drake,drake,,
can I see albums by john mayer,john mayer,,
can I see albums by MC Hammer,mc hammer,,
can I see albums by one direction,one direction,,
can I see charlie xcx's albums,charlie xcx,,
can I see coldplay albums,coldplay,,
can I see drake albums,drake,,
can I see lady gaga albums,lady gaga,,
can I see mos def albums,mos def,,
can I see some blues albums,,blues,
can I see some celine dion albums,celine dion,,
can I see some dance albums,,dance ,
can I see some dashboard confessional albums,dashboard confessional,,
can I see some Eminem albums,eminem,,
can I see some hip hop albums,,hip hop,
can I see some lmfao albums,lmfao,,
can I see some pop albums,,pop,
can I see some rap albums,,rap ,
can I see some Sarah Vaughn albums,sarah Vaughn,,
can I see some snoop dogg albums,snoop dogg,,
can I see the albums of common,common,,
Can i see the albums of Gucci Mane,gucci mane,,
Can i see the albums of jay-z,jay-z,,
can I see the albums of the isley brothers,the isley brothers,,
can I see the albums of the the ,the the,,
Can I see travi$ scott albums,travi$ scott,,
can I see what albums you have,,,
can I see xxx albums,xxx,,
can you find albums,,,
can you find all of incubus albums,incubus,,
can you find all of kylie minogue's albums,kylie minogue,,
can you find all of new edition's albums,new edition,,
can you find all of the ramones albums,ramones,,
can you find all of zero 7's albums,zero 7,,
can you find out what albums nicki minaj has,nicki minaj,,
can you look for an album by an artist,,,
can you pull up their other albums,their,,
can you search for albums,,,
can you search for an album,,,
can you show me albums,,,
can you show me all albums by 600 breezy,600 breezy,,
can you show me all albums by big sean,big sean,,
can you show me all albums by miranda lambert,miranda lambert,,
can you show me all albums by notorious BIG,notorious BIG,,
