MusicCollectionAddResponse,MusicCollectionAddCollection,MusicCollectionAddSong,MusicCollectionAddArtist
add the song 3005 by childish gambino to my ill rap tunes playlist,ill rap tunes,3005,childish gambino 
Add Down by 311 to the playlist called Summer,Summer,Down,311
add the song hello by adele to my british divas collection ,british divas,hello ,adele
add ironic by alanis morissette to my angry chicks playlist ,angry chicks,ironic ,alanis morissette
put black eyed peas I gotta feeling in my party collection ,party ,I gotta feeling ,black eyed peas
put the song jumpman by drake in my workout playlist,workout ,jumpman,drake
put the song summertime sadness by lana del rey in my 2016 collection,2016,summertime sadness,lana del rey
put the song strobe by deadmau5 into my edm mix,edm,strobe,deadmau5
add the hills by the weeknd to my sexy songs playlist,sexy songs,the hills,the weeknd
Add American Idiot by Green Day to my Punk Rock Playlist,Punk Rock,American Idiot,Green Day
put hinder's go home in my workout collection ,workout ,go home,hinder
add breathe carolina's song blackout to my heavy playlist,heavy,blackout,breathe carolina
add the glitch mob song we can make the world stop to my discovery playlist,discovery,we can make the world stop,the glitch mob
add empire of the sun's walking on a dream to my beach party playlist,beach party,walking on a dream,empire of the sun
save m83's song reunion to my electric daisy playlist,electric daisy,reunion,m83
I want to add the jennifer lopez song first love to my latin divas collection,latin divas,first love,jennifer lopez
save keane's somewhere only we know to my dreamy mood collection,dreamy mood,somewhere only we know,keane
add sorry by justin bieber to my boy bands collection ,boy bands,sorry,justin bieber
add alright by kendrick lamar to to my faves ,faves,alright ,kendrick lamar
Add Lady Gaga's song Bad Romance to my bad bitches playlist.,bad bitches,Bad Romance,Lady Gaga
Add Till I Die by Machine Gun Kelly to the playlist called rap faves,rap faves,Till I Die,machine gun kelly 
can you add the song one by u2 to my all time faves playlist,all time faves,one,u2
add madonna's die another day to my badass playlist ,badass,die another day ,madonna
please add Beat It by Michael Jackson to my favorites collection ,favorites ,Beat it,Michael Jackson
add seal's kiss from a rose to my 90s playlist,90s,kiss from a rose,seal
Add En La Intimidad by Ozuna to my Reggaeton mix,Reggaeton,En La Intimidad,Ozuna
add the song happy by pharell to my happy mix ,happy,happy,pharell
add song white iverson by post malone to my rappers collection ,rappers,white iverson ,post malone
Add the prince song Raspberry Beret to my Morning playlist,Morning,Raspberry Beret,prince
add another one bites the dust by queen to my 70s rock collection ,70s rock,another one bites the dust ,queen
Add Creep by radiohead to the playlist Sad Songs,Sad Songs,creep,radiohead
Add diamonds by rihanna to my divas playilst ,divas,diamonds,rihanna 
add try everything by shakira to my kids playlist ,kids,try everything,shakira
put Sia's Chandelier in workout playlist,Workout,Chandelier,sia
save the song shiver by coldplay to my love songs playlist,love songs,shiver,coldplay
add geekin by will.i.am to my black eyed peas playlist ,black eyed peas,geekin ,will.i.am
add journey's don't stop believing to my number one hits playlist,number one hits,don't stop believing,journey
please add the song toxic by britney spears to my kickboxing mix,kickboxing,toxic,britney spears
drop the song ivy by frank ocean into my dreamy songs playlist,dreamy songs,ivy,frank ocean
save powerful by goapele in my neo soul collection,neo soul,powerful,goapele
can you put zero by chris brown into my clubbing mix,clubbing,zero,chris brown
add the song obsessed by mariah carey to the playlist called on fleek,on fleek,obsessed,mariah carey
add the track mirrors by justin timberlake to my playlist called romantic emo,romantic emo,mirrors,justin timberlake
add the demi lovato song cool for the summer to my hot tracks mix,hot tracks,cool for the summer,demi lovato
could you add nobody to love by alex newell to my cheesy songs list,cheesy songs,nobody to love,alex newell
find the night is still young by nicki minaj and add it to my boss ladies playlist,boss ladies,the night is still young,nicki minaj
could you add the song the boy with the thorn in his side by the smiths to my 80s rock collection,80s rock,the boy with the thorn in his side,the smiths
put the song happy birthday by stevie wonder into my birthday songs playlist,birthday songs,happy birthday,stevie wonder
save ebony and ivory by paul mccartney on my beatles playlist,beatles,ebony and ivory,paul mccartney
help me add the song total eclipse of the heart by bonnie tyler to my 80s faves,80s faves,total eclipse of the heart,bonnie tyler
add the song called walk like an egyptian by the bangles to my famous girl groups playlist,famous girl groups,walk like an egyptian,the bangles
can you add a song called rapture by blondie to my rock goddess playlist,rock goddess,rapture,blondie
add regulate by warren g to my old school rap collection,old school rap,regulate,warren g
