MusicInfoConcertsResponse,MusicInfoConcertsArtist,MusicInfoConcertsLocation,MusicInfoConcertsDate
Any Beyonce concerts in Detroit? ,Beyonce,Detroit ,
any bruno mars concerts coming up,bruno mars,,
Any concerts by Rihanna in Miami in October?,Rihanna,Miami,october
any tour dates for Barbra Streisand in New Jersey?,Barbra Streisand,New Jersey,
are macklemore & ryan lewis performing in new jersey,macklemore & ryan lewis,new jersey,
are there any a tribe called quest concerts coming up,a tribe called quest,,
Are there any concerts coming up in cincinnati featuring U2?,U2,cincinnati,
Are there any concerts for Daft Punk coming up in Sydney?,Daft Punk,Sydney,
Are there any Drake concerts coming up?,Drake,,
are there any john legend concerts coming up ,john legend,,
Are there any Maroon 5 concerts in Los Angeles coming up?,Maroon 5,Los Angeles,
Are there any Meghan Trainor concerts in Boston coming up?,Meghan Trainor,Boston,
are there any nearby shows on the lily allen tour?,lily allen,nearby,
are there any zac brown band concerts coming up?,zac brown band,,
are they coming to chicago,they,chicago,
are they going on tour,they,,
are they in concert right now,they,,
are they on tour,they,,
are they playing detroit,they,detroit,
are they playing in amsterdam,they,amsterdam,
are they playing somewhere,they,,
are they touring,they ,,
are they touring in los angeles,they ,los angeles,
aren't they on tour,they,,
bring up all of rihanna's tour dates,rihanna,,
Bring up niall horan tour dates.,niall horan,,
can I catch breaking benjamin in detroit,breaking benjamin,detroit,
Can I see all performances by Rihanna in my area?,Rihanna,my area,
can I see blink 182 in atlanta this summer,blink 182,atlanta,this summer
can I see concerts info,,,
can you find concerts,,,
can you find concerts for 112,112,,
can you find concerts in los angeles,,los angeles,
can you find concerts near me,,near me,
can you find zayn concerts,zayn,,
can you get concert info,,,
can you get concerts ,,,
can you look up boogie down productions concerts,boogie down productions,,
can you look up concerts,,,
can you look up concerts for 3 doors down,3 doors down,,
can you show me concerts for dj khaled,dj khaled,,
can you show me concerts in florida,,florida,
Can you show me upcoming concerts in Birmingham?,,Birmingham,
check destiny's child concert dates,destiny's child,,
check for young the giant concerts,young the giant,,
check if madonna is playing any concerts,madonna,,
check sum 41 concert dates,sum 41,,
check whether future is playing any concerts,future,,
concerts info please,,,
concerts please,,,
do you have concert dates for sam smith,sam smith,,
do you have concerts,,,
do you have rihanna's concert dates,rihanna,,
do you know beyonce's tour schedule,beyonce,,
do you know concerts,,,
do you know drake's concert schedule,drake,,
do you know when the rae sremmurd concert is?,rae sremmurd,,
do you know where's madonna on tour,madonna,,
does blake shelton have any shows in houston,blake shelton,Houston,
does gwen stefani have shows in miami,gwen stefani,miami,
does rita ora have any concerts,rita ora,,
does the stereophonics have any shows coming up,the stereophonics,,
does zedd have any upcoming concerts?,zedd,,
fetch concerts,,,
find a concert,,,
find a music concert,,,
find a show,,,
Find Adele concerts in London.,Adele,London,
Find akon shows in LA,akon,LA,
Find Alicia Keys concerts in Chicago.,Alicia Keys,Chicago,
Find an amy winehouse concert in honolulu,amy winehouse,honolulu,
Find backstreet boys shows in los angeles,backstreet boys,los angeles,
"Find Beyonce concerts in Indianapolis, Indiana",Beyonce,"Indianapolis, Indiana",
find beyonce tour dates,beyonce,,
Find blink 182 concerts in Ohio,blink 182,Ohio,
Find Bone Thugs N Harmony Concert in Minneapolis,Bone Thugs N Harmony,Minneapolis,
find bruce springsteen's tour dates,bruce springsteen,,
Find calvin harris shows in los angeles,calvin harris,los angeles,
find charlie xcx concerts,charlie xcx,,
find chris brown tour dates ,chris brown ,,
find christina aguilera's concerts,christina aguilera,,
find concert,,,
find concert,,,
find concert events,,,
find concert events in honolulu,,honolulu,
find concert events this weekend in LA,,LA,this weekend
find concert info,,,
Find concert of michael buble in New York,michael buble,New York,
find concerts,,,
Find concerts by Imagine Dragons in Missouri,Imagine Dragons,Missouri,
find concerts featuring queen,queen,,
find concerts for 2 chainz,2 chainz,,
find concerts for carrie underwood in orlando florida,carrie underwood,orlando florida,
find concerts for Destiny's Child,destiny's child,,
Find concerts for Disturbed in Knoxville Tennessee.,Disturbed,Knoxville Tennessee,
find concerts for drake,drake,,
Find concerts for Drake in LA ,Drake,LA,
find concerts for florence & the machine,florence & the machine,,
find concerts for foxy brown,foxy brown,,
Find concerts for Jay Z in LA,jay z,LA,
find concerts for Jon Bon Jovi,jon bon jovi,,
find concerts for Justin Timberlake,Justin Timberlake,,
Find concerts for Kanye West in Toronto.,Kanye West,Toronto,
Find concerts for lil wayne in LA,lil wayne,LA,
find concerts for rudimental location boston,rudimental,boston,
Find concerts for She & Him in LA,she & him,LA,
Find concerts for the band Bastille,Bastille,,
find concerts in my location,,my location,
find concerts in new york,,new york ,
find concerts in twin cities,,twin cities,
find concerts near me,,near me,
find concerts near me this week,,near me,this week
find concerts this weekend,,,this weekend
Find concerts with Luke Bryan in Tulsa,Luke Bryan,Tulsa,
Find concerts with Michael Buble,Michael Buble,,
Find Dave Matthews Band concerts in New York City,Dave Matthews Band,New York City,
find david bowie concerts in london,david bowie,london,
Find Delgados concert in Minneapolis,Delgados,Minneapolis,
find dj khaled tour dates,dj khaled,,
find ed sheeran's concert schedule,ed sheeran,,
find five finger death punch concerts near me,five finger death punch,near me,
find fka twigs shows,fka twigs,,
find flame shows,flame,,
find flamingo shows,flamingo,,
find flash and the pan shows,flash and the pan,,
find fleetwood mac tour dates,fleetwood mac,,
find flo rida's tour dates,flo rida,,
find floetry's tour dates,floetry,,
find foster the people tour dates,foster the people,,
"Find Ghost shows in Baltimore, Maryland.",Ghost,"Baltimore, Maryland",
Find gigs for The Lumineers in the Bay Area,The Lumineers,Bay Area,
find lil yachty concerts,lil yachty,,
Find me a Pharell Williams concert near Virginia beach,Pharell Williams,Virginia beach,
Find me Avril Lavigne concerts in Detroit.,Avril Lavigne,Detroit,
Find me concerts happening near Pittsburgh this month.,,Pittsburgh,this month
Find me concerts happening soon nearby,,nearby,
find me concerts this weekend,,,this weekend
Find me Frank Turner concerts in oakland,frank turner,oakland,
Find me music concerts,,,
find me some concerts,,,
find missy elliott concerts,missy elliott,,
find mumford & sons concerts,mumford & sons,,
find music tour,,,
find nick jonas concerts,nick jonas,,
find nicki minaj concert dates,nicki minaj,,
Find one direction shows,one direction,,
"find out the next 10,000 maniacs show","10,000 maniacs",,
find out the next 2ne1 show,2ne1,,
find out the next black eyed peas show,black eyed peas,,
find out the next bonobo show,bonobo,,
find out the next boyzone show,boyzone,,
find out the next fantino show,fantino,,
find out the next twenty one pilots show,twenty one pilots,,
Find out the next twenty one pilots show?,twenty one pilots,,
Find out when eminem is playing in Los Angeles.,eminem,Los Angeles,
Find out when Katy Perry is coming to Chicago.,Katy Perry,Chicago,
find out where nelly is performing,nelly,,
Find paul mccartney shows in st louis,paul mccartney ,st louis,
find red hot chili peppers concerts,red hot chili peppers,,
find show,,,
find shows,,,
Find shows for onerepublic,onerepublic,,
find shows to check out next weekend,,,next weekend
find some concerts,,,
find some concerts playing near me this month,,near me,this month
find some concerts to check out this weekend,,,this weekend
find SZA concerts,SZA,,
find the chainsmokers in concert,the chainsmokers,,
find the concerts of tyga in los angeles?,tyga,los angeles,
Find the latest concerts by charlie puth in Florida,charlie puth,Florida,
find the next britney spears show,britney spears,,
find the next dj snake gig,dj snake,,
find the next dnce gig in san francisco,dnce,san francisco,
Find the next Dru Hill concert in Oakland,dru hill,oakland,
find the next Eminem show,eminem,,
find the next j cole show,j cole,,
find the next jessie j show in san francisco,jessie j,san francisco,
find the next kings of leon show in houston ,kings of leon,Houston,
find the next Lady Gaga show,lady gaga,,
find the next muse gig,muse,,
Find the next The Weeknd concert in New York City,The Weeknd,New York City,
find the next the weeknd show,The Weeknd,,
find the next TLC concert in Brooklyn,TLC,brooklyn,
find the next tyga gig,tyga,,
find the next wiz khalifa concert in san francisco,wiz khalifa,san francisco,
Find the Smashing Pumpkins concert in Lexington.,Smashing Pumpkins.,Lexington,
Find the wonder years concerts in Missouri,the wonder years,Missouri,
find Total concerts,total,,
find tour dates for AC/DC,AC/DC,,
"Find tour dates for Bayside near Baltimore, MD.",Bayside,"Baltimore, MD",
Find tour dates for new found glory,new found glory,,
find tour dates for the script,the script,,
find tour info,,,
find u2 concert dates in austin TX,U2,austin TX,
find Upcoming concerts for bruno mars in Philadelphia ,bruno mars,Philadelphia ,
find upcoming concerts near me,,near me,
find upcoming david guetta concerts,david guetta,,
Find upcoming Drake shows ,Drake,,
FInd upcoming Luke Bryan concerts,Luke Bryan,,
Find Usher's Concert in New york,Usher,New york,
Find Weird Al Yankovic concerts near me.,Weird Al Yankovic,near me,
find where demi lovato is going on tour,demi lovato,,
find where TLC is performing on tour,TLC,,
find will.i.am concerts dates,will.i.am,,
Find zayn concerts in the Philadelphia area.,zayn,Philadelphia,
get concert,,,
get concert dates for taylor swift,taylor swift,,
get concert info,,,
get concerts,,,
get me concert dates,,,
get me concert listings,,,
get me concerts please,,,
Get me live shows of feist in LA,feist,LA,
get me the concert schedule of the piano guys,the piano guys,,
Get me upcoming shows for ll cool j ,ll cool j ,,
Get me upcoming shows for my chemical romance,my chemical romance,,
Get me upcoming shows for the killers ,the killers,,
get nicki minaj concert schedule,nicki minaj,,
get p!nk concert dates,p!nk,,
get queen latifah concert schedule,queen latifah,,
get stevie wonder concert schedule,stevie wonder,,
get the concert dates for eminem,eminem,,
get the concert schedule for the wonder years,the wonder years,,
get wiz Khalifa concert schedule,wiz khalifa,,
help find lorde shows,lorde,,
help me find jessica simpson concerts,jessica simpson,,
help me search for coldplay's concerts,coldplay,,
her next concert is in what city,her,,
her next show is what day,her,,
her next show is when,her,,
his next concert is playing where,his,,
his next concert is when,his,,
his next show is playing where,his,,
I am looking for concerts,,,
I am looking for jennifer lopez concerts,jennifer lopez,,
I need concerts,,,
I need some concerts info,,,
i need the list of concerts that will be taking place in las vegas,,las vegas,
I need to know when lil yachty is on tour,lil yachty,,
I wanna know where dua lipa is playing,dua lipa,,
I wanna see oasis in birmingham,oasis,Birmingham,
I want concert dates,,,
I want concert days,,,
I want concerts,,,
I want live shows ,,,
I want to go to a concert,,,
I want to go to an abba show,abba,,
I want to know when kiiara is coming to new jersey,kiiara,new jersey,
I want to know where muse is playing,muse,,
I want to search for haim concerts,haim,,
I want to see a celine dion show in st louis,celine dion,st louis,
I want to see beyonce live,beyonce,,
I want to see coldplay live,coldplay,,
I want to see concerts,,,
I want to see jay-z in las vegas,jay-z,las vegas,
I want to see mariah carey perform,mariah carey,,
I want to see mark ronson,mark ronson,,
