MusicPlayResponse,MusicPlayAlbumArtistSong,MusicPlaySongAlbum,MusicPlayAlbumArtist,MusicPlaySong,MusicPlayArtist,MusicPlayAlbum,MusicPlayEra,MusicPlayGenre,MusicPlayMood,MusicPlayCollection,MusicPlayKeyword,MusicPlayNew,MusicPlaySimilar
90s trip hop music please ,,,,,,,90s,trip hop,,,,,
can you play 70's electronic funk music,,,,,,,70's,electronic funk,,,,,
can you play a song called pop style,,,,pop style,,,,,,,,,
Can you play the song million reasons,,,,million reasons,,,,,,,,,
Can you play her song circus,,,,circus,her,,,,,,,,
Can you play her top songs,,,,,her,,,,,,,,
can you play I gotta feeling,I gotta feeling,,,,,,,,,,,,
can you play i want it that way by nkotbsb,,i want it that way,,,nkotbsb,,,,,,,,
can you play me el perdedor by maluma,,el perdedor,,,maluma,,,,,,,,
can you play me some 80s smooth jazz,,,,,,,80s,jazz,,,,,
Can you play music by will.i.am,,,,,will.i.am,,,,,,,,
can you play my favorites playlist,,,,,,,,,,favorites,,,
can you play rock of ages,rock of ages,,,,,,,,,,,,
can you play some 1980s music,,,,,,,1980s,,,,,,
can you play some big freedia radio,,,,,big freedia,,,,,,,,radio
Can you play some brian setzer,brian setzer,,,,,,,,,,,,
can you play some country,,,,,,,,country,,,,,
can you play some of her tracks,,,,,her,,,,,,,,
can you play some songs for a girl's night out ,,,,,,,,,,,girl's night out,,
can you play something for happy hour,,,,,,,,,,,happy hour,,
can you play something similar,,,,,,,,,,,,,similar
Can you play that band ,,,,,that,,,,,,,,
can you play that playlist,,,,,,,,,,that,,,
can you play that track,,,,that,,,,,,,,,
can you play the album destiny fulfilled,,,,,,destiny fulfilled,,,,,,,
can you play the track country house,,,,country house,,,,,,,,,
can you put on his song drank in my cup,,,,drank in my cup,his,,,,,,,,
can you put on the new song by hollywood undead,,,,,hollywood undead,,,,,,,new,
Can you put on the Sleepytime Music playlist I made?,,,,,,,,,,Sleepytime Music,,,
could you play my city,my city,,,,,,,,,,,,
