MakeResQuery1,MakeResDate,MakeResTime,MakeResPeople,MakeResVenue
I want to make a reservation,,,,
Book a table at 5 pm there,,5 PM,,there
Make a reservation for 2 at 9 pm,,9 PM,2,
Ask if there is space for 4 at 8:30 on Tuesday,Tuesday,8:30,4,
Make a reservation there for lunch,,,,there
I would like to make a reservation for today,Today,,,
Can I reserve a table for tonight at 8pm,Tonight,8pm,,
book me a table there for dinner today,Today,,,there
Reserve a table there at 6:30 pm on Friday for 2 people,Friday,6:30 PM,2,there
book a table for 3 people tomorrow,tomorrow,,3,
Reserve a table in the first one at 5 on Friday,Friday,5,,first one
Can I have a table for 2 people,,,,
Can I have a table for 3 people on Wednesday,Wednesday,,3,
Get me a reservation in this one,,,,this one
Get me a reservation in the first one for 4 people on Saturday,Saturday,,4,first one
Get me a reservation at 7'o clock tonight,Tonight,7'o clock,,
Get me a resrvation there at 5'o clock on Wednesday,Wednesday,5'o clock,,
Get me a resrvation there at 6'o clock for a party of 4,,6'o clock,4,there
Can I have a table there for a party of 2 tomorrow,Tomorrow,,2,there
Get me a table there for a party of 3 on Monday,Monday,,3,there
Get me a table in this one for a party of 4 on Thursday,Thursday,,4,this one
Get me a table in that one for a party of 6 on Tuesday,Tuesday,,6,that one
Make me a reservation in this one for 3 poeple at 7pm on Friday,Friday,7PM,3,this one
I want to make a reservation for the first one at 10 o clock,,10 o clock,,
I want to reserve a table in this one for a party of four on Tuesday,Tuesday,,four,this one
I want to reserve a table there for a party of four on Tuesday,Tuesday,,four,there
I want to make a reservation there for a party of three at 7'o clock,,7'o clock,three,there
Can you get me a reservation at this one,,,,
Can you get me a reservation at that one for 3 people,,,3,
Can you get me a reseravtion at that one for 2 people on Tuesday,Tuesday,,2,
Can you get me a reseration in this one for a party of two for dinner,,,two,this one
Can you get me a reservation there for a party of 2 at 7'o clock,,7'o clock,2,there
I want a table there for 4 people at 7 on Tuesday,Tuesday,7,4,there
I want a table there for 2 a 6'o clock,,6'o clock,2,there
I want a table there for a party of three,,,three,there
I want a table there for a party of 2,,,2,there
I want a table for this place for a party of 3 on Monday,Monday,,3,this place
I want a table for the first one on Wednesday,Wednesday,,,the first one
Can you get me a table there around 7'o clock,,7'o clock,,there
I want to get a reservation there around lunch on Tuesday,Tuesday,,,there
Reserve a table there for lunch on Tuesday ,Tuesday,,,there
I want to get a reservation there around lunch on Tuesday for four,Tuesday,,four,there
I want to get a reservation there around lunch on Friday for 2,Friday,,2,there
Get me a table for 2 at 7pm,,7pm,2,
get me a table for 5 at 7 tonight,tonight,7,5,
get me a table for 10 people at noon,,noon,10,
get me a table for 3 at 6pm,,6pm,3,
get me a table for 2 guests at 10pm,,10pm,2,
get me a table for 5 people at 11pm,,11pm,5,
get me a table for 4 at noon,,noon,4,
book a table for 5 people on tuesday 7pm,Tuesday,7pm,5,
book a table for 5 guests on monday night 7pm,Monday,7pm,5,
book a table for 5 on sunday at 7pm,Sunday,7pm,5,
book a table for 4 guests for tuesday 6:30pm,tuesday,6:30pm,4,
book a table for 5 for saturday evening 7pm,Saturday,7pm,5,
book a table for 10 tuesday night 7 o'clock,Tuesday,7 o'clock,10,
book a table for 2 people for sunday 1pm,sunday,1pm,2,
book a table for 8 people on monday night 7pm,monday,7pm,8,
make a reservation for 4 on Monday night 7pm,Monday,7pm,4,
make a reservation for 4 people on Monday night 7pm,Monday,7pm,4,
make a reservation for 4 guests on Monday at 7pm,Monday,7pm,4,
