Answer.OpenAnswer1,Answer.AlarmTime,Answer.AlarmDate,Answer.AlarmRecurring
"""Assistant, please set my alarm to go off at 6:00 a.m. Saturday morning only.",6:00 a.m,Saturday,
"""Open Clock App and Create a Daily Alarm for 6:30 am.""",6:30 am,Daily,Daily
Set an alarm for 4 PM,4 PM,,
Alarm 6 30 am,6 30 am,,
alarm 7 am,7 am,,
Alarm for 3:30 pm,3:30 pm,,
Alarm for 5 am every day.,5 am,,every day
alarm for 6 am tomorrow,6 am,Tomorrow,
"Assisant, set an alarm for 8:00 AM Monday morning.",8:00 AM,Monday,
"Assistant, set an alarm for 7:30am tomorrow morning",7:30am,Tomorrow,
"assistant, set new alarm eight thirty am",eight thirty am,,
Can you please set an alarm for tomorrow at 6 AM?,6 AM,Tomorrow,
Can you set an alarm for tomorrow at 7 AM?,7 AM,Tomorrow,
"computer, set alarm",,,
Could you please remind me to take the dog for a walk at 1:00 this afternoon?,1:00 this afternoon,,
Could you please set an alarm for 6 am tomorrow.,6 am,tomorrow,
"Create an alarm for 8am, Monday through Friday.",8am,Monday through Friday,
Give me a 7:00 am alarm on Monday,7:00 am,Monday,
hey siri...set alarm at noon,noon,,
Notify me at 2:30 PM today.,2:30 PM,Today,
"OK Google, set an alarm for tomorrow morning at 715am.",715am,tomorrow,
"Okay Google, set an alarm for 6am every weekday.",6am,weekday,every
Open Clock and set alarm for 3 am.,3 am,,
Open setting alarm,,,
Phone set my alarm for seven in the morning,seven,,
"Phone, set a one time alarm for 7 AM.",7 AM,,
"Phone, Set alarm for 8 am tomorrow",8 am,Tomorrow,
please get up early in the morning,,,
Please set a 7pm alarm for Tues nights,7pm,Tues,Tues
Please set a recurring alarm for 6:45AM Monday through Friday.,6:45AM,Monday through Friday,recurring
Please set alarm for tomorrow 6 am,6 am,,
Please set an alarm,,,
Please set an alarm for 2 PM tomorrow,2 PM,tomorrow,
Please set an alarm for 5 am,5 am,,
Please set an alarm for 6'o clock tomorrow morning.,6'o clock,Tomorrow Morning,
Please set an alarm for 6 AM tomorrow morning.,6 AM,Tomorrow,
Please set an alarm for 8:30 AM,8:30 AM,,
Please set an alarm for me.,,,
"Please set an alarm for Saturday, July 16 at 6 a.m.",6 a.m.,"Saturday, July 16",
Please set an alarm for today at 4:30 PM.,4:30 PM,Today,
please set an alarm for tomorrow at 6:45 AM,6:45,tomorrow,
Please set an alarm for tomorrow morning at 6:30 am,6:30 am,Tomorrow,
