TransportTaxiBook,TransportTaxiBookType,TransportTaxiBookOrigin,TransportTaxiBookDestination,TransportTaxiBookTime,context_uber
"Aneeda, book a cab",,,,,
"Aneeda, book a taxi",,,,,
"Aneeda, book me a ride with Uber to go to Vons in Lakewood.",Uber,,Vons in Lakewood,,
"Aneeda, Call Uber cab service and book me a cab to IGI Airport.",Uber,,IGI Airport,,
"Aneeda, help me get a ride with Lyft Line on Thursday to Park City Mall.",,,To Park City Mall,,
"Aneeda, please book an Uber for tomorrow to the Statue of Liberty at 3pm",Uber,,Statue of Liberty,,
"Aneeda, please get a Lyft Line cab service to take me to the airport",,,airport,,
"Aneeda, schedule a ride with Uber to Vons in Lakewood for 2:30.",Uber,,Vons in Lakewood,2:30,
"Aneeda, use Uber to book me a ride this Sunday to Gravity Hill.",Uber,,Gravity Hill,,
"Assistant, can you find a service such as Uber to pick me up at my current location and to take me to the nearest McDonalds?",Uber,current location,Nearest McDonalds,,
"Assistant, I would liked to use Uber to pick me up in 2 hours, to take me to McDonalds",Uber,,McDonalds,2 hours,
"Book a minivan car for address street Trakia 25, Yambol, Bulgaria at 10 AM this morning .",minivan car,,"for address street Trakia 25, Yambol, Bulgaria",10 AM,
"Book me a OLA sharing cab for Cyber City, Gurgaon.",,,"Cyber City, Gurgaon",,
"book Uber for Maceio, Pajucara",Uber,,"Maceio, Pajucara",,
"Book Uber ride to 221 Oxford Place, San Diego, CA",Uber,,"221 Oxford Place, San Diego, CA",,
"Call Uber and book a minivan car for street Trakia 25, Yambol, Bulgaria at 10 AM this morning .",Uber,,"for street Trakia 25, Yambol, Bulgaria",10 AM,
"can you book an uber to 42 Stafford street, lynmore",uber,,"42 Stafford street, lynmore",,
"Can you Please Book Lyft Line cab service to Wall Street, Brooklyn",,,"Wall Street, Brooklyn",,
"connect with Uber. Destination: Maceio, Pajucara",Uber,,"Maceio, Pajucara",,
"Book Uber from 200-4th St N, Largo Florida",Uber,"200-4th St N, Largo Florida",,,
Book Uber from 809 N cahuenga blvd,Uber,809 N cahuenga blvd,,,
"Could you please book me, Uber cab service to Delhi",Uber,,Delhi,,
"Could you please book me, Uber cab service to Washington.",Uber,,Washington,,
"Find me the number to the Super cab near me in West New York, NJ.",,,"West New York, NJ",,
"Find me the number to the Super Taxi near me in West New York, NJ.",,,"West New York, NJ",,
"Get me a Uber vehicle to pick me up at 200 - 4th St N, Largo Florida.",Uber,"200 - 4th St N, Largo Florida",,,
"Hey Aneeda, Book me a Uber to the IGI Airport.",Uber,,IGI Airport,,
"I need a Uber cab to head to the Yankee Stadium, New York.",Uber,,"Yankee Stadium, New York",,
"I need a uber cab to take me to Yankee Stadium, New York",uber,,"Yankee Stadium, New York",,
"I want to book an Uber to take me to Hershey, PA",Uber,,"Hershey, PA",,
"I want to go to Washington, book  Uber cab service.",Uber,,Washington,,
"I would like to book Uber cab service to take me from Philadelphia, PA to New York, New York.",Uber,"Philadelphia, PA","New York, New York",,
book Uber to take me from 809 N cahuenga blvd to New York,Uber,809 N cahuenga blvd,New York,,
"I'd like a car, please.",,,,,
"kindly I need to book a cab service,a uber for transportation via street 88",uber,,Transportation,,
"open Uber app, book a suv car going to Mumbai from pune",Uber,pune,Mumbai,,
"Please help me book Uber cab service from Philadelphia, PA to New York, New York",Uber,"Philadelphia, PA","New York, New York",,
"Please schedule Uber to take me to Akron, PA",Uber,,"Akron, PA",,
"Request Uber to the John S. Knight Center in Akron, OH.",Uber,,"John S. Knight Center in Akron, OH",,
alright let's go there,,,there,,
alright let's go to my earlier location ,,,,,earlier
alright let's go to my earlier ride ,,,,,earlier
alright let's go to my earlier trip ,,,,,earlier
alright let's go to my last location ,,,,,last
alright let's go to my last ride ,,,,,last
alright let's go to my last trip ,,,,,last
alright let's go to my previous location ,,,,,previous
alright let's go to my previous ride ,,,,,previous
alright let's go to my previous trip ,,,,,previous
Aneeda can you book UberXL to pick me up and take me to Citizens Bank Park for tomorrow at 9?,UberXL,,CItizens Bank Park,,
Aneeda find me a uber cab to McDonalds in Chicago,uber,,McDonalds in Chicago,,
Aneeda launch Uber and book and UberXL to take me to Citizens Bank Park,UberXL,,CItizens Bank Park,,
Aneeda take me to uber Florida,uber,,Florida,,
Arrange Uber SUV for Airport,Uber SUV,,Airport,,
Arrange Uber to K-mart.,Uber,,K-mart,,
book a cab on uber for Madison square garden,uber,,Madison square garden,,
Book a cab on Uber to Lagos.,Uber,,Lagos,,
Book a cab with Stance going to Abuja.,,,Abuja,,
