TransportTaxiBook,TransportTaxiBookType,TransportTaxiBookOrigin,TransportTaxiBookDestination,TransportTaxiBookTime,context_uber
Bacchanal uber exec Bacchanal Buffet,uber exec,,Bacchanal Buffet,,
LIVEUP VIP me to Las Palmas,LIVEUP VIP,,Las Palmas,,
LIVEUP VIP to my last trip,LIVEUP VIP,,,,last
LIVEUP VIP to the Fresh Pond Cambridge Massachusetts,LIVEUP VIP,,Fresh Pond Cambridge Massachusetts,,
LIVEUPVIP me to Belgrave Hotel,LIVEUPVIP,,Belgrave Hotel,,
LIVEUPVIP me to Cheeseburger in Paradise,LIVEUPVIP,,Cheeseburger in Paradise,,
LIVEUPVIP me to First Financial Bank,LIVEUPVIP,,First Financial Bank,,
LIVEUPVIP me to Hambleton Hall,LIVEUPVIP,,Hambleton Hall,,
alright let s go Collegedale Municipal Airport,,,Collegedale Municipal Airport,,
alright let s go home,,,home,,
alright let s go to my last ride,,,,,last
alright let s go to my last ride,,,,,last
alright let s go to my last ride,,,,,last
alright let s go to my last ride,,,,,last
alright let s go to my last trip,,,,,last
alright let s go to my last trip,,,,,last
alright let s go to my last trip,,,,,last
alright let s go to my return ride,,,,,return
alright let s go to my return ride,,,,,return
alright let s go to my return ride,,,,,return
alright let s go to my return trip,,,,,return
alright let s go to my return trip,,,,,return
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book a taxi,,,,,
aneeda book me a ride with uber plus to go to third one,uber plus,,third one,,
aneeda book me a ride with uber suv to go to Hotel Corona,uber suv,,Hotel Corona,,
aneeda book me a ride with uber x to go to CoBank,uber x,,CoBank,,
aneeda call uberfastlane cab service and book me a cab to the tenth,uberfastlane,,the tenth,,
aneeda call uberxl cab service and book me a cab to Grange City Hotel,uberxl,,Grange City Hotel,,
aneeda can you book taxi to pick me up and take me to third one for tomorrow at 9,taxi,,third one,,
aneeda find me a LIVEUPVIP cab to Carnegie Deli,LIVEUPVIP,,Carnegie Deli,,
aneeda find me a taxi cab to first one,taxi,,first one,,
aneeda find me a uberfamily cab to Corner Bakery Cafe,uberfamily,,Corner Bakery Cafe,,
aneeda find me a uberlux cab to tenth,uberlux,,tenth,,
aneeda find me a uberxl cab to Collin Creek Mall,uberxl,,Collin Creek Mall,,
aneeda launch uber and book and lux to take me to Parkland Estates,lux,,Parkland Estates,,
aneeda launch uber and book and uberpool to take me to Vendome,uberpool,,Vendome,,
aneeda launch uber and book and uberxl to take me to Whispering Pines,uberxl,,Whispering Pines,,
aneeda launch uber and book and wav to take me to Independent Bank,wav,,Independent Bank,,
aneeda please book an uber exec for tomorrow to the this at 3pm,uber exec,,this,,
aneeda please book an uber go for tomorrow to the the tenth at 3pm,uber go,,the tenth,,
aneeda please book an uberespañol for tomorrow to the Chatham at 3pm,uberespañol,,Chatham,,
aneeda schedule a ride with LIVEUPVIP to Indian Coffee House for 8 12 a m,LIVEUPVIP,,Indian Coffee House,8 12 a m,
aneeda schedule a ride with uber suv to work for 10 45 am,uber suv,,work,10 45 am,
aneeda take me to uber airport there,uber airport,,there,,
arrange uber fast lane to Naval Air Station Houma,uber fast lane,,Naval Air Station Houma,,
arrange uber x to there,uber x,,there,,
assistant i would liked to use uber select to pick me up in 12 30 p.m to take me to Bank of North Dakota,uber select,,Bank of North Dakota,12 30 p.m,
