TransportTaxiCancelQ,TransportTaxiCancelType
Cancel my recent Uber booking,Uber
I need to cancel my Uber,Uber
Cancel Uber.,Uber
Cancel my uber,uber
Cancel the Uber.,Uber
Cancel Uber.,Uber
Cancel my Uber please.,Uber
Cancel my Uber please.,Uber
Cancel the Uber I ordered.,Uber
cancel my uber,uber
Cancel my Uber SUV request,Uber SUV
cancel my uber,uber
Please cancel my uber ride,Uber
can you cancel my lyft,lyft
I want to cancel my Uber ride.,Uber
Cancel my Uber,Uber
Please cancel current Uber car.,Uber
Please cancel my Uber booking,Uber
Cancel my Uber trip,Uber
I need to cancel my Uber ride.,Uber
hey Aneeda can you cancel the booked uber,uber
"Aneeda, cancel booked uber for tomorrow",uber
Cancel Uber,Uber
Please cancel the booking I made with Uber right now.,Uber
cancel Uber,Uber
Can I cancel my Uber ride?,Uber
Cancel my Uber ride as soon as possible,Uber
Cancel my uber.,Uber
Cancel Uber,Uber
reject Uber SUV,Uber SUV
"cancel Uber reservation",Uber
Cancel my Uber ride.,Uber
Cancel my Uber.,Uber
Please cancel travel with Uber SUV scheduled for Monday at 3:00 p.m.,Uber SUV
Cancel Uber.,Uber
Cancel my Uber ride.,Uber
Cancel my Uber cab.,Uber
Cancel uber,uber
Please cancel Uber Black,Uber Black
Please cancel my ride with Uber that is scheduled for 10am,uber
Cancel my Uber booking for Saturday.,Uber
"Hi, I would like to cancel my booked car with Uber, please.",Uber
Cancel UBER ride.,Uber
Cancel Uber car,Uber
Cancel Lyft Line,Lyft Line
Please cancel my Uber request.,Uber
Cancel my Uber SUV please.,Uber SUV
Cancel my uber,Uber
Cancel my uber pick up,uber
Aneeda cancel my uber ride,Uber
Cancel my Uber ride,Uber
cancel Lyft Line booking,Lyft Line
cancel uber SUV,Uber suv
Revoke the booking for Uber SUV,Uber SUV
Cancel the Uber ride I have booked,Uber
Cancel UberX driver.,UberX
Cancel my Last booking on uber,Uber
Cancel my cab booking uber mini,uber mini
call lyft and let them know that i want to cancel my ride.,lyft
Can you cancel my Uber ride?,Uber
"Uber, please cancel my current ride.",Uber
*automated assistant* Cancel my Uber.,Uber
"Cancel Uber SUV reservation on the Name ""name"".",Uber SUV
Cancel the Uber SUV booking,Uber SUV
cancel uber booking,uber
Can you cancel my Uber car?,Uber
"Please cancel my Uber SUV ride for me, I don't need it.",Uber SUV
cancel my uber SUV I booked,Uber SUV
Cancel Uber book service,Uber
Cancel my Avis car,Avis
Cancel my OLA Micra cab booking.,OLA Micra
Please cancel my uber suv that is en route,Uber suv
Please cancel my booking for Uber SUV which is coming at 4pm,Uber SUV
Abort my current Uber service,Uber
Cancel my Uber,Uber
I don't need an Uber.,Uber
Cancel my uber trip,Uber
Get rid of my Lyft ride for me.,Lyft
Cancel my Uber.,Uber
I need to cancel the Uber I just booked.,Uber
I want to cancel my Lyft Plus order.,Lyft Plus
I do not want the ordered Uber anymore.,Uber
cancel my ride,ride
Cancel the Uber SUV that I called,Uber SUV
tell uber not to come,uber
Cancel my Lyft ride for today,Lyft
cancel my lyft booking please,lyft
Can I cancel my Uber ride?,Uber ride
Request to cancel my Uber,Uber
Can you call Uber driver and cancel ride please.,Uber
I want to cancel my booking with Lyft,Lyft
"Open uber, cancel my most recently booked trip",Uber
Can you cancel my cab?,cab
Aneeda cancel the uber ride,uber
"ok google, cancel uber pickup for tomorrow",uber
Cancel booked uber,uber
"Hey, Can you please cancel the latest Uber booking for me.",Uber
cancel car service Uber,Uber
How do I cancel my uber?,Uber
Open my Uber app and cancel my booking immediately.,Uber
Cancel car booking,car
Uber cancel,Uber
Cancel my Uber reservation,Uber
Cancel my cab.,cab
Cancel the Uber order I made.,Uber
Cancel Lyft Plus programmed for today.,Lyft Plus
Cancel my Lyft booking.,lyft
I don't need my Uber reservation anymore.,Uber
Do Booked cab's cancellation.,cab
Reject Uber,uber
Cancel Uber Black,Uber Black
please cancel my uber ride at 10am,uber
Cancel my Uber appointment to Royal Oak on Saturday.,Uber
I want to cancel my booked car.,car
Cancel tomorrow's reservation for Lyft Plus,Lyft Plus
Please cancel booked Uber,Uber
Stop Lyft Line,Lyft Line
I don't need an Uber. Please cancel.,Uber
I need to cancel my Uber pick up.,Uber
I need to cancel my most recent uber,uber
Cancel uber cab service,uber
Hey Aneeda cancel the uber ride which i have booked,Uber
Cancel my booked car with Uber,Uber
cancel booking of Lyft Line,Lyft Line
cancel my booked cab from uber,uber
Cancel the Uber SUV that we have booked,Uber SUV
Tell Uber I no longer want them to come,Uber
Send Uber driver a cancel notice.,uber
cancel my car service booking on uber,uber
Reject my cab booking Uber SUV,Uber SUV
contact uber SUV and cancel the booking.,uber SUV
Can you open my Lyft app and cancel my ride?,Lyft
"Uber, please cancel my ride for today.",Uber
*Automated assistant* forget about my Uber.,uber
Cancel my reservation for Uber SUV.,Uber SUV
Cancel the current Uber SUV booking,Uber SUV
cancel last uber booking,uber
I need you to cancel the Uber car i booked.,Uber
I need you to cancel my car from Uber.,Uber
cancel all cars I booked with Lyft Line,Lyft Line
Cancel uber service,uber
Cancel my car from the airport,car
Call off the booking of Uber Pool.,Uber Pool
Cancel my car through uber,Uber
"today I do not need booked Uber SUV, so cancel my booking",Uber SUV
Cancel the Uber SUV booked for a ride from Cochin to Chennai,Uber SUV
Cancel my Uber request,Uber
Cancel my booking with Uber SUV.,Uber SUV
"Automated Assistant, please cancel my booked car service from Uber SUV.",Uber SUV
cancel uber booking,uber
Can you cancel my Uber.,Uber
Cancel booking for Uber SUV,Uber SUV
"Aneeda, cancelled my scheduled booking with Lyft Line for this Thursday.",Lyft Line
Cancel my Uber ride request.,Uber
Please cancel my Uber SUV trip to Knott's Berry farm,Uber SUV
Cancel my uber appointment,Uber
Cancel Uber booking,Uber
