TransportTaxiCancelQ,TransportTaxiCancelType
*automated assistant* cancel my uber exec,uber exec
*automated assistant* cancel my uber suv,uber suv
*automated assistant* cancel my uberx,uberx
*automated assistant* forget about my uber family,uber family
*automated assistant* forget about my uber xl,uber xl
aneeda cancel booked taxi for tomorrow,taxi
aneeda cancel booked uber español for tomorrow,uber español
aneeda cancel booked uberselect for tomorrow,uberselect
aneeda cancel booked ubert for tomorrow,ubert
aneeda cancel my LIVEUP VIP ride for 7.oopm,LIVEUP VIP
aneeda cancel my booked car ride with uber español for this evening at 5pm,uber español
aneeda cancel my exec large ride,exec large
aneeda cancel my lux car,lux
aneeda cancel my lux ride,lux
aneeda cancel my uber airport ride for 7.oopm,uber airport
aneeda cancel my uber español ride,uber español
aneeda cancel my uber exec car,uber exec
aneeda cancel my uber family ride,uber family
aneeda cancel my uber fast lane car,uber fast lane
aneeda cancel my uber plus car,uber plus
aneeda cancel my uber pool ride,uber pool
aneeda cancel my uberexec ride for 7.oopm,uberexec
aneeda cancel my uberplus ride,uberplus
aneeda cancel the uber airport ride,uber airport
aneeda cancel the uber pool ride,uber pool
aneeda cancel the uber t ride,uber t
aneeda cancel the uber xl ride,uber xl
aneeda cancel the uber xl ride,uber xl
aneeda cancel the uberx ride,uberx
aneeda cancelled my scheduled booking with execlarge for this thursday,execlarge
aneeda cancelled my scheduled booking with lux for this thursday,lux
aneeda cancelled my scheduled booking with lux for this thursday,lux
aneeda cancelled my scheduled booking with uber x for this thursday,uber x
aneeda cancelled my scheduled booking with uberairport for this thursday,uberairport
aneeda cancelled my scheduled booking with uberselect for this thursday,uberselect
aneeda cancelled my scheduled booking with uberx for this thursday,uberx
aneeda cancelled my scheduled booking with uberxl for this thursday,uberxl
aneeda cancelled my scheduled booking with uberxl for this thursday,uberxl
aneeda stop my uber uberfamily from coming to its destination,uberfamily
aneeda stop my uber uberfamily from coming to its destination,uberfamily
aneeda stop my uber wav from coming to its destination,wav
aneeda tell the uber español driver not to come,uber español
aneeda tell the uberairport driver not to come,uberairport
aneeda tell the uberespañol driver not to come,uberespañol
annul my car reservation with exec,exec
annul my car reservation with uberespañol,uberespañol
automated assistant please cancel my booked car service from uber family,uber family
automated assistant please cancel my booked car service from uber fast lane,uber fast lane
automated assistant please cancel my booked car service from uber plus,uber plus
automated assistant please cancel my booked car service from uber x,uber x
automated assistant please cancel my booked car service from uberpool,uberpool
automated assistant please delete my earlier booked car service from uberpool,uberpool
call back exec large to cancel,exec large
call back ubergo to cancel,ubergo
call off the booking made to uber fastlane cabs an hour ago,uber fastlane
call off the booking made to uber plus cabs an hour ago,uber plus
call off the booking made to uber x cabs an hour ago,uber x
call off the booking of uber black,uber black
call off the booking of uber x,uber x
call uber español and let them know that i want to cancel my ride,uber español
call uber we need to cancel our taxi for tomorrow,taxi
call uber we need to cancel our taxi for tomorrow,taxi
call uber we need to cancel our uber family for tomorrow,uber family
call uber we need to cancel our uberfastlane for tomorrow,uberfastlane
call uber we need to cancel our wav for tomorrow,wav
call uberx and let them know that i want to cancel my ride,uberx
can you call uber fast lane driver and cancel ride please,uber fast lane
can you call uber suv driver and cancel ride please,uber suv
can you call uberfamily driver and cancel ride please,uberfamily
can you call wav driver and cancel ride please,wav
can you cancel my LIVEUP VIP,LIVEUP VIP
can you cancel my exec,exec
can you cancel my exec large car,exec large
can you cancel my pool ride,pool
can you cancel my taxi car,taxi
can you cancel my uber black car for saturday night,uber black
can you cancel my uber español booking,uber español
can you cancel my uber español car,uber español
can you cancel my uber español ride,uber español
can you cancel my uber exec ride,uber exec
can you cancel my uber family booking,uber family
can you cancel my uber suv car for saturday night,uber suv
can you cancel my uber suv ride,uber suv
can you cancel my uber x car,uber x
can you cancel my uber xl,uber xl
can you cancel my uber xl,uber xl
can you cancel my uber xl booking,uber xl
can you cancel my uberblack,uberblack
can you cancel my ubergo,ubergo
can you cancel my uberlux,uberlux
can you cancel my uberselect car for saturday night,uberselect
can you cancel my uberselect ride,uberselect
can you cancel my ubert ride,ubert
can you cancel my wav car for saturday night,wav
can you cancel the booked car in exec large,exec large
can you cancel the booked car in uber exec,uber exec
can you cancel the booked car in uber family,uber family
can you cancel the booked car in uberespañol,uberespañol
can you cancel the booked car in ubersuv,ubersuv
can you open my LIVEUP VIP app and cancel my ride,LIVEUP VIP
can you open my LIVEUP VIP app and cancel my ride,LIVEUP VIP
can you open my LIVEUPVIP app and cancel my ride,LIVEUPVIP
can you open my exec app and cancel my ride,exec
can you open my exec large app and cancel my ride,exec large
can you open my pool app and cancel my ride,pool
can you open my uber suv app and cancel my ride,uber suv
can you open my uber t app and cancel my ride,uber t
can you open my uberespañol app and cancel my ride,uberespañol
can you open my uberfamily app and cancel my ride,uberfamily
can you open my ubergo app and cancel my ride,ubergo
can you please cancel the cab i booked with ubergo for me,ubergo
can you please cancel the cab i booked with ubersuv for me,ubersuv
cancel LIVEUP VIP,LIVEUP VIP
cancel LIVEUP VIP cab booked for 9 pm,LIVEUP VIP
cancel LIVEUP VIP driver,LIVEUP VIP
cancel LIVEUP VIP driver,LIVEUP VIP
cancel LIVEUP VIP for monday 4 pm,LIVEUP VIP
cancel LIVEUPVIP cab service,LIVEUPVIP
cancel all cars i booked with exec large,exec large
cancel all cars i booked with ubergo,ubergo
cancel all cars i booked with ubersuv,ubersuv
cancel booked exec,exec
cancel booked exec large,exec large
cancel booked uber suv,uber suv
cancel booked wav,wav
cancel booked wav,wav
cancel booking for exec,exec
cancel booking for execlarge,execlarge
cancel booking for uber select,uber select
cancel booking for uber x,uber x
cancel booking for ubergo,ubergo
cancel booking for ubersuv,ubersuv
cancel booking of uberplus,uberplus
cancel car service exec,exec
cancel car service uber español,uber español
cancel car service uber t,uber t
cancel car service uberairport,uberairport
cancel car service ubert,ubert
cancel exec,exec
cancel exec booking,exec
cancel exec booking,exec
cancel exec large,exec large
cancel execlarge,execlarge
cancel execlarge book service,execlarge
cancel last uber t booking,uber t
cancel last uberlux booking,uberlux
cancel lux booking,lux
cancel lux booking,lux
cancel lux cab booked for 9 pm,lux
cancel lux for monday 4 pm,lux
