TransportTaxiCurrentStatusQ,TransportTaxiCurrentStatusType,TransportTaxiCurrentStatusArrivalTimeOrigin
Check my Uber status.,Uber,
I want to know what's the current status of my ride at Lyft Line please.,Lyft Line,
tell me where my uber is,uber,
Where is my Uber SUV?,Uber SUV,
What is the current status of my Uber SUV cab?,Uber SUV,
Where's my Uber?,Uber,
"location of cab, how many more minutes, call driver,",cab,
CURRENT WAIT TIME FOR MY UBER SUV TO ARRIVE FOR PICKUP?,UBER SUV,
What is the arrival time for my lyft line?,lyft line,
How long will my Uber take to reach me?,Uber,
how far away is my uber?,uber,
Where is my Uber ride at?,Uber,
Where is my Uber?,Uber,
what is the current status of my uber suv cab?,uber suv,
Please check the current status of Uber SUV.,Uber SUV,
"Aneeda, where is my Uber right now?",Uber,
"Hey bro,how's Uber service going on?",Uber,
what is the status of my uber SUV service?,uber SUV,
Where is my Uber right now?,Uber,
show me how far is my uber,uber,
When is my uber SUV getting here?,uber SUV,
What is the status of my Yellow Cab?,Yellow Cab,
How soon will my Uber get here?,Uber,
Where is my Uber,Uber,
Where is my uber?,uber,
Check status of Uber booking.,Uber,
Check the status of OLA Micro cab booked for me.,OLA Micro,
Pinpoint the current status of Uber SUV,Uber SUV,
What's the status of my Uber ride?,Uber,
How far away is by Uber XL,Uber XL,
Where is my UberXL?,UberXL,
Check location of Uber driver,Uber,
check the status of uber,uber,
where is my Uber SUV,Uber SUV,
when will my uber arrive?,uber,
Can you check to see when my ride from Uber car will arrive?,Uber,
Check arrival time of my Uber cab,Uber,
my Uber status,Uber,
Where is my uber at?,uber,
Robot please see when my Chevy uber is going to be here to pick me up,uber,
When will my Uber SUV be here?,Uber SUV,
What is the status of my Uber cab booking for an Uber SUV?,Uber SUV,
check uber status,uber,
Check status of Uber ride.,Uber,
Where is my Uber?,Uber,
Where's my Uber?,Uber,
Track my Uber SUV and tell me where is it,Uber SUV,
tracking cab Uber,Uber,
Ask uber where my car is.,uber,
Status Uber.,Uber,
Find current status for my Uber,Uber,
Where is my Uber now?,Uber,
Show me the current states of my car booking,car,
How long till my Lyft Line vehicle gets to my location,Lyft Line,my location
Inquire the current status of the SUV booked,SUV,
How long until my Uber SUV arrives at my current location?,Uber SUV,my current location
Where's my uber cab at?,uber,
Check status of Uber,Uber,
What is the status of the Uber ride I booked?,Uber,
Where is my Uber SUV?,Uber SUV,
How soon will my Uber driver be here to pick me up?,Uber,
what is the status of my uber pool,uber pool,
How much longer until my Uber arrives?,Uber,
where is my uber ride,uber,
show updated status of uber booking,uber,
When will my Lyft be here?,Lyft,
what's up with my Uber ride,Uber,
Check status of current Uber trip,Uber,
check status of my uber suv,uber suv,
Check status of Uber.,Uber,
Where is my Uber ride?,Uber,
Get Uber SUV status.,Uber SUV,
When is my Uber arriving?,Uber,
Where is my Radio Cab?,Radio Cab,
where is my uber,uber,
Uber SUV Cab Status,Uber SUV,
Get location for my Uber order,Uber,
How long until my Uber picks me up at my current location?,Uber,my current location
How long will it take my uber driver to arrive?,uber,
Where is my Uber currently?,Uber,
Where is my Uber?,Uber,
Where is my Uber X?,Uber X,
Uber how much time do  i have before my ride gets here,Uber,here
Where is my uber?,uber,
Please check on where my uber xl driver is,uber xl,
What's the current status of my Uber,Uber,
Where is my uber currently at?,uber,
status of cab,cab,
How close is my Uber?,Uber,
when is my cab arriving,cab,
How far away is my UberXL?,UberXL,
Can you tell me where my Uber car is?,Uber,
What is the status of my Uber cab ride?,Uber,
Please check status of my taxi booked on uber,uber,
Send me the current location of my Uber,Uber,
What is the current status of the Uber SUV I had booked,Uber SUV,
"Hey Aneeda, where is my uber cab?",uber,
When will my Uber arrive?,Uber,
Where is my uber,uber,
Check the status of my Uber ride.,Uber,
open the cab status on uber,uber,
where is my uber now?,uber,
"What's our status, Uber?",Uber,
Where is my Uber Audi?,Uber Audi,
Show me is my Uber SUV is coming or not,Uber SUV,
Where is my Uber?,Uber,
Please display current status of Uber SUV.,Uber SUV,
where is my Uber?,Uber,
Where is my uber?,uber,
Status Uber SUV,Uber SUV,
What is the current status on Uber,Uber,
Aneeda can you tell me the current Status of my Uber driver?,Uber,
Check status of my Uber ride,Uber,
What is the status of my Uber SUV?,Uber SUV,
Where is my Uber,Uber,
Can you check the status of my Uber?,Uber,
"Hey, Can you please update me the current cab status of my Uber booking.",Uber,
Could you show me the status of my Uber SUV?,Uber SUV,
Where is my UberX?,UberX,
Where is my UberXL?,UberXL,
Where is my UberGo?,UberGo,
Where is my uberexec,uberexec,
Where is my execlarge,execlarge,
check my uber location status,uber,
What time will my Uber arrive?,Uber,
Where's my Uber?,Uber,
What is the status of my Uber ride?,Uber,
check to see where my cab is,cab,
check status of uber booking,uber,
Please look on GPS and tell me where my Uber is.,Uber,
open Uber and tell me what is the current status of my cab,Uber,
uber status,uber,
When is the expected arrival of the uber heading to my house?,uber,
Where is my Uber SUV?,Uber SUV,
Uber Requesting time of arrival,Uber,
"Aneeda, show me where's my Uber right now",Uber,
Please tell me the location of the Uber SUV,Uber SUV,
how far is my uber ride from me?,uber,
What time is my uber sedan picking me up?,uber sedan,
Check the current status of the Uber I just called.,Uber,
hey Aneeda check the current status of my lyft ride,lyft,
Please check where the uber vehicle is,uber,
What is the status of my Uber?,Uber,
When is my uber getting here?,uber,
"Uber what is the current status of my car, I'm in a rush.",car,
Please show me where my UberX is currently located.,UberX,
uber wait time,uber,
Verify my Uber status,Uber,
"Galaxy, show me where my Uber is right now.",Uber,
When will the uber cab be here?,uber,
Where is my Uber?,Uber,
"Uber, wait time.",Uber,
Status of Uber,Uber,
