TransportTaxiRideHistoryQ,TransportTaxiRideHistoryType
Can you pull up my past uber trips please?,uber
Show me he history of my Uber rides.,Uber
verify my blablacar history,Blablacar
show my recent history of services with Uber,uber
Show me history of Uber bookings,Uber
Show previous Uber rides.,Uber
revise uber suv bookings history,uber suv
Show me the history of all my Uber SUV rides,Uber SUV
Give me my order history for Uber.,Uber
How many times have I used Uber in the last three weeks?,Uber
How many times have i used a sedan with uber?,uber
Can you check the history of cab bookings of Uber Car service.,Uber
show my Uber history,Uber
Bring up Uber history,Uber
Please check my Uber history,Uber
open Uber and check history of my bookings,Uber
Pool give booking history,Pool
Show me my Uber ride history,Uber
Show me my Uber history,Uber
show me my uber history,uber
please check cab booking history Uber,Uber
Show me all the Ubers I have taken,Ubers
How often did I use Uber to take me to church?,Uber
Open up history  for Uber Suv bookings,Uber Suv
When was the last time I used an Uber to get home?,Uber
Show me my uber history,Uber
What are the last 2 Uber Pool trips I have taken,Uber Pool
Siri. Where have i gone with uber,uber
"Last month, how many Uber pickups did I have?",Uber
Check my recent uber xl rides,Uber xl
Check cab booking history for Uber SUV.,Uber SUV
tell me about my latest uber rides,uber
Show me my Uber booking history,Uber
Can you show me all the Uber cars I've ever booked,Uber
Can you show me the history of my bookings with Uber?,Uber
Show me my past Uber rides,Uber
Siri can you give me a list of my recent Lyft Line drivers?,Lyft Line
check my Uber cab bookings history,Uber
Can you bring up my Uber booking history?,Uber
What times did I use Uber?,Uber
Siri can you show my UberXL ride history?,UberXL
What are my last 5 UberXL destinations?,UberXL
I want to see a record of my bookings with Uber.,Uber
What is the history of my Uber?,uber
List all of my Uber history,Uber
Show me the history of my uber bookings,uber
Show Uber booking history.,Uber
Show me my uber history,uber
I want to see the data on my Uber rides,Uber
Show me last 20 car booking details for uber car service,Uber
Show Uber history,Uber
Check all my history of Uber bookings,Uber
Report Uber history.,Uber
List last 5 times I've used Uber,Uber
check uber to see what my history is,uber
What is my lyft line booking history?,Lyft line
Check Uber transactions.,Uber
show history of uber bookings,uber
What is my uber history?,uber
Check how many times I've booked for an Uber SUV ride.,Uber SUV
provide all my booking history uber suv,uber suv
Show Uber history,Uber
Show me a history list of my Uber rides,Uber
tell me my previous usage of uber,uber
history of Uber bookings,Uber
How often did I use Uber this past month?,Uber
show history of uber bookings,uber
Find my booking history with uber,Uber
What is my history on Uber?,Uber
Please show me all my uber rides in the past month,Uber
Check my book booking history for the month of October for Uber SUV.,Uber SUV
Show me my Uber history,Uber
Please show me the Uber rides I've been in the past.,Uber
When was the last time I used Uber? Show more history,uber
Please check how many times I have booked ola cab,ola
Tell me how many times I booked with Uber last year for a sedan.,uber
Show history Uber bookings.,uber
Check my usage history with Uber,Uber
Show me my Uber car history.,Uber
Show me the list of UberX drivers I've used.,UberX
Where have I taken an Uber in the last month?,Uber
show me the history of uber booking,uber
Can you please list my last Uber rides,Uber
"Show me, all the history of Uber Select Cab booking.",Uber Select
Show me my Uber history.,uber
what was the last uber ride I took?,uber
Check Uber history,Uber
"Galaxy, show me past transactions with Uber",Uber
Could you show me a list of my previous Uber bookings?,Uber
Ok google open history for uber booking,Uber
list previous uber bookings,uber
How many times did  I used lyft last month?,lyft
Show me all the times I took an Uber.,Uber
check my history of Blablacar,Blablacar
get the list of services i have taken with uber,uber
Show a complete list of all Uber bookings,Uber
Show me all of my previous rides with Pool.,Pool
please check uber suv  bookings history,uber suv
Display the details of all my previous Uber SUV rides,Uber SUV
Give me a list of my cab orders.,cab
Have I used Uber in the last month?,Uber
How many times have i booked a sedan with uber?,Uber
Get me the history of cab bookings of Uber Car service.,Uber
i'd like to see all of my past Uber bookings,Uber
Show me my Lyft history,Lyft
Please check my prior Uber bookings,Uber
May i know the history of all my cab bookings,cab
Pool list booking history,Pool
Show me my past Uber rides,Uber
Show me my the money I spent on taxi rides,taxi
what is my lyft history,lyft
check history cab booking Uber,Uber
How many times have I taken a Lyft?,Lyft
How many times did I use Uber to take me from my house to church?,Uber
Lookup history  for Uber Suv bookings,Uber Suv
How many times have I searched for an Uber?,Uber
I want to see my cab bookings history,cab
List how many times I have requested an Uber SUV in the last month,Uber SUV
Where did i take my last uber ride,uber
History last month Uber pickups,Uber
Give me the historical data of my lyft plus rides,lyft
What is my Lyft Line booking history?,Lyft Line
I want to see my lyft history,lyft
I would like to view by Lyft booking history,Lyft
Show me my Lyft Line booking history,Lyft Line
Can you tell me the history of my Uber bookings?,Uber
Show me a receipt of my last Lyft Line ride,Lyft line
Get the history of my Uber drivers in the last month.,Uber
Check my Uber history,Uber
Let me see my booking history for Uber.,Uber
How many Ubers have I had in the last month?,Ubers
Siri pull up and display my last 6 UberXL car rides,UberXL
Show me a complete listing of my UberXL destinations.,UberXL
Can I see a record of my bookings with Uber?,Uber
Tell me the bookings I have from Uber,Uber
search my travel history on Uber,Uber
Display Uber history.,Uber
When was my last uber ride?,uber
I want to see where I have been taking Uber trips,Uber
Let me know last 5 transaction on Lyft Line car service,Lyft Line
Pull up Uber history,Uber
Show all my history with Uber,Uber
How many times have I booked a cab,cab
Show past Uber rides,Uber
what is my history on uber,Uber
what is all my lyft line bookings,lyft line
What is my car booking history?,car
list uber booking history,uber
show me uber history,uber
How many times have I used Lyft plus as my booking cab?,Lyft plus
display my all booking history of uber suv,uber suv
What are my recent rides in Uber,Uber
list uber history,uber
how many times have I taken Uber,Uber
Display my Uber usage history since January.,Uber
show all previous uber bookings,uber
Show my travel bookings with uber,Uber
What are my previous Uber bookings?,Uber
Past Lyft rides I have taken,Lyft
Check my most recent booking history for Lyft Line.,Lyft Line
What are all the Ubers I've taken?,Ubers
What are the Lyft rides I have booked recently?,Lyft
give me details on recent Uber booking,Uber
show my booking history for ola cab,ola
Please take a look and see how many times in the past 6 months I booked a sedan with Uber.,Uber
Display historic rides with Uber.,Uber
How many times have I booked with Uber?,Uber
I need to see my Uber car history.,Uber
Show me all the dates when I used Lyft.,Lyft
What's my Lyft history?,Lyft
tell me the history of uber service I used,uber
Show me my last Uber trips,Uber
List all my cab booking for OLA Micro.,OLA Micro
What were my last three Uber bookings?,Uber
what were my last 3 lyfts?,lyfts
Check my Uber History,Uber
"Galaxy, when is the last time a took a ride in a Prius to Walmart?",Prius
Could I please see my prior cab bookings?,cab
Check history for lyft plus,lyft plus
show previous uber SUV bookings,uber SUV
get me Uber's booking history,Uber
display uber history,uber
Uber need a drop at hide park,Uber
show me  booking history of uber cab for the past one month.,Uber
Check the history of my Uber SUV bookings,Uber SUV
Check car booking,car
Pull up my past booking history for Uber,Uber
Show me a  list of my previous Uber usage.,Uber
show me my uber booking history,Uber
Show me Uber booking history,Uber
Show me my Uber booking history.,Uber
check my uber history,uber
"Siri, open Ola app and check on all sedan car bookings history done after 2015",car
What is the history of my Uber SUV bookings?,Uber SUV
Show me all my Uber bookings.,Uber
Show me the history of my uber bookings,uber
Please give my Uber booking history,Uber
Please check my Uber booking history.,Uber
Show me the past transactions of the Uber SUV,Uber SUV
show me my uber history,uber
"Assistant, how many times did I use Uber SUV in the last 3 months?",Uber SUV
How many times i rode with Lyft last month,Lyft
show me when did i last visit the dentist booking an ola mini,ola mini
please check the history booking of cab in uber suv?,uber suv
Check UBERX Booking history,UBERX
hey siri check out my uber cab booking history,Uber
Let me know all the times I have used Uber SUV this year.,Uber SUV
check uber suv cab booking history on uber,uber suv
Where have I been with Uber over the last month?,Uber
Show me History of my Uber bookings,Uber
Can I see a history of my uber bookings?,Uber
Show me my Uber SUV history,Uber SUV
Checkout the history of my pool,pool
uber booking history,Uber
Please tell me the history of my UberX rides.,UberX
Please check my history of Uber cab bookings.,Uber
Would You Please Check My Uber SUV History Of Cab Bookings,Uber SUV
open the ola app and show me my Ola Suv booking,Ola SUV
Check my Lyft Line history,Lyft Line
how many rides have i used uber for?,Uber
At what dates have I used Uber SUV in the past?,Uber SUV
provide me last 10 transaction at Uber SUV,Uber SUV
Please check the history of my bookings in Uber Car service.,Uber
Tell me the history of my Uber SUV bookings.,Uber SUV
I want to see my record of Uber rides.,Uber
