VolumeResponse,VolumeUp,VolumeDown,VolumeMax,VolumeMin,VolumeLevel,VolumeIncremental
a little louder,louder,,,,,
a little softer,,softer,,,,
boost the volume,boost,,,,,
boost up the volume,up,,,,,
bring down the volume,,down,,,,
bring it down,,down,,,,
bring it down a notch,,down,,,,
bring it lowest level,,,,lowest,,
bring it to the highest level,,,highest,,,
bring the volume down,,down,,,,
bring the volume up,up,,,,,
bring the volume up to 9,up,,,,9,
bring volume down 2 levels,,down,,,,2
bring volume down by 4,,down,,,,4
bring volume to a 8,,,,,8,
bring volume to it's lowest level,,,,lowest,,
bring volume up 3 levels,up,,,,,3
bump the volume up,up,,,,,
bump up the volume,up,,,,,
can you crank it up,up,,,,,
can you make it louder,louder,,,,,
change the volume to 5,,,,,5,
change volume to 4,,,,,4,
change volume to a 7,,,,,7,
crank it up to the max,up,,max,,,
crank it up,up,,,,,
crank it up a notch,up,,,,,
crank it up more,up,,,,,
crank the volume to a 10,,,,,10,
cut the volume,,cut,,,,
cut the volume down,,down,,,,
decrease it 3 levels,,decrease,,,,3
decrease the volume,,decrease,,,,
decrease volume,,decrease,,,,
decrease volume by 3 ,,decrease,,,,3
decrease volume to minimum,,,,minimum,,
dial it up,up,,,,,
down the volume,,down,,,,
higher volume,higher,,,,,
increase the sound,increase,,,,,
increase the volume,increase,,,,,
increase the volume all the way up,up,,all the way,,,
increase volume,increase,,,,,
increase volume by 4,increase,,,,,4
increase volume to 10,increase,,,,10,
increase volume to maximum,increase,,maximum,,,
less volume,,less,,,,
lessen the volume,,lessen,,,,
level 5 volume,,,,,5,
louder,louder,,,,,
louder please,louder,,,,,
lower down the sound,,lower,,,,
lower sound,,lower,,,,
lower the sound,,lower,,,,
lower the volume,,lower,,,,
lower the volume to 1,,lower,,,1,
lower the volume by 5 points,,lower,,,,5
lower the volume a bit,,lower,,,,
lower the volume all the way,,lower,all the way,,,
lower volume,,lower,,,,
make it less noisy,,less,,,,
make it loud,loud,,,,,
make it down,down,,,,,
make it louder,louder,,,,,
make it softer,,softer,,,,
make the sound lower,,lower,,,,
make the volume higher,higher,,,,,
make the volume level 5,,,,,5,
make the volume lower,,lower,,,,
max volume,,,max,,,
maximum volume,,,maximum,,,
minimum volume,,,,minimum,,
more volume,more,,,,,
play at level 1,,,,,1,
play at lowest level,,,,lowest,,
play highest volume,,,highest,,,
play it louder,louder,,,,,
play it quieter,,quieter,,,,
play it softer,,softer,,,,
Play level 4 volume,,,,,4,
play lowest volume,,,,lowest,,
play sound at level 5,,,,,5,
Play the volume at 3,,,,,3,
play volume at 3,,,,,3,
play volume at level 4,,,,,4,
pump the volume up,up,,,,,
pump up the volume,up,,,,,
Put it at the lowest volume level,,,,lowest,,
put it on blast,,,blast,,,
Put the volume on 4,,,,,4,
put the volume up,up,,,,,
Put volume at 5,,,,,5,
quieter,,quieter,,,,
quieter please,,quieter,,,,
raise the volume,raise,,,,,
raise volume by 3 notches,raise,,,,,3
set the volume to 2,,,,,2,
set volume at 3,,,,,3,
set volume to 3,,,,,3,
set volume to level 5,,,,,5,
set volume to a 10,,,,,10,
set the volume to a 6,,,,,6,
softer,,softer,,,,
softer please,,softer,,,,
take down the volume,,down,,,,
take it down,,down,,,,
take it down a notch,,down,,,,
take the volume down to a 1,,down,,,1,
take the volume down by 2 notches,,down,,,,2
take the volume lower,,lower,,,,
take the volume to a 6,,,,,6,
take volume down to a 2,,down,,,2,
turn down the sound,,down,,,,
turn down the volume,,down,,,,
turn it all the way down,,down,all the way,,,
turn it all the way up,up,,all the way,,,
turn it down,,down,,,,
turn it down by 2 levels,,down,,,,2
turn it down to level 3,,down,,,3,
turn it down 4 levels,,down,,,,4
turn it down 3 notches,,down,,,,3
turn it down a little,,down,,,,
turn it down please,,down,,,,
turn it up,up,,,,,
turn it up to a 7,up,,,,7,
turn it up 2 levels,up,,,,,2
turn it up a little,up,,,,,
turn it up higher,up,,,,,
turn the sound down,,down,,,,
Turn the sound up,up,,,,,
turn the volume down,,down,,,,
turn the volume down lower,,down,,,,
turn the volume up,up,,,,,
turn the volume up higher,up,,,,,
turn the volume up to 10,up,,,,10,
turn the volume up to a 6,up,,,,6,
turn up 2 notches,up,,,,,2
turn up the sound,up,,,,,
turn up the volume,up,,,,,
Turn volume to its loudest,,,loudest,,,
up the sound,up,,,,,
up the volume,up,,,,,
up the volume to 9,up,,,,9,
up the volume by 2 levels,up,,,,,2
up the volume 2 levels,up,,,,,2
volume down,,down,,,,
volume high,high,,,,,
volume low,,low,,,,
volume up,up,,,,,
volume higher ,higher,,,,,
volume lower,,lower,,,,
take the volume to the highest setting,,,highest,,,
bring the volume to its lowest setting,,,,lowest,,
up volume,up,,,,,
down volume,,down,,,,
quiet down the volume,,down,,,,
set it to the softest volume,,,,softest,,
crank it up 2 levels,up,,,,,2
bring the volume up by 7,up,,,,,7
take the volume down 4 notches,,down,,,,4
lower the volume by 6,,lower,,,,6
decrease the volume by 3,,decrease,,,,3
increase volume to a 9,increase,,,,9,
increase the volume by 4 units,increase,,,,,4
change volume to 1,,,,,1,
can you set the volume to 5,,,,,5,
please set the volume to 3,,,,,3,
set the volume at 10,,,,,10,
put the volume at 6,,,,,6,
put the volume at a 2,,,,,2,
take the volume to 3,,,,,3,
keep the volume at 5,,,,,5,
bring the volume to 8,,,,,8,
set the volume to 6,,,,,6,
set the volume to min,,,,min,,
set the volume to minimum,,,,minimum,,
set the volume to maximum,,,maximum,,,
set the volume to max,,,max,,,
can you set volume to 5,,,,,5,
please set volume to 3,,,,,3,
set volume at 10,,,,,10,
put volume at 6,,,,,6,
