VolumeResponse,VolumeUp,VolumeDown,VolumeMax,VolumeMin,VolumeLevel,VolumeIncremental
a little louder,louder,,,,,
a little louder,louder,,,,,
a little louder,louder,,,,,
a little louder,louder,,,,,
a little softer,,softer,,,,
boost the volume,boost,,,,,
boost up the volume,up,,,,,
bring down the volume,,down,,,,
bring it lowest level,,,,lowest,,
bring it to the highest level,,,highest,,,
bring the volume to 8,,,,,8,
bring the volume to 8,,,,,8,
bring the volume to 8,,,,,8,
bring the volume to 8,,,,,8,
bring the volume to 8,,,,,8,
bring the volume to its lowest setting,,,,lowest,,
bring the volume up by 7,up,,,,,7
bring the volume up by 7,up,,,,,7
bring the volume up by 7,up,,,,,7
bring the volume up to 9,up,,,,9,
bring the volume up to 9,up,,,,9,
bring the volume up to 9,up,,,,9,
bring the volume up to 9,up,,,,9,
bring the volume up to 9,up,,,,9,
bring the volume up to 9,up,,,,9,
bring volume down 2 levels,,down,,,,2
bring volume up 3 levels,up,,,,,3
bring volume up 3 levels,up,,,,,3
bump the volume up,up,,,,,
bump the volume up,up,,,,,
bump the volume up,up,,,,,
bump up the volume,up,,,,,
bump up the volume,up,,,,,
bump up the volume,up,,,,,
can you make it louder,louder,,,,,
can you set the volume to 5,,,,,5,
can you set the volume to 5,,,,,5,
can you set the volume to 5,,,,,5,
change volume to 4,,,,,4,
change volume to 4,,,,,4,
change volume to 4,,,,,4,
change volume to 4,,,,,4,
crank it up,up,,,,,
crank it up,up,,,,,
crank it up a notch,up,,,,,
crank it up a notch,up,,,,,
crank it up a notch,up,,,,,
crank it up a notch,up,,,,,
crank it up more,up,,,,,
crank it up more,up,,,,,
crank it up more,up,,,,,
crank it up more,up,,,,,
crank it up to the max,up,,max,,,
cut the volume,,cut,,,,
decrease the volume,,decrease,,,,
decrease the volume,,decrease,,,,
decrease volume,,decrease,,,,
decrease volume by 3,,decrease,,,,3
decrease volume by 3,,decrease,,,,3
decrease volume to minimum,,,,minimum,,
dial it up,up,,,,,
dial it up,up,,,,,
higher volume,higher,,,,,
increase the sound,increase,,,,,
increase the sound,increase,,,,,
increase the sound,increase,,,,,
increase the volume,increase,,,,,
increase the volume,increase,,,,,
increase the volume all the way up,up,,all the way,,,
increase the volume all the way up,up,,all the way,,,
increase the volume by 4 units,increase,,,,,4
increase the volume by 4 units,increase,,,,,4
increase volume by 4,increase,,,,,4
increase volume to 10,increase,,,,10,
increase volume to 10,increase,,,,10,
increase volume to 10,increase,,,,10,
increase volume to 10,increase,,,,10,
increase volume to a 9,increase,,,,9,
increase volume to maximum,increase,,maximum,,,
keep the volume at 5,,,,,5,
keep the volume at 5,,,,,5,
keep the volume at 5,,,,,5,
level 5 volume,,,,,5,
level 5 volume,,,,,5,
louder,louder,,,,,
louder,louder,,,,,
louder please,louder,,,,,
louder please,louder,,,,,
lower down the sound,,lower,,,,
lower down the sound,,lower,,,,
lower down the sound,,lower,,,,
lower down the sound,,lower,,,,
lower sound,,lower,,,,
lower sound,,lower,,,,
lower sound,,lower,,,,
lower sound,,lower,,,,
lower the volume a bit,,lower,,,,
lower the volume a bit,,lower,,,,
lower the volume a bit,,lower,,,,
lower the volume by 6,,lower,,,,6
lower the volume by 6,,lower,,,,6
lower the volume by 6,,lower,,,,6
lower the volume by 6,,lower,,,,6
lower volume,,lower,,,,
lower volume,,lower,,,,
lower volume,,lower,,,,
lower volume,,lower,,,,
make the sound lower,,lower,,,,
make the sound lower,,lower,,,,
make the sound lower,,lower,,,,
make the volume higher,higher,,,,,
make the volume higher,higher,,,,,
make the volume higher,higher,,,,,
make the volume level 5,,,,,5,
make the volume level 5,,,,,5,
make the volume level 5,,,,,5,
make the volume level 5,,,,,5,
make the volume lower,,lower,,,,
make the volume lower,,lower,,,,
minimum volume,,,,minimum,,
minimum volume,,,,minimum,,
more volume,more,,,,,
more volume,more,,,,,
play it softer,,softer,,,,
play lowest volume,,,,lowest,,
play lowest volume,,,,lowest,,
play lowest volume,,,,lowest,,
play volume at 3,,,,,3,
play volume at level 4,,,,,4,
please set the volume to 3,,,,,3,
please set the volume to 3,,,,,3,
please set the volume to 3,,,,,3,
please set the volume to 3,,,,,3,
please set the volume to 3,,,,,3,
please set volume to 3,,,,,3,
please set volume to 3,,,,,3,
please set volume to 3,,,,,3,
pump the volume up,up,,,,,
pump the volume up,up,,,,,
pump up the volume,up,,,,,
pump up the volume,up,,,,,
put it at the lowest volume level,,,,lowest,,
put it at the lowest volume level,,,,lowest,,
put it at the lowest volume level,,,,lowest,,
put the volume at a 2,,,,,2,
put the volume at a 2,,,,,2,
put the volume at a 2,,,,,2,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put the volume up,up,,,,,
put volume at 6,,,,,6,
put volume at 6,,,,,6,
put volume at 6,,,,,6,
put volume at 6,,,,,6,
put volume at a 2,,,,,2,
put volume at a 2,,,,,2,
quiet down the volume,,down,,,,
quieter,,quieter,,,,
quieter,,quieter,,,,
quieter,,quieter,,,,
quieter please,,quieter,,,,
quieter please,,quieter,,,,
raise the volume,raise,,,,,
raise volume by 3 notches,raise,,,,,3
raise volume by 3 notches,raise,,,,,3
set it to the softest volume,,,,softest,,
set it to the softest volume,,,,softest,,
set it to the softest volume,,,,softest,,
set it to the softest volume,,,,softest,,
set the volume at 10,,,,,10,
set the volume at 10,,,,,10,
set the volume at 10,,,,,10,
set the volume at 10,,,,,10,
set the volume to a 6,,,,,6,
set the volume to max,,,max,,,
set the volume to max,,,max,,,
set the volume to maximum,,,maximum,,,
set the volume to maximum,,,maximum,,,
set the volume to maximum,,,maximum,,,
set the volume to min,,,,min,,
set the volume to min,,,,min,,
set the volume to min,,,,min,,
set the volume to minimum,,,,minimum,,
set the volume to minimum,,,,minimum,,
set the volume to minimum,,,,minimum,,
set the volume to minimum,,,,minimum,,
set volume at 10,,,,,10,
set volume at 3,,,,,3,
set volume to 3,,,,,3,
set volume to 3,,,,,3,
set volume to 3,,,,,3,
set volume to 3,,,,,3,
set volume to 3,,,,,3,
set volume to a 10,,,,,10,
set volume to level 5,,,,,5,
set volume to level 5,,,,,5,
set volume to level 5,,,,,5,
set volume to level 5,,,,,5,
set volume to level 5,,,,,5,
set volume to level 5,,,,,5,
set volume to max,,,max,,,
