WeatherSetAlertQ,WeatherSetAlertCondition,WeatherSetAlertDate,WeatherSetAlertLocation,WeatherSetTime
assistant set up weather alert for rain everyday in belfast,rain,everyday,belfast,
Give me weather alert for frederick md everyday,,everyday,frederick md,
Check if it Will snow on in Chicago every Monday evening?,snow,Monday,Chicago,Evening
Please alert me when it is going to rain in Orlando,Rain,,Orlando,
I want weather alerts for all severe storms and tornadoes in Lancaster County Nebraska.,severe storms and tornadoes,,Lancaster County Nebraska,
Please set up weather notifications for me regarding any snow events for Philadelphia,Snow,any,Philadelphia,
Please give me alerts on the weather in huntsville every morning,,Every,Huntsville,morning
alert me when it is raining near me,raining,,near me,
warn me as soon as possible if there is a thunderstorm in depok during this week,thunderstorm,during this week,depok,
Tell me if starts raining today,raining,today,,today
snow alert chicago during november month,snow,during november,chicago,
Update me what's the weather like in paris daily,,daily,paris,
Give me weather alerts for snow for England for this week.,Snow,This week,England,This week
Alert me of rainy weather conditions in Caracas.,Rainy,,Caracas,
Can you set rain alerts for Cheltenham next Saturday?,rain,next Saturday,Cheltenham,
I want to get rainy weather alerts for Chicago at 6pm from November 15.,rainy,from november 15,Chicago,6pm
Show me sunny days in Colorado for tomorrow,sunny days,tomorrow,Colorado,
ok google new weather alert for snow tomorrow  in phoenix,snow,tomorrow,phoenix,
alert me if it is about to rain in mumbai,rain,,mumbai,
activate weather alerts of new york for everyday,,everyday,new york,
Give me weather alerts on thunderstorm for the next hour for carlton county,thunderstorm,,carlton county,hour
Please get weather alerts for New York for today in case of raining,Raining,Today,New York,
"Start giving me rain alerts for Rockford, IL.",rain,,"Rockford, IL",
"Let me know if anything happens with the weather today in Washington, DC",,,"Washington, DC",
Alert me whenever it's going to rain in the weekend in Marumbi Mountain Range,rain,weekend,Marumbi Mountain Range,
Send me weather alerts for any strong winds starting at 230pm tomorrow at Willis Case golf course.,strong winds,tomorrow,Willis Case Golf Course,230pm
tell me when it's going to hail in Calgary,hail,,Calgary,
Tell when it's going to snow in Utah,snow,,Utah,
