WeatherFindQ,WeatherFindCondition,WeatherFindDate,WeatherFindLocation,WeatherFindTime
"What will the weather be like in Phoenix, Arizona Monday evening?",,Monday,"Phoenix, Arizona",evening
what will the weather be like in phoenix arizona this Friday 1 am,,this Friday,phoenix arizona,1 am
How is the weather in san cristobal state tachira?,,,san cristobal state tachira,
How is the weather like in Berlin tomorrow morning,,tomorrow,Berlin,morning
What's the weather right now?,,,,
What's the latest weather,,,,
what is the temperature in Chicago,temperature,,Chicago,
Is it going to rain this Saturday?,rain,Saturday,,
What is the weather forecast for Seattle tomorrow afternoon,,tomorrow,Seattle,afternoon
What will the weather be like in Orlando tomorrow?,,tomorrow,Orlando,
What's the weather like in Manhattan?,,,Manhattan,
Show me weather for Saturday at 6 pm in Nevada,,Saturday,Nevada,6 pm
What's the weather today at Disneyland,,today,Disneyland,
Please get the weather status for New Jersey for today,,today,New Jersey,
What is the weather like in Paranaguá right now?,,,Paranaguá,
will it rain at 4pm in Waukesha Wisconsin?,rain,,Waukesha Wisconsin,4pm
"Tell me the current weather forecast for Dallas, TX.",,,"Dallas, TX",
Whats the weather later today here in Denver?,,today,Denver,
what is the weather supposed to be like in Hawaii on Friday around noon,,Friday,Hawaii,noon
whats the weather in new York?,,,new York,
weather in Orlando 32839,,,Orlando 32839,
"What is the weather today in Dallas, Texas",,,"Dallas, Texas",
show today 11 am weather at New York,,today,New York,11 am
what is the current weather report for zip code 92126,,,zip code 92126,
tell me the weather in Rochester,,,Rochester,
please inform me on the weather forecast on Texas Wednesday 16th 2016 12:00 pm is it sunny,sunny,Wednesday 16th 2016,Texas,12:00 pm
Get today's noon weather for Peru Maine,,today,Peru Maine,noon
weather information new York Tuesday,,Tuesday,new York,
Provide update on weather today in Delhi i.e. on 11th nov 2016,,today,Delhi,
show me the weather report of Ernakulum on 11/12/2016 evening 5:00 PM,, 11/12/2016,Ernakulum,5:00 pm
show todays weather of London,,todays,London,
Is it going to rain today in Santa Clara,rain,today,Santa Clara,
WILL IT RAIN ON AMSTERDAM TOMORROW EVENING,RAIN,TOMORROW,AMSTERDAM,EVENING
What is the weather forecast for Oklahoma City?,,,Oklahoma City,
Give me the weather information on New Orleans for Friday at 9 pm.,,Friday,New Orleans,9 pm
What is the weather forecast for new York city tomorrow 13 November 2016?,,13 November 2016,new York city,
Show me the weather next week in Pembrokeshire,,next week,Pembrokeshire,
Temperature in Amsterdam,Temperature,,Amsterdam,
check the weather in New York on 12th November  at 11 am?,,12th November,New York,11 am
weather condition of Madurai,,,Madurai,
assistant what is today's weather in Belfast,,today,Belfast,
"What is tonight's weather going to be like for Akron, Ohio?",,,"Akron, Ohio",tonight
Do I need to bring a coat today?,coat,today,,
Do I need to bring a coat today in Los Angeles?,coat,today,Los Angeles,
Do I need to bring a coat day after tomorrow?,coat,day after tomorrow,,
Do I need to bring coat tomorrow?,coat,tomorrow,,
Tell me weather  in Washington DC on Monday morning,,Monday,Washington DC,morning
"Please update me on 11/09/2016 weather forcast in Boise, Idaho.",,11/09/2016,"Boise, Idaho",
What is the weather going to be like on Sunday in Paris at 6.00pm,,Sunday,Paris,6.00pm
"Aneeda, Is it going to snow today?",snow,today,,
"What is the weather like today in Chicago, IL?",,today,"Chicago, IL",
What's the weather in Boston?,,,Boston,
weather now for location 66105,,,66105,
Is it cloudy in Manchester?,cloudy,,Manchester,
"Tell me what's the weather gonna be like on Monday, the 14th in Rijeka",,"Monday, the 14th",Rijeka,
What is the weather like today?,,today,,
What will the weather be like at home?,,,home,
"""Assistant, will the weather be sunny for San Francisco on November 12th at 7am?""",sunny,November 12th,San Francisco,7am
"Aneeda, give me the weather for 18224.",,,18224,
What is the weather going to be like in Seattle today?,,today,Seattle,
Check forecast for tomorrow's weather in Minot,forecast,tomorrow,Minot,
"What's the weather like in Memphis, TN. today?",,today,"Memphis, TN",
Show me weather report,,,,
What is the weather in Charleston today,,today,,
What's the weather in Boston today?,,today,Boston,
Show me the weather for Santa Fe New Mexico,,,Santa Fe New Mexico,
Show me the weather for san benedetto val di sambro,,,san benedetto val di sambro,
How is the weather for Santa Fe New Mexico,,,Santa Fe New Mexico,
Is it snowing in Toronto,snowing,,Toronto,
What will the weather look like on Sunday by 6pm in Lagos?,,Sunday,Lagos,6pm
What will the temperature be in Phoenix on Saturday?,temperature,Saturday,Phoenix,
current weather at Trivandrum,,,Trivandrum,
How's the weather today in Caracas?,,today,Caracas,
what's the weather in Micco,,,Micco,
tell me the weather on cabimas right now please,,,cabimas,
Current weather in East hanover new jersey,,,East hanover new jersey,
Weather for Philadelphia,,,Philadelphia,
Weather now in Washington DC,,,Washington DC,
"current Sparta, WI weather",,,"Sparta, WI",
Get me the weather report of Boston today.,,today,Boston,
"Tell me the current temperature in Charlotte, NC",temperature,,"Charlotte, NC",
What is today's weather conditions of Thrissur.,,today,Thrissur,
"Aneeda, what is the weather going to be today?",,today,,
What's the weather in Chicago,,,Chicago,
What's the local weather today?,,today,,
"How is the present weather in Paris, France",,,"Paris, France",
"What is today's weather for Blakeslee, PA?",,today,"Blakeslee, PA",
show today's weather for Maceio,,today,Maceio,
Tell me weather forecast for Sunday 12pm in Noida,,Sunday,Noida,12pm
What is the weather today in London?,,today,London,
What's the weather in Washington tonight?,,tonight,Washington,tonight
"What will the temperature be in Memphis, TN tomorrow?",temperature,tomorrow,"Memphis, TN",
"Aneeda, is it going to rain today?",rain,today,,
Show me tomorrow's weather for Upland CA,,tomorrow,Upland CA,
will it be sunny in Miami on the 24th of November?,sunny,24th of November,Miami,
will it be cloudy in Santa Fe New Mexico on 4th of June?,cloudy,4th of June,Santa Fe New Mexico,
how is the weather outside,,,,
get me today's weather report,,today,,
how is the weather in Mumbai,,,Mumbai,
"Get weather for today in Annapolis, Maryland",,today,"Annapolis, Maryland",
What's the weather like in Mumbai,,,Mumbai,
Find out what the temperature will be in Kansas City today at five pm.,temperature,today,Kansas City,five pm
what is the weather forcast for Gastonia north Carolina for Monday November tenth 2016,,Monday November tenth 2016,Gastonia north Carolina,
show the weather forecast for Hyderabad on 13th November,,13th November,Hyderabad,
"Brief me on if it was a sunny day on 11/30 at 11am in Patna, India",sunny,11/30,"Patna, India",11am
Hi do I need an umbrella in Lenoir city today,umbrella,today,Lenoir city,
weather for Lafayette Louisiana,,,Lafayette Louisiana,
what is the weather like in Calgary?,,,Calgary,
What is the weather forecast for New York City tomorrow,,tomorrow,New York City,
Weather forecast for Maryville Tn.,,,Maryville Tn,
how is the weather in nagercoil? is it snowy? by 8 p.m on Friday,snowy,Friday,nagercoil,8 p.m
show me the weather of tomorrow in Rio Grande,,tomorrow,Rio Grande,
What is the weather today?,,today,,
Will it rain tomorrow in Miami?,rain,tomorrow,Miami,
Get me the weather report for Chennai this week,,,Chennai,
Weather forecast for Cleveland area today at 3pm,,today,Cleveland,3pm
HOW IS WEATHER TODAY IN HYDERABAD,,TODAY,HYDERABAD,
Weather tomorrow morning in Philadelphia,,tomorrow,Philadelphia,morning
what would be the weather in Kashmir tomorrow,,tomorrow,Kashmir,
New York weather,,,New York,
What is the weather like in Nice now,,,Nice,
"Tell me the weather for Philadelphia, PA on June 2, 2017 at 4 PM",,"June 2, 2017","Philadelphia, PA",4 PM
What's the weather today in Tokyo japan,,today,Tokyo japan,
What is the weather forecast for New York tomorrow 12 November?,,tomorrow 12 November,New York,
"Aneeda, is it going to be sunny on Friday afternoon in Chicago?",sunny,Friday,Chicago,afternoon
IS THE WEATHER CLOUDY IN OHIO ON NOVEMBER 11TH AT 2P.M.,CLOUDY,NOVEMBER 11TH,OHIO,2P.M.
Get me the current weather information of the current location,,,,
What's the weather today?,,today,,
"What is the weather in Bristol, Wisconsin?",,,"Bristol, Wisconsin",
check for rainy conditions for Bangkok on 13th November at 11 am,rainy,13th November,Bangkok,11 am
Gwalior weather report,,,Gwalior,
tell me the weather of Friday 11 nov 2016 India,,Friday 11 nov 2016,India,
Hey Aneeda show me the weather information in Chennai,,,Chennai,
"Aneeda, get me forecast for tomorrow 10:00AM in Glendale, AZ",,tomorrow,"Glendale, AZ",10:00AM
"Weather for Knoxville, Tennessee.",,,"Knoxville, Tennessee",
"Aneeda, is it going to rain today in Las Vegas at night?",rain,today,Las Vegas,night
weather information at Mumbai now,,,Mumbai,
What is the weather going to be like in Virginia today.,,today,Virginia,
what's the weather today in Canada at noon today?,,today,Canada,noon
Please tell me if today's weather in Wilmington de includes rain,rain,today,Wilmington,
What is the weather forecast for Indianapolis?,,,Indianapolis,
"Aneeda, how is the weather today morning in New York at 10:30 AM",,today,New York,10:30 am
What's the forecasted weather for Gloucester on Thursday around midday?,,Thursday,Gloucester,midday
Provide weather update for Mumbai on Monday,,Monday,Mumbai,
is there a rain in California,rain,,California,
"What is the forecast for Los Angeles at 12:00 pm, 11/12/2016?",,11/12/2016,Los Angeles,12:00 pm
"Aneeda, what is the weather forecast for today?",forecast,today,,
What's the weather like in Bangalore ?,,,Bangalore,
"tell me what the weather will be like in des moines, ia on November 20th at 5pm",,November 20th,"des moines, ia",5pm
What is the current weather conditions in Dubuque Iowa,,,Dubuque Iowa,
what's the weather in Suzhou tomorrow at 12pm?,,tomorrow,Suzhou,12pm
hey assistant can you show me the morning weather conditions Sunday in Alaska.,,Sunday,Alaska,
What was the temperature in New York city at 5 am.,temperature,,New York,5 am
What is the weather now in Karur ?,,,Karur,
What will be the highest temperature today in Los Angeles?,temperature,today,Los Angeles,
what's the weather in Beverly on Saturday morning,,Saturday,Beverly,morning
"What is the weather in Atlanta, GA?",,,"Atlanta, GA",
what is the weather in cape Canaveral Florida on 11/12/2016 at 1 pm is it raining,raining,11/12/2016,cape Canaveral Florida,1 pm
What is the weather going to be for Philadelphia Pennsylvania on November 22nd?,,November 22nd,Philadelphia Pennsylvania,
"weather in Atlanta, GA today, now",,today,"Atlanta, GA",
what is the weather like in my area?,,,my area,
