SetQuery,SetName1,SetGroup1,SetType1,SetGroupName1,SetTypeName1,SetTypeGroup1,SetTypeGroupName1,Value1,SetName2,SetGroup2,SetType2,SetGroupName2,SetTypeName2,SetTypeGroup2,SetTypeGroupName2,Value2
Set the lights to 50%,,,,,,,lights,50%,,,,,,,,
Change the fan speed to 4,,,,,,,fan,4,,,,,,,,
Set the timer on the microwave to 3 minutes,,,,,,Microwave,Timer,3 minutes,,,,,,,,
Change the channel to CNN,,,,,,,channel,CNN,,,,,,,,
Set the thermostat to 70 degrees,,,,,,,thermostat,70 degrees,,,,,,,,
Adjust the thermostat to 50 degrees,,,,,,,thermostat,50 degrees,,,,,,,,
Change the temperature on the thermostat to 68 degrees,,,,,,,thermostat,68 degrees,,,,,,,,
Adjust the temperature to 22 degrees celsius,,,,,,,temperature,22 degrees,,,,,,,,
Set the sprinklers to go on at 7 pm,,,,,,,sprinklers,7:00 PM,,,,,,,,
Set the sprinklers to go off at 6 am,,,,,,,sprinklers,6:00 AM,,,,,,,,
Mute the television in the baby's room,,,,,,,television,mute,,,,,,,,
Mute this television,,,,,,,this television,mute,,,,,,,,
Mute the speakers in the kitchen,,Kitchen,,,,,speakers,mute,,,,,,,,
Make it half as much,,,,,,,it,half,,,,,,,,
Put the timer on for thirty minutes,,,,,,,timer,thirty minutes,,,,,,,,
Put the lights to 55%,,,,,,,lights,55%,,,,,,,,
Put the fan speed to 5,,,,,,,fan,5,,,,,,,,
Put to time on the microwave to 3 minutes,,,,,,microwave,time,3 minutes,,,,,,,,
Put the channel to Cnn,,,,,,,channel,CNN,,,,,,,,
Put the thermostat to 67 degrees,,,,,,,thermostat,67 degrees,,,,,,,,
Put the temperature on the thermostat to 64 degrees,,,,,,,thermostat,64 degrees,,,,,,,,
Put the temperature to to 28 degrees celsius ,,,,,,,temperature,28 degrees,,,,,,,,
Put the sprinklers to go on at 8:15pm,,,,,,,sprinklers,8:15 PM,,,,,,,,
Put the sprinklers to go on at 5am,,,,,,,sprinklers,5:00 AM,,,,,,,,
Put the television in the baby's room to off,,baby's room,,,,,television,off,,,,,,,,
Put the television in the baby's room to on,,baby's room,,,,,television,on,,,,,,,,
Adjust the lights to 92%,,,,,,,lights,92%,,,,,,,,
Adjust the fan speed to 8,,,,,,,fan,8,,,,,,,,
Adjust the Channel to CNN,,,,,,,channel,cnn,,,,,,,,
Adjust the thermostat to 76 degrees,,,,,,,thermostat,76 degrees,,,,,,,,
Adjust the thermostat to 86 degrees,,,,,,,thermostat,86 degrees,,,,,,,,
Adjust the temperature to 18 degrees celsius ,,,,,,,temperature,18 degrees,,,,,,,,
Adjust the sprinklers to go on at 9pm,,,,,,,sprinklers,9:00 PM,,,,,,,,
Adjust the sprinklers to go on at 5:45am,,,,,,,sprinklers,5:45 AM,,,,,,,,
Adjust the television in the baby's room to off,,baby's room,,,,,television,off,,,,,,,,
Make the lights 72%,,,,,,,lights,72%,,,,,,,,
Make the fan speed to 3,,,,,,,fan,3,,,,,,,,
Make the Channel CNN,,,,,,,channel,CNN,,,,,,,,
Make the thermostat 52 degrees,,,,,,,thermostat,52 degrees,,,,,,,,
Make the thermostat 69 degrees,,,,,,,thermostat,69 degrees,,,,,,,,
Make the temperature 14 degrees celsius ,,,,,,,temperature,14 degrees,,,,,,,,
Make the sprinklers go on at 7:45pm,,,,,,,sprinklers,7:45 PM,,,,,,,,
Make the sprinklers go on at 8:15am,,,,,,,sprinklers,8:15 AM,,,,,,,,
Make the television in the baby's room off ,,baby's room,,,,,television,off,,,,,,,,
Make the television in the baby's room on,,baby's room,,,,,television,on,,,,,,,,
