LockUnlockQuery,LockUnlockName1,LockUnlockGroup1,LockUnlockType1,LockUnlockGroupName1,LockUnlockTypeName1,LockUnlockTypeGroup1,LockUnlockTypeGroupName1,LockUnlockLock1,LockUnlockUnlock1,LockUnlockName2,LockUnlockGroup2,LockUnlockType2,LockUnlockGroupName2,LockUnlockTypeName2,LockUnlockTypeGroup2,LockUnlockTypeGroupName2,LockUnlockLock2,LockUnlockUnlock2
Lock the bedroom door,,,,,,,bedroom door,lock ,,,,,,,,,,
Lock the front door,,,,,,,front door,lock,,,,,,,,,,
Lock the gate,,,,,,,gate,lock,,,,,,,,,,
Lock the door,,,,,,,door,lock,,,,,,,,,,
Lock the backdoor,,,,,,,backdoor,lock,,,,,,,,,,
Lock the bedroom window,,,,,,,bedroom window,lock,,,,,,,,,,
Lock the bedroom window,,,,,,,bedroom window,lock,,,,,,,,,,
Lock the door for Bedroom 2,,Bedroom 2,,,,,door,lock,,,,,,,,,,
Lock the front door and the patio door,,,,,,,front door,lock,,,,,,,,patio door,,
Lock the kitchen door,,,,,,,kitchen door,lock,,,,,,,,,,
Lock the garage door,,,,,,,garage door,lock,,,,,,,,,,
Lock the master bedroom door,,,,,,,master bedroom door,lock,,,,,,,,,,
Lock the door for Bedroom 1,,Bedroom 1,,,,,door,lock,,,,,,,,,,
Lock the kitchen door and the front door,,,,,,,kitchen door,lock,,,,,,,,front door,,
Secure the motion detector,,,,,,,motion detector,secure,,,,,,,,,,
secure the deadbolt on the front door and on the backdoor,,front door,,,,,deadbolt,secure,,,,,,,,backdoor,,
secure the deadbolt in the garage,,garage,,,,,deadbolt,secure,,,,,,,,,,
please lock the doors,,,,,,,doors,lock,,,,,,,,,,
make sure all the doors are locked,,,,,,,doors,locked,,,,,,,,,,
i want everything locked,,,,,,,everything,locked,,,,,,,,,,
lock it all up,,,,,,,,lock,,,,,,,,,,
lock this device,,,,,,,this,lock,,,,,,,,,,
lock that window,,,,,,,that window,lock,,,,,,,,,,
lock his room windows and doors,,,,,,,his room windows,lock,,,,,,,,doors,,
secure the house,,,,,,,house,secure,,,,,,,,,,
Unlock the backdoor,,,,,,,backdoor,,unlock,,,,,,,,,
Unclock the living room window,,,,,,,living room window,,unlock,,,,,,,,,
Unlock the kitchen door,,,,,,,kitchen door,,unlock,,,,,,,,,
Unlock the window in the bedroom,,bedroom,,,,,window,,unlock,,,,,,,,,
Unlock the bedroom window,,,,,,,bedroom window,,unlock,,,,,,,,,
Unlock the door for Bedroom 2,,Bedroom 2,,,,,door,,unlock,,,,,,,,,
Unlock the door for Bedroom 1,,Bedroom 1,,,,,door,,unlock,,,,,,,,,
Unlock the door,,,,,,,door,,unlock,,,,,,,,,
Unclock the front door,,,,,,,front door,,unlock,,,,,,,,,
Unlock the bedroom door,,,,,,,bedroom door,,unlock,,,,,,,,,
Unlock the master bedroom door,,,,,,,master bedroom door,,unlock,,,,,,,,,
Unlock the garage door,,,,,,,garage door,,unlock,,,,,,,,,
Unlock the gate,,,,,,,gate,,unlock,,,,,,,,,
Unlock the garage door and the front door,,,,,,,garage door,,unlock,,,,,,,front door,,
Unlock the door to the garage ,,garage,,,,,door,,unlock,,,,,,,,,
Unhook the deadbolt on the front door,,,,,,,front door,,unhook,,,,,,,,,
please unlock the top window,,,,,,,top window,,unlock,,,,,,,,,
please unlock the bathroom door,,,,,,,bathroom door,,unlock,,,,,,,,,
unlock everything,,,,,,,everything,,unlock,,,,,,,,,
unlock this item,,,,,,,this item,,unlock,,,,,,,,,
unlock that garage,,,,,,,that garage,,unlock,,,,,,,,,
unlock all the master bedroom windows,,,,,,,master bedroom windows,,unlock,,,,,,,,,
unlock the door named purple door,purple door,,,,,,door,,unlock,,,,,,,,,
unlock all the products of type window,,,window,,,,products,,unlock,,,,,,,,,
unlock the items in my downstairs group,,downstairs,,,,,items,,unlock,,,,,,,,,
Fasten the door to my office,,my office,,,,,door,Fasten,,,,,,,,,,
Secure the lock on the door at the front entrance,,front entrance,,,,,door,secure,,,,,,,,,,
