OnOffQuery,OnOffName1,OnOffGroup1,OnOffType1,OnOffGroupName1,OnOffTypeName1,OnOffTypeGroup1,OnOffTypeGroupName1,OnOffOn1,OnOffOff1,OnOffName2,OnOffGroup2,OnOffType2,OnOffGroupName2,OnOffTypeName2,OnOffTypeGroup2,OnOffTypeGroupName2,OnOffOn2,OnOffOff2
Turn the lights off,,,,,,,lights,,off,,,,,,,,,
Turn hall lights off,,,,,,,hall lights,,off,,,,,,,,,
Turn off all the lights,,,,,,,lights,,off,,,,,,,,,
Turn off the television,,,,,,,television,,off,,,,,,,,,
Turn the speakers off,,,,,,,speakers,,off,,,,,,,,,
Turn off the light in here,,here,,,,,light,,off,,,,,,,,,
Kill the lights in this room,,this room,,,,,lights,,off,,,,,,,,,
Kill the lights in my room,,my room,,,,,lights,,off,,,,,,,,,
Turn all living room lights off,,,,,,,living room lights,,off,,,,,,,,,
Shut off the living room lights,,,,,,,living room lights,,off,,,,,,,,,
Turn his reading light off,,,,,,,his reading light,,off,,,,,,,,,
Shut the tv off in his room,,his room,,,,,tv,,off,,,,,,,,,
Shut the tv off in their room,,their room,,,,,tv,,off,,,,,,,,,
Turn the ceiling fan off,,,,,,,ceiling fan,,off,,,,,,,,,
Shut the tv off ,,,,,,,tv,,off,,,,,,,,,
Turn the thermostat off,,,,,,,thermostat,,off,,,,,,,,,
Turn the thermostat down,,,,,,,thermostat,,down,,,,,,,,,
Turn the television off,,,,,,,television,,off,,,,,,,,,
Turn the water heater off,,,,,,,water heater,,off,,,,,,,,,
Turn the siren off,,,,,,,siren,,off,,,,,,,,,
turn off her night lamp,,her,,,,,night lamp,,off,,,,,,,,,
Turn the smoke alarm off,,,,,,,smoke alarm,,off,,,,,,,,,
Turn the fan off,,,,,,,fan,,off,,,,,,,,,
Turn off the motion detector,,,,,,,motion detector,,off,,,,,,,,,
Turn the heater off,,,,,,,heater,,off,,,,,,,,,
Shut the lights off,,,,,,,lights,,off,,,,,,,,,
Shut the water heater off,,,,,,,water heater,,off,,,,,,,,,
Shut the motion detector off,,,,,,,motion detector,,off,,,,,,,,,
Make the lights go off,,,,,,,lights,,off,,,,,,,,,
Make the lights off,,,,,,,lights,,off,,,,,,,,,
Turn the heat off in the nursery,,nursery,,,,,heat,,off,,,,,,,,,
Switch the lights off,,,,,,,lights,,off,,,,,,,,,
Turn the sprinklers off,,,,,,,sprinklers,,off,,,,,,,,,
Switch the sprinklers off,,,,,,,sprinklers,,off,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Turn the siren on,,,,,,,siren,on,,,,,,,,,,
Turn on the motion detector ,,,,,,,motion detector,on,,,,,,,,,,
Turn the fan on,,,,,,,fan,on,,,,,,,,,,
Turn the heater on,,,,,,,heater,on,,,,,,,,,,
Switch the sprinklers in the backyard on,,backyard,,,,,sprinklers,on,,,,,,,,,,
Turn on the camera,,,,,,,camera,on,,,,,,,,,,
Turn on the security camera for the front door,,front door,,,,,security camera,on,,,,,,,,,,
Turn the water heater on,,,,,,,water heater,on,,,,,,,,,,
Turn Bedroom 1 lights on,,,,,,,Bedroom 1 lights,on,,,,,,,,,,
Switch the lights on ,,,,,,,lights,on,,,,,,,,,,
Turn the sprinklers on ,,,,,,,sprinklers,on,,,,,,,,,,
Switch the sprinklers on,,,,,,,sprinklers,on,,,,,,,,,,
Turn the front sprinklers on,,,,,,,front sprinklers,on,,,,,,,,,,
Turn the television on,,,,,,,television,on,,,,,,,,,,
Turn on the speakers,,,,,,,speakers,on,,,,,,,,,,
Turn the heat on in the living room,,living room,,,,,heat,on,,,,,,,,,,
Turn the heat on,,,,,,,heat,on,,,,,,,,,,
Turn the lights on,,,,,,,lights,on,,,,,,,,,,
Turn the wifi on,,,,,,,wifi,on,,,,,,,,,,
Turn on the lights,,,,,,,lights,on,,,,,,,,,,
Turn the lights on in the kitchen,,kitchen,,,,,lights,on,,,,,,,,,,
Turn on the hallway lights,,,,,,,hallway lights,on,,,,,,,,,,
Turn the outdoor light on,,,,,,,outdoor light,on,,,,,,,,,,
Turn the ceiling fan on,,,,,,,ceiling fan,on,,,,,,,,,,
