OpenCloseQuery,OpenCloseName1,OpenCloseGroup1,OpenCloseType1,OpenCloseGroupName1,OpenCloseTypeName1,OpenCloseTypeGroup1,OpenCloseTypeGroupName1,OpenCloseOpen1,OpenCloseClose1,OpenCloseName2,OpenCloseGroup2,OpenCloseType2,OpenCloseGroupName2,OpenCloseTypeName2,OpenCloseTypeGroup2,OpenCloseTypeGroupName2,OpenCloseOpen2,OpenCloseClose2
Open the door,,,,,,,door,open,,,,,,,,,,
Open the window,,,,,,,window,open,,,,,,,,,,
Open the gate,,,,,,,gate,open,,,,,,,,,,
Open the garage,,,,,,,garage,open,,,,,,,,,,
Open the garage door,,,,,,,garage door,open,,,,,,,,,,
Open the door to the living room,,living room,,,,,door,open,,,,,,,,,,
Open her door,,,,,,,her door,open,,,,,,,,,,
Open his door,,,,,,,his door,open,,,,,,,,,,
Open the kitchen windows,,,,,,,kitchen windows,open,,,,,,,,,,
Open the windows in his room,,his room,,,,,windows,open,,,,,,,,,,
Release the front gate,,,,,,,front gate,release,,,,,,,,,,
Open the blinds and the windows in the Rec Room,,rec room,,,,,blinds,open,,,,,,,,windows,,
Unseal the guest room blinds,,guest room,,,,,blinds,unseal,,,,,,,,,,
please open all the windows,,,,,,,windows,open,,,,,,,,,,
please open the doors in the basement,,basement,,,,,doors,open,,,,,,,,,,
have the windows opened in the attic,,attic,,,,,windows,opened,,,,,,,,,,
i want to open up the guest house,,,,,,,guest house,open,,,,,,,,,,
i need you to open it,,,,,,,it,open,,,,,,,,,,
open it,,,,,,,it,open,,,,,,,,,,
open that,,,,,,,that,open,,,,,,,,,,
Shut the door,,,,,,,door,,shut,,,,,,,,,
Close the door,,,,,,,door,,close,,,,,,,,,
Close the blinds,,,,,,,blinds,,close,,,,,,,,,
Close the gate,,,,,,,gate,,close,,,,,,,,,
Close the window,,,,,,,window,,close,,,,,,,,,
Close each of the microwaves,,,microwaves,,,,,,close,,,,,,,,,
Close the door to my bedroom,,bedroom,,,,,door,,close,,,,,,,,,
Close his bathroom door,,,,,,,his bathroom door,,close,,,,,,,,,
Close the master bedroom windows,,,,,,,master bedroom windows,,close,,,,,,,,,
Close the garage,,,,,,,garage,,close,,,,,,,,,
Close the front door,,,,,,,front door,,close,,,,,,,,,
Close the windows in the kitchen,,kitchen,,,,,windows,,close,,,,,,,,,
Close the garage gate,,,,,,,garage gate,,close,,,,,,,,,
Shut the garage door,,,,,,,garage door,,shut,,,,,,,,,
Close the kitchen down,,,,,,,kitchen,,close,,,,,,,,,
Seal the gates in the driveway,,driveway,,,,,gates,,seal,,,,,,,,,
Seal the windows shut in the Family Room,,family room,,,,,windows,,shut,,,,,,,,,
Close the door to my office,,office,,,,,door,,close,,,,,,,,,
Close the blinds in my office,,office,,,,,blinds,,close,,,,,,,,,
please close all the windows,,,,,,,windows,,close,,,,,,,,,
please close the doors in the basement,,basement,,,,,doors,,close,,,,,,,,,
have the windows closed in the attic,,attic,,,,,windows,,closed,,,,,,,,,
i want to close up the guest house,,,,,,,guest house,,close,,,,,,,,,
i need you to shut it,,,,,,,it,,shut,,,,,,,,,
close it,,,,,,,it,,close,,,,,,,,,
close that,,,,,,,that,,close,,,,,,,,,
shut this,,,,,,,this,,shut,,,,,,,,,
shut her room door,,,,,,,her room door,,shut,,,,,,,,,
shut everything,,,,,,,everything,,shut,,,,,,,,,
