StatusQuery,StatusStatus,StatusAll,StatusName,StatusGroup,StatusType,StatusGroupName,StatusTypeName,StatusTypeGroup,StatusTypeGroupName
What is on?,on,what,,,,,,,
Are the lights on?,on,,,,,,,,lights
Did I lock the doors?,lock,,,,,,,,doors
what was that?,,that,,,,,,,
What's the temp?,temp,,,,,,,,doors
Give me my lighting status ,,,,,,,,,lighting
What's the temp in the baby's room,temp,,,,,,,,baby's room
Are the doors open?,open,,,,,,,,doors
Are the doors locked?,locked,,,,,,,,doors
Are the doors secured?,secured,,,,,,,,doors
Did I lock the doors?,lock,,,,,,,,doors
What's the temp?,temp,,,,,,,,
Did I close the windows?,close,,,,,,,,windows
Did I turn off the TV?,off,,,,,,,,TV
Is everything off?,off,everything,,,,,,,
Did I leave something on?,on,something,,,,,,,
what's the status of my thermostat?,status,,,,,,,,thermostat
what is the status of my blinds?,status,,,,,,,,
Are the curtains up?,up,,,,,,,,curtains
Are the alarms set?,set,,,,,,,,alarms
what is unlocked?,unlocked,what,,,,,,,
what happened in the den?,,happened,,,,,,,den
Is the alarm on?,on,,,,,,,,alarm
Is the TV off?,off,,,,,,,,TV
Which products are in the guest room?,,,,,,,,,guest room
Which items have changed?,,items,,,,,,,
Check if the doors are locked,locked,,,,,,,,doors
Check if the fridge is open,open,,,,,,,,fridge
