intent_id,priority,awaiting_field,unresolved,missing,present,aneeda_en,entity_values
calendar_create_event,100,none,None,None,email_error,You don't have any contacts in your account. You'll need to add some.,
,100,None,None,None,skill_exception,"Sorry, Couldn't complete the action. Please try again later","[('skill_exception', '999')]"
,100,None,None,None,skill_exception,"Date or Time format is wrong.","[('skill_exception', '1000')]"
,100,None,None,None,skill_exception,"Unable to send event.Could not find email address.Please try again later.","[('skill_exception', '1001')]"
,100,None,None,None,skill_exception,"Ok event creation canceled.","[('skill_exception', '1005')]"
,99,None,None,None,skill_exception,"Couldn't Complete the action. Please try again later.",None
,95,event_attendees,event_attendees,None,None,I found multiple contacts for <event_attendees>:  <event_attendees.candidates>. Whom did you want to invite?,
,,,,,,Which <event_attendees> do you mean? I see these in your contacts: <event_attendees.candidates> ,
,,,,,,There's more than one person with the name <event_attendees>. Which one of these is right?  <event_attendees.candidates>,
,,,,,,Sorry I can't find that name in your contacts.  Can you try a different name?,
,,,,,,I don't see the contact name you mentioned. Can you give me a valid name?,
,,,,,,That name doesn't seem to be in your contacts. Can you tell me a valid name to look for?,
,90,event_date,None,event_date,None,What's the date for your event?,
,,,,,,What's the date?,
,,,,,,For which day?,
,,,,,,Can you give me a date,
,,,,,,What's the date of your event?,
,,,,,,For what day?,
,85,event_date,event_date,None,None,Please tell me a valid date,
,,,,,,"I didn't get that, can you give me a valid date?",
,,,,,,I need a valid date for your event.,
,,,,,,"Hmm, can we try again? Please give me a valid date.",
,80,event_time,None,event_time,None,What time should the event be scheduled?,
,,,,,,What time is your event?,
,,,,,,What time will your event be?,
,,,,,,And what time?,
,,,,,,What time is it for?,
,75,event_time,event_time,None,None,Please tell me a valid time,
,,,,,,I missed what you said. Please give me a time for your event.,
,,,,,,"I didn't understand that, can you give me a valid time?",
,70,event_title,None,event_title,None,What is the event title?,
,,,,,,What should the event be called?,
,,,,,,What's the title of your event?,
,,,,,,What should I name your event?,
,,,,,,Can I have a name for your event?,
,60,none,None,event_attendees,event_date && event_time && event_title,Saving this to your calendar.,
,,,,,,Your event is saved!,
,,,,,,I've saved your event,
,,,,,,I've penciled in your event.,
,55,event_confirmation,None,event_confirmation,event_date && event_time && event_title && event_attendees,Would you like to send this event?,
,,,,,,Are you ready to send this event?,
,,,,,,Shall I send this event?,
