intent_id,priority,awaiting_field,unresolved,missing,present,aneeda_en
news_search,100,None,None,topic,None,Getting the latest from NPR.
,,,,,,Fetching the news.
,,,,,,Looking for it.
,,,,,,Getting the news for you.
,,,,,,Here's the latest and greatest in news.
,,,,,,Let me get the news.
,,,,,,Getting you the news.
,,,,,,Here's today's news.
,,,,,,Here's what is going on in the world.
,,,,,,Here are the latest headlines.
,,,,,,Bringing you the latest headlines.
,,,,,,Getting you the latest headlines.
,,,,,,Getting the latest news report.
,,,,,,Here are the latest news report.
,,,,,,Here's your news flash.
,,,,,,Looking for breaking news.
,,,,,,Searching for breaking news.
,,,,,,Here is your breaking news.
,,,,,,Here's what's new on NPR.
,,,,,,Here is the news on NPR.
,,,,,,Here are the recent headlines on NPR.
,90,None,None,None,topic,Getting you the latest news about <topic>
,,,,,,Here is the latest news about <topic> 
,,,,,,Sure thing! Here is the news about <topic>
,,,,,,Fetching you the news about <topic>
,,,,,,Alright. Bringing you news about <topic>
,,,,,,Here are the latest headlines <topic>
,,,,,,Here's the latest about <topic>
,,,,,,Here is what is going on with <topic>
,,,,,,Here's what' going on in headlines about <topic>
,,,,,," <topic> news, coming right up!"
,,,,,,Check out these headlines about <topic>
,,,,,,Here you go. News about <topic> for you.
,,,,,,Here's the breaking news about <topic>
,,,,,,Peep these news headlines about <topic>
,,,,,,Here's your news brief about <topic>
,,,,,,Pulling up the latest about <topic> for you.
,,,,,,Alright. Pulling up news headlines about <topic>
,,,,,,You got it! Here are recent headlines about <topic>
,,,,,,Here's what's been written about <topic>
,,,,,,Check out these articles about <topic>
,,,,,,Here are some articles about <topic>
,,,,,,Alright. Bringing you recent news about <topic>
,,,,,,Okay. Let me pull recent articles about <topic>
,105,None,None,None,skill_exception && topic,Sorry. I can't find news about <topic> right now.
,,,,,,I'm not seeing any recent news about <topic>. 
,,,,,,There's nothing new in the news about <topic>. 
,,,,,,I'm having trouble finding current news about <topic>. 
,,,,,,<topic> has no news right now.
,,,,,,I'm not finding any new headlines about <topic>. 
,,,,,,"Sorry, there are no news reports about <topic>."
,,,,,,"Hmm, nothing interesting comes up about <topic>. "
,,,,,,I don't see anything trending in the news about <topic>. 
,,,,,,I'm having difficulty finding <topic> in the latest news.
,,,,,, <topic> has no new headlines at the moment.
,,,,,,Nothing has been written recently about <topic>. 
,,,,,,No recent reports are out about <topic>. 
,,,,,,No recent headlines are out about <topic> now.
,,,,,,I haven't found any news about <topic> in the last few days. 
,,,,,,I can't find <topic> in news headlines at the moment.
,,,,,,<topic> is not in the news radar right now.
