priority,present,entity_values,unresolved,missing,awaiting_field,home_en
100,None,,,None,None,I can't do that
,,,,,,I don't have an answer for that
,,,,,,That's outside my skill set
,,,,,,"Sorry, I didn't get that"
,,,,,,That's beyond my knowledge
,,,,,,I can't help with that
,,,,,,I can't answer that
,,,,,,"Hmm, I don't quite understand"
,,,,,,I can't help you there
,,,,,,"Sorry, can't do that"
,,,,,,I didn't get that
,,,,,,I didn't catch that
,,,,,,I don't quite get you
,,,,,,Could you rephrase that?
,,,,,,I'm not sure I got that
,,,,,,"Sorry, try rephrasing that"
,,,,,,Can you rephrase the question?
,,,,,,I'm not understanding
,,,,,,Try rephrasing the question
,,,,,,Can you say that differently?
