priority,present,entity_values,unresolved,missing,awaiting field,home_en
100,,,type_group_name_1,,type_group_name_1,Which do you mean: <type_group_name_1.candidates>
95,,,type_group_name_2,,type_group_name_2,Which do you mean: <type_group_name_2.candidates>
92,,,type_group_name_1 && type_group_name_1,,,I don't know of any device <type_group_name_1> or <I don't know of any device <type_group_name_2>
90,,,type_group_name_1,,,I don't know of any device <type_group_name_1>
85,,,type_group_name_2,,,I don't know of any device <type_group_name_2>
80,skill_exception,"[('skill_exception', 'not_found_1')]",,,,I don't know of any device <type_group_name_1>
75,skill_exception,"[('skill_exception', 'not_found_2')]",,,,I don't know of any device <type_group_name_2>
72,skill_exception && devices_1 && devices_2,"[('skill_exception', 'unsupported_1'), ('skill_exception', 'unsupported_2')]",,,,<devices_1> and <device_2 > are not capable of being turned on or off
70,skill_exception && devices_1,"[('skill_exception', 'unsupported_1')]",,,,<devices_1> is not capable of being turned on or off
65,skill_exception && devices_2,"[('skill_exception', 'unsupported_2')]",,,,<devices_2> is not capable of being turned on or off
60,skill_exception,"[('skill_exception', 'unsupported_1')]",,,,This device can't be turned on or off
55,skill_exception,"[('skill_exception', 'unsupported_2')]",,,,This device can't be turned on or off
50,type_group_name_1 && devices_1 && on_1 && type_group_name_2 && devices_2 && on_2,,,,,Turning on <type_group_name_1> and <type_group_name_2>
45,type_group_name_1 && devices_1 && off_1 && type_group_name_2 && devices_2 && off_2,,,,,Turning off <type_group_name_1> and <type_group_name_2>
40,type_group_name_1 && devices_1 && on_1 && type_group_name_2 && devices_2 && off_2,,,,,Turning on <type_group_name_1> and turning off <type_group_name_2>
35,type_group_name_1 && devices_1 && off_1 && type_group_name_2 && devices_2 && on_2,,,,,Turning off <type_group_name_1> and turning on <type_group_name_2>
30,type_group_name_1 && devices_1 && type_group_name_2  && devices_2 && on_1,,,,,Turning on <type_group_name_1> and <type_group_name_2>
25,type_group_name_1 && devices_1 && type_group_name_2  && devices_2 && on_2,,,,,Turning off <type_group_name_1> and <type_group_name_2>
20,type_group_name_1 && devices_1 && on_1,,,,,Turning on <type_group_name_1>
15,type_group_name_1 && devices_1 && off_1,,,,,Turning off <type_group_name_1>
10,type_group_name_2 && devices_2 && on_1,,,,,Turning on <type_group_name_2>
5,type_group_name_2 && devices_2 && off_1,,,,,Turning off <type_group_name_2>
