intent_id,priority,awaiting_field,unresolved,missing,present,entity_values,aneeda_en
add_service,100,add_skill_name,None,add_skill_name,None,,"Is it Gmail or Outlook account?"
,95,add_skill_name,add_skill_name,None,None,"[('add_skill_name','email')]",In order to add an email account please specify which one: Gmail or Outlook
,90,add_skill_name,add_skill_name,None,None,,"In order to add an account please specify which one: Gmail or Outlook"
,85,none,None,None,skill_exception,"[('skill_exception', '999')]",Could not complete the action. Please try again later
,85,none,None,None,skill_exception,"[('skill_exception', '1000')]","Sorry, this service not yet supported."
,85,none,None,None,skill_exception,"[('skill_exception', '1001')]",Your account is already configured.
,85,none,None,None,skill_exception,"[('skill_exception', '1008')]",Could not complete the action. Please try again later
,70,none,None,None,add_skill_name,,Adding account for  <add_skill_name>
change_service,100,change_skill_name,None,change_skill_name,None,,"Is it Gmail or Outlook account?"
,95,change_skill_name,change_skill_name,None,None,,"Only Gmail and Outlook account are supported presently "
,70,none,None,None,change_skill_name,,Opening settings for  <change_skill_name>
remove_service,100,remove_skill_name,None,remove_skill_name,None,,"Is it Gmail or Outlook account?"
,95,remove_skill_name,remove_skill_name,None,None,"[('remove_skill_name','email')]",In order to remove an email account please specify which one: gmail or outlook
,90,remove_skill_name,remove_skill_name,None,None,,"In order to remove an account please specify which one: Gmail or Outlook"
,85,none,None,None,skill_exception,"[('skill_exception', '999')]",Could not complete the action. Please try again later
,85,none,None,None,skill_exception,"[('skill_exception', '1005')]",Failed to remove your account. Please try again later.
,85,none,None,None,skill_exception,"[('skill_exception', '1006')]",You do not have any accounts configured.
,85,none,None,None,skill_exception,"[('skill_exception', '1009')]",Error while removing your account. Please try again later.
,81,remove_confirmation,None,remove_confirmation,None,,Please provide a confirmation in Yes or No
,80,remove_confirmation,remove_confirmation,None,None,,Please provide a confirmation in Yes or No
,,,,,,,I didn't catch that. Please say Yes or No to confirm
,,,,,,,Was that a yes or no?
,,,,,,,Just say yes or no
,75,none,None,None,remove_confirmation && remove_skill_name,"[('remove_confirmation','yes')]",Removed your <remove_skill_name> account
,75,none,None,None,remove_confirmation && remove_skill_name,"[('remove_confirmation','no')]",Cancelled removing your <remove_skill_name> account
