calltype,value
home,home
homes,home
work,work
iPhone,iPhone
mobile,mobile
main,main
home fax,home fax
work fax,work fax
pager,pager
other,other
facetime,facetime
office,office
phone,phone
main,main
pager,pager
android,android
shop,shop
cellphone,cellphone
cell,cell
home phone,home
home number,home
mobile phone,mobile
fax work,fax work
fax home,fax home
company main,company main
work mobile,work mobile
work pager,work pager
assistant,assistant
mms,mms
skype,skype
whatsapp,whatsapp
Duo,Duo
home phone number,home
work phone number,work
mobile number,mobile
landline,landline
home phone,home
