Cuisine Name,Yelp input value
Afghan ,afghani
African ,african
Senegalese ,senegalese
South African ,southafrican
New American,newamerican
Traditional American,tradamerican
Andalusian ,andalusian
Arabian ,arabian
Arab Pizza ,arabpizza
Argentine ,argentine
Armenian ,armenian
Asian Fusion ,asianfusion
Asturian ,asturian
Australian ,australian
Austrian ,austrian
Baguettes ,baguettes
Bangladeshi ,bangladeshi
Barbeque ,bbq
Basque ,basque
Bavarian ,bavarian
Beer Garden ,beergarden
Beer Hall ,beerhall
Beisl ,beisl
Belgian ,belgian
Flemish ,flemish
Bistros ,bistros
Black Sea ,blacksea
Brasseries ,brasseries
Brazilian ,brazilian
Brazilian Empanadas ,brazilianempanadas
Central Brazilian ,centralbrazilian
Northeastern Brazilian ,northeasternbrazilian
Northern Brazilian ,northernbrazilian
Rodizios ,rodizios
Breakfast and Brunch,breakfast_brunch
British ,british
Buffets ,buffets
Bulgarian ,bulgarian
Burgers ,burgers
Burmese ,burmese
Cafes ,cafes
Themed Cafes ,themedcafes
Cafeteria ,cafeteria
Cajun Creole ,cajun
Cambodian ,cambodian
Canadian ,New) 
Canteen ,canteen
Caribbean ,caribbean
Dominican ,dominican
Haitian ,haitian
Puerto Rican ,puertorican
Trinidadian ,trinidadian
Catalan ,catalan
Cheesesteaks ,cheesesteaks
Chicken Shop ,chickenshop
Chicken Wings ,chicken_wings
Chilean ,chilean
Chinese ,chinese
Cantonese ,cantonese
Congee ,congee
Dim Sum ,dimsum
Fuzhou ,fuzhou
Hainan ,hainan
Hakka ,hakka
Henghwa ,henghwa
Hokkien ,hokkien
Hunan ,hunan
Pekinese ,pekinese
Shanghainese ,shanghainese
Szechuan ,szechuan
Teochew ,teochew
Comfort Food ,comfortfood
Corsican ,corsican
Creperies ,creperies
Cuban ,cuban
Curry Sausage ,currysausage
Cypriot ,cypriot
Czech ,czech
Czech/Slovakian ,czechslovakian
Danish ,danish
Delis ,delis
Diners ,diners
Dinner Theater ,dinnertheater
Dumplings ,dumplings
Eastern European ,eastern_european
Ethiopian ,ethiopian
Fast Food ,hotdogs
Filipino ,filipino
Fischbroetchen ,fischbroetchen
Fish and chips,fishnchips
Flatbread ,flatbread
Fondue ,fondue
Food Court ,food_court
Food Stands ,foodstands
Freiduria ,freiduria
French ,french
Alsatian ,alsatian
Auvergnat ,auvergnat
Berrichon ,berrichon
Bourguignon ,bourguignon
Mauritius ,mauritius
Nicoise ,nicois
Provencal ,provencal
Reunion ,reunion
French Southwest ,sud_ouest
Galician ,galician
Gastropubs ,gastropubs
Georgian ,georgian
German ,german
Baden ,baden
Eastern German ,easterngerman
Hessian ,hessian
Northern German ,northerngerman
Palatine ,palatine
Rhinelandian ,rhinelandian
Giblets ,giblets
Gluten-Free ,gluten_free
Greek ,greek
Halal ,halal
Hawaiian ,hawaiian
Heuriger ,heuriger
