league_name,name,alias,sport,country
NFL,National Football League,NFL,Football,USA
National Football League,National Football League,NFL,Football,USA
Football League,National Football League,NFL,Football,USA
NBA,National Basketball Association,NBA,Basketball,USA
National Basketball Association,National Basketball Association,NBA,Basketball,USA
MLB,Major League Baseball,MLB,Baseball,USA
Major League Baseball,Major League Baseball,MLB,Baseball,USA
League Baseball,Major League Baseball,MLB,Baseball,USA
EPL,English Premier League,EPL,Soccer,UK
English Premier League,English Premier League,EPL,Soccer,UK
Premier League,English Premier League,EPL,Soccer,UK
NHL,National Hockey League,NHL,Ice Hockey,USA
National Hockey League,National Hockey League,NHL,Ice Hockey,USA
Hockey League,National Hockey League,NHL,Ice Hockey,USA
Ice Hockey League,National Hockey League,NHL,Ice Hockey,USA
