series_type,seasonname,sportname
Conference Championship,Postseason,NFL
Divisional Playoff,Postseason,NFL
NFL Playoff,Postseason,NFL
NFL Playoff's,Postseason,NFL
Pro Bowl,Postseason,NFL
Super Bowl,Postseason,NFL
Wild Card Elimination Game,Postseason,MLB
Wild Card Playoff,Postseason,NFL
World Series,Postseason,MLB
Divisional Playoffs,Postseason,MLB
League Championship,Postseason,MLB and NBA
All-Star Game,,MLB and NBA
Wild Card Game,Postseason,MLB
American League Division Series,Postseason,MLB
ALDS,Postseason,MLB
National League Division Series,Postseason,MLB
NLDS,Postseason,MLB
American League Championship Series,Postseason,MLB
National League Championship Series,Postseason,MLB
World Series,Postseason,MLB
NBA Finals,Postseason,NBA
Playoff,Postseason,NBA and NFL and MLB
Playoff's,Postseason,NBA and NFL and MLB
