venue_name,city,state,country,league,id,gn_id
Tom Benson Hall of Fame Stadium,Canton,OH,USA,NFL,4213,
Georgia Dome,Atlanta,GA,USA,NFL,533,10
Lincoln Financial Field,Philadelphia,PA,USA,NFL,3494,13
Gillette Stadium,Foxborough,MA,USA,NFL,3392,24
MetLife Stadium,East Rutherford,NJ,USA,NFL,9286,534
M&T Bank Stadium,Baltimore,MD,USA,NFL,545,27
Soldier Field,Chicago,IL,USA,NFL,507,17
Heinz Field,Pittsburgh,PA,USA,NFL,551,25
MetLife Stadium,East Rutherford,NJ,USA,NFL,9242,
Paul Brown Stadium,Cincinnati,OH,USA,NFL,549,29
Lambeau Field,Green Bay,WI,USA,NFL,513,12
University of Phoenix Stadium,Glendale,AZ,USA,NFL,4943,446
Arrowhead Stadium,Kansas City,MO,USA,NFL,516,22
New Era Field,Orchard Park,NY,USA,NFL,506,33
Los Angeles Memorial Coliseum,Los Angeles,CA,USA,NFL,517,53
Nissan Stadium,Nashville,TN,USA,NFL,547,34
Levi's Stadium,Santa Clara,CA,USA,NFL,13672,1004
Ford Field,Detroit,MI,USA,NFL,3394,9
FirstEnergy Stadium,Cleveland,OH,USA,NFL,548,23
CenturyLink Field,Seattle,WA,USA,NFL,3395,38
FedEx Field,Landover,MD,USA,NFL,543,8
AT&T Stadium,Arlington,TX,USA,NFL,8087,499
Qualcomm Stadium,San Diego,CA,USA,NFL,527,31
Lucas Oil Stadium,Indianapolis,IN,USA,NFL,6670,495
EverBank Field,Jacksonville,FL,USA,NFL,538,21
NRG Stadium,Houston,TX,USA,NFL,2791,3
Sports Authority Field at Mile High,Denver,CO,USA,NFL,550,26
Camping World Stadium,Orlando,FL,USA,NFL,3007,139
Bank of America Stadium,Charlotte,NC,USA,NFL,536,243
Mercedes-Benz Superdome,New Orleans,LA,USA,NFL,522,19
Raymond James Stadium,Tampa,FL,USA,NFL,546,15
Oakland Coliseum,Oakland,CA,USA,NFL,537,28
U.S. Bank Stadium,Minneapolis,MN,USA,NFL,15139,1050
Hard Rock Stadium,Hard Rock Stadium,FL,USA,NFL,519,30
Wembley Stadium,London,,ENG,NFL,5859,473
Twickenham Stadium,Twickenham,,ENG,NFL,15160,1052
Estadio Azteca,Mexico City,,MEX,NFL,4413,1053
Rogers Arena,Vancouver,BC,CAN,NBA,29,
CenturyLink Center,Bossier City,LA,USA,NBA,2145,
United Center,Chicago,IL,USA,NBA,4,538092
FedExForum,Memphis,TN,USA,NBA,4265,634720
American Airlines Center,Dallas,TX,USA,NBA,2757,562915
Scotiabank Saddledome,Calgary,AB,CAN,NBA,3229,
Talking Stick Resort Arena,Phoenix,AZ,USA,NBA,21,634919
Moda Center at the Rose Quarter,Portland,OR,USA,NBA,22,538101
William D. Mullins Center,Amherst,MA,USA,NBA,1886,
Verizon Center,Washington,DC,USA,NBA,27,288198
Smoothie King Center,New Orleans,LA,USA,NBA,3403,388809
Toyota Center,Houston,TX,USA,NBA,3491,538105
Honda Center,Anaheim,CA,USA,NBA,2104,
ORACLE Arena,Oakland,CA,USA,NBA,9,538099
Quicken Loans Arena,Cleveland,OH,USA,NBA,5,388804
Staples Center,Los Angeles,CA,USA,NBA,12,538103
Wells Fargo Center,Philadelphia,PA,USA,NBA,20,538093
Bankers Life Fieldhouse,Indianapolis,IN,USA,NBA,11,388798
Barclays Center,Brooklyn,NY,USA,NBA,10615,635526
Greensboro Coliseum,Greensboro,NC,USA,NBA,1906,
SAP Center at San Jose,San Jose,CA,USA,NBA,3238,
Staples Center,Los Angeles,CA,USA,NBA,13,538103
Mohegan Sun Arena,Uncasville,CT,USA,NBA,3702,
Madison Square Garden,New York,NY,USA,NBA,18,288906
Sprint Center,Kansas City,MO,USA,NBA,5945,
Kohl Center,Madison,WI,USA,NBA,3597,
AT&T Center,San Antonio,TX,USA,NBA,3404,538102
Mercedes-Benz Arena,Shanghai,,CHN,NBA,10815,
Citizens Business Bank Arena,Ontario,CA,USA,NBA,7172,
Spectrum Center,Charlotte,NC,USA,NBA,4630,635262
Philips Arena,Atlanta,GA,USA,NBA,1,538089
The Palace of Auburn Hills,Auburn Hills,MI,USA,NBA,8,534928
AmericanAirlines Arena,Miami,FL,USA,NBA,14,388795
LeSports Center,Beijing,,CHN,NBA,10814,
Amway Center,Orlando,FL,USA,NBA,9545,538091
Ford Center,Evansville,IN,USA,NBA,10167,
Pinnacle Bank Arena,Lincoln,NE,USA,NBA,13199,
Vivint Smart Home Arena,Salt Lake City,UT,USA,NBA,26,538096
Bank of Oklahoma Center,Tulsa,OK,USA,NBA,7162,
T-Mobile Arena,Las Vegas,NV,USA,NBA,15339,
Pepsi Center,Denver,CO,USA,NBA,7,538100
Rupp Arena,Lexington,KY,USA,NBA,1895,
KFC Yum! Center,Louisville,KY,USA,NBA,9574,
BMO Harris Bradley Center,Milwaukee,WI,USA,NBA,15,288308
Chesapeake Energy Arena,Oklahoma City,OK,USA,NBA,3755,635449
TD Garden,Boston,MA,USA,NBA,2,388802
Value City Arena,Columbus,OH,USA,NBA,2121,
Golden 1 Center,Sacramento,CA,USA,NBA,15210,635708
Target Center,Minneapolis,MN,USA,NBA,16,538104
Valley View Casino Center,San Diego,CA,USA,NBA,4599,
CenturyLink Center Omaha,Omaha,NE,USA,NBA,3779,
Air Canada Centre,Toronto,ON,CAN,NBA,28,388793
O2 Arena,London,,ENG,NBA,6031,
Mexico City Arena,Mexico City,,MEX,NBA,10812,
Champion Stadium,Kissimmee,FL,USA,MLB,2781,
Joker Marchant Stadium,Lakeland,FL,USA,MLB,2776,
Bright House Field,Clearwater,FL,USA,MLB,3582,
Goodyear Ballpark,Goodyear,AZ,USA,MLB,7927,
Ed Smith Stadium,Sarasota,FL,USA,MLB,2778,
JetBlue Park at Fenway South,Fort Myers,FL,USA,MLB,10270,
George M. Steinbrenner Field,Tampa,FL,USA,MLB,2768,
McKechnie Field,Bradenton,FL,USA,MLB,2766,
Charlotte Sports Park,Port Charlotte,FL,USA,MLB,7921,
Florida Auto Exchange Stadium,Dunedin,FL,USA,MLB,2763,
Surprise Stadium,Surprise,AZ,USA,MLB,3455,
Scottsdale Stadium,Scottsdale,AZ,USA,MLB,2783,
Salt River Fields at Talking Stick,Scottsdale,AZ,USA,MLB,9742,
Peoria Sports Complex,Peoria,AZ,USA,MLB,2782,
Roger Dean Stadium,Jupiter,FL,USA,MLB,2770,
Minute Maid Park,Houston,TX,USA,MLB,435,3003
Dodger Stadium,Los Angeles,CA,USA,MLB,410,2983
AT&T Park,San Francisco,CA,USA,MLB,434,3001
Citizens Bank Park,Philadelphia,PA,USA,MLB,3569,3010
Nationals Park,Washington,DC,USA,MLB,6423,3056
Marlins Park,Miami,FL,USA,MLB,10257,3568
Globe Life Park in Arlington,Arlington,TX,USA,MLB,404,2993
Chase Field,Phoenix,AZ,USA,MLB,421,2984
PETCO Park,San Diego,CA,USA,MLB,3568,3011
Oakland-Alameda County Coliseum,Oakland,CA,USA,MLB,402,
Angel Stadium of Anaheim,Anaheim,CA,USA,MLB,394,2995
PNC Park,Pittsburgh,PA,USA,MLB,438,3006
Tropicana Field,St. Petersburg,FL,USA,MLB,422,2976
Space Coast Stadium,Viera,FL,USA,MLB,2775,
Camelback Ranch-Glendale,Glendale,AZ,USA,MLB,7928,
