artist_id,artist_name,popularity
396427,emily barker,0.48
991424,musica cristiana,0.46
2178177,young dre,0.29
5045,charles wright the watts 103rd street rhythm band,0.49
472499,tito y su torbellino,0.52
21885,exaltasamba,0.48
49485,joseph loduca,0.47
1099089,flybaits,0.46
12021,giuni russo,0.47
17707,funkstar de luxe,0.46
1166433,sfo,0.47
9888,elmer bernstein,0.51
262203,raf camora,0.46
1574,the features,0.52
88221,plies,0.59
22747,mungo jerry,0.56
121399,babe ruth,0.48
3312735,clmd feat frøder,0.3
93545,lord kossity,0.46
30037,dixie chicks,0.65
2861074,digital farm animals,0.58
299970,natalia lafourcade,0.49
3304418,bones bitch,0.29
984690,marconi,0.46
173645,john brown 's body,0.46
23955,philharmonia orchestra john lanchbery,0.47
200226,wizard,0.47
1105376,the babysitters circus,0.46
1348671,greatest hits 2012,0.47
929757,pink fluid,0.41
18563,maynard ferguson,0.5
11214,sandi thom,0.52
11612,tony yayo,0.5
2157410,frøder,0.51
597,har mar superstar,0.47
3543177,billy bragg joe henry,0.3
1417626,rozalén,0.49
320258,shady nate,0.43
499092,gatas parlament,0.49
9897,chase status,0.63
41855,bill ramsey,0.46
324481,fashawn,0.46
1125092,jessie ware,0.62
124464,shailendra bharti,0.48
5605,pesado,0.54
3204,rick astley,0.62
459889,fenech-soler,0.5
217422,cast of camp rock,0.47
490133,mike mago,0.52
561672,dr sound effects,0.49
31375,fabian,0.48
52611,the gathering,0.48
68706,ekamatra,0.49
94811,lil flip,0.46
106153,ben klock,0.47
17228,babylon zoo,0.51
377479,chalk circle,0.47
508982,tristam,0.52
153300,lynx,0.47
85130,wintersun,0.49
21568,oomph,0.51
1464436,cast - sofia the first,0.55
15227,tim finn,0.5
5842,sidsel endresen,0.46
2095316,hattie briggs,0.47
3315444,maxence luchi,0.3
152816,honeyz,0.5
121873,alberto castillo,0.47
292021,the london pops orchestra,0.46
25507,cute is what we aim for,0.52
1537,gwen guthrie,0.51
1903844,laura williams,0.49
1868202,blackmore s night,0.49
1908550,deep sleep music club,0.46
360204,gold band,0.49
483400,undo,0.39
312852,david nail,0.56
191555,janiva magness,0.46
16466,bobby womack,0.58
145949,keali i reichel,0.46
82204,raised fist,0.51
19157,the tubes,0.5
86224,girl talk,0.5
9900,tk,0.49
3465587,orrin evans kurt rosenwinkel kevin eubanks,0.3
201370,avraham fried,0.46
14697,yann tiersen,0.59
2376626,willamette stone,0.54
27358,chet baker quartet,0.47
1509,lisa loeb nine stories,0.5
2432206,sam ock john rhee feat yuris yoon,0.46
204897,alisha chinai,0.48
