mood,gracenote_mood,id
Aggressive,Aggressive,42958
Angry,Aggressive,42958
Brooding,Brooding,65329
Dark ,Brooding,65329
Cool,Cool,65326
Defiant,Defiant,42951
Easygoing,Easygoing,42946
Relaxing,Easygoing,42946
Mellow,Easygoing,42946
Empowering,Empowering,42945
Energizing ,Energizing ,42961
Energetic ,Energizing ,42961
Rousing ,Energizing ,42961
Excited,Excited,42960
Exciting,Excited,42960
Fiery,Fiery,42953
Gritty ,Gritty ,65327
Lively,Lively,65332
Melancholy,Melancholy,42949
Sad,Melancholy,42949
Unhappy ,Melancholy,42949
Peaceful,Peaceful,65322
Soothing,Peaceful,65322
Calm,Peaceful,65322
Calming,Peaceful,65322
Romantic,Romantic,65323
Rowdy,Rowdy,65330
Sensual,Sensual,42947
Sexy,Sensual,42947
Sentimental,Sentimental,65324
Serious,Serious,65328
Somber,Somber,42948
Depressing,Somber,42948
Sophisticated,Sophisticated,42954
Stirring,Stirring,65331
Tender,Tender,42942
Upbeat,Upbeat,65333
Happy,Upbeat,65333
Cheerful,Upbeat,65333
Urgent,Urgent,42955
Yearning,Yearning,65325
