team,league_name,sport_name,country
Buffalo Bills,NFL,American Football,USA
Miami Dolphins,NFL,American Football,USA
New York Jets,NFL,American Football,USA
New England Patriots,NFL,American Football,USA
Cincinnati Bengals,NFL,American Football,USA
Cleveland Browns,NFL,American Football,USA
Baltimore Ravens,NFL,American Football,USA
Pittsburgh Steelers,NFL,American Football,USA
Indianapolis Colts,NFL,American Football,USA
Jacksonville Jaguars,NFL,American Football,USA
Houston Texans,NFL,American Football,USA
Tennessee Titans,NFL,American Football,USA
Denver Broncos,NFL,American Football,USA
San Diego Chargers,NFL,American Football,USA
Kansas City Chiefs,NFL,American Football,USA
Oakland Raiders,NFL,American Football,USA
Dallas Cowboys,NFL,American Football,USA
Philadelphia Eagles,NFL,American Football,USA
New York Giants,NFL,American Football,USA
Washington Redskins,NFL,American Football,USA
Chicago Bears,NFL,American Football,USA
Detroit Lions,NFL,American Football,USA
Green Bay Packers,NFL,American Football,USA
Minnesota Vikings,NFL,American Football,USA
Tampa Bay Buccaneers,NFL,American Football,USA
Atlanta Falcons,NFL,American Football,USA
Carolina Panthers,NFL,American Football,USA
New Orleans Saints,NFL,American Football,USA
San Francisco 49ers,NFL,American Football,USA
Arizona Cardinals,NFL,American Football,USA
Los Angeles Rams,NFL,American Football,USA
Seattle Seahawks,NFL,American Football,USA
Bills,NFL,American Football,USA
Dolphins,NFL,American Football,USA
Jets,NFL,American Football,USA
Patriots,NFL,American Football,USA
Bengals,NFL,American Football,USA
Browns,NFL,American Football,USA
Ravens,NFL,American Football,USA
Steelers,NFL,American Football,USA
Colts,NFL,American Football,USA
Jaguars,NFL,American Football,USA
Texans,NFL,American Football,USA
Titans,NFL,American Football,USA
Broncos,NFL,American Football,USA
Chargers,NFL,American Football,USA
Chiefs,NFL,American Football,USA
Raiders,NFL,American Football,USA
Cowboys,NFL,American Football,USA
Eagles,NFL,American Football,USA
Giants,NFL,American Football,USA
Redskins,NFL,American Football,USA
Bears,NFL,American Football,USA
Lions,NFL,American Football,USA
Packers,NFL,American Football,USA
Vikings,NFL,American Football,USA
Buccaneers,NFL,American Football,USA
Falcons,NFL,American Football,USA
Panthers,NFL,American Football,USA
Saints,NFL,American Football,USA
49ers,NFL,American Football,USA
Cardinals,NFL,American Football,USA
Rams,NFL,American Football,USA
Seahawks,NFL,American Football,USA
Washington Wizards,NBA,Basketball,USA
Charlotte Hornets,NBA,Basketball,USA
Atlanta Hawks,NBA,Basketball,USA
Miami Heat,NBA,Basketball,USA
Orlando Magic,NBA,Basketball,USA
New York Knicks,NBA,Basketball,USA
Philadelphia 76ers,NBA,Basketball,USA
Brooklyn Nets,NBA,Basketball,USA
Boston Celtics,NBA,Basketball,USA
Toronto Raptors,NBA,Basketball,USA
Chicago Bulls,NBA,Basketball,USA
Cleveland Cavaliers,NBA,Basketball,USA
Indiana Pacers,NBA,Basketball,USA
Detroit Pistons,NBA,Basketball,USA
Milwaukee Bucks,NBA,Basketball,USA
Minnesota Timberwolves,NBA,Basketball,USA
Utah Jazz,NBA,Basketball,USA
Oklahoma City Thunder,NBA,Basketball,USA
Portland Trail Blazers,NBA,Basketball,USA
Denver Nuggets,NBA,Basketball,USA
Memphis Grizzlies,NBA,Basketball,USA
Houston Rockets,NBA,Basketball,USA
New Orleans Pelicans,NBA,Basketball,USA
San Antonio Spurs,NBA,Basketball,USA
Dallas Mavericks,NBA,Basketball,USA
Golden State Warriors,NBA,Basketball,USA
Los Angeles Lakers,NBA,Basketball,USA
Los Angeles Clippers,NBA,Basketball,USA
Phoenix Suns,NBA,Basketball,USA
Sacramento Kings,NBA,Basketball,USA
Wizards,NBA,Basketball,USA
Hornets,NBA,Basketball,USA
Hawks,NBA,Basketball,USA
Heat,NBA,Basketball,USA
Magic,NBA,Basketball,USA
Knicks,NBA,Basketball,USA
76ers,NBA,Basketball,USA
Nets,NBA,Basketball,USA
Celtics,NBA,Basketball,USA
Raptors,NBA,Basketball,USA
Bulls,NBA,Basketball,USA
Cavaliers,NBA,Basketball,USA
Pacers,NBA,Basketball,USA
Pistons,NBA,Basketball,USA
Bucks,NBA,Basketball,USA
Timberwolves,NBA,Basketball,USA
Jazz,NBA,Basketball,USA
Thunder,NBA,Basketball,USA
Trail Blazers,NBA,Basketball,USA
Nuggets,NBA,Basketball,USA
Grizzlies,NBA,Basketball,USA
Rockets,NBA,Basketball,USA
Pelicans,NBA,Basketball,USA
Spurs,NBA,Basketball,USA
Mavericks,NBA,Basketball,USA
Warriors,NBA,Basketball,USA
Lakers,NBA,Basketball,USA
Clippers,NBA,Basketball,USA
Suns,NBA,Basketball,USA
Kings,NBA,Basketball,USA
