name,gracenote_name
CBS,Columbia Broadcasting System
Columbia Broadcasting System,Columbia Broadcasting System
NBC,National Broadcasting Company
National Broadcasting Company,National Broadcasting Company
the peacock network ,National Broadcasting Company
ABC,American Broadcasting Companies
American Broadcasting Companies,American Broadcasting Companies
PBS,Public Broadcasting System
Public Broadcasting System,Public Broadcasting System
public television ,Public Broadcasting System
FOX,Fox Broadcasting Corporation
Fox Broadcasting Corporation,Fox Broadcasting Corporation
The CW,CBS-Warner Network
CW,CBS-Warner Network
3 Angels,3 Angels Broadcasting Network
3 Angels Network ,3 Angels Broadcasting Network
3ABN,3ABN
3ABN Latino,3ABN Latino
Buzzr,Buzzr
CBC,Canadian Broadcasting Corporation
MyNetworkTV,MyNetworkTV
The Works,The Works
10 News 2,10 News 2
24 Hour Weather Radar Special Edit,24 Hour Weather Radar Special Edit
360 TuneBox,360 TuneBox
3ABN Proclaim,3ABN Proclaim
3D EVENTS,3D EVENTS
3D Movies On Demand,3D Movies On Demand
40s on 4,40s on 4
4E,4E
5 StarMAX,5 StarMAX
88 Films,88 Films
88 TV,88 TV
a and e,A&E
A Wealth of Entertainment,A Wealth of Entertainment
A&E,A&E
ABC Family,Freeform
ABC HD On Demand,ABC HD On Demand
ABC Network On Demand,ABC Network On Demand
ABC News Now,ABC News Now
Aboriginal Peoples Television Network East,Aboriginal Peoples Television Network East
Abu Dhabi TV,Abu Dhabi TV
ACADIANA OPEN,ACADIANA OPEN
Access,Access
Access Monterey Peninsula 1,Access Monterey Peninsula 1
Access Monterey Peninsula 2,Access Monterey Peninsula 2
Access Sacramento 18,Access Sacramento 18
AccuWeather ,AccuWeather 
ActionMAX,ActionMAX
ADS,ADS
AFN ,AFN 
AFN Atlantic,AFN Atlantic
AFN Family,AFN Family
AFN Family Delayed Feed,AFN Family Delayed Feed
AFN Movie,AFN Movie
AFN Movie Delayed Feed,AFN Movie Delayed Feed
AFN News,AFN News
AFN Powertalk,AFN Powertalk
AFN Program Guide,AFN Program Guide
AFN Pulse,AFN Pulse
AFN Pulse Delayed Feed,AFN Pulse Delayed Feed
AFN Spectrum,AFN Spectrum
AFN Spectrum Delayed Feed,AFN Spectrum Delayed Feed
AFN Sports,AFN Sports
AFN Sports 2,AFN Sports 2
AFN Sports HD,AFN Sports HD
AFRICA24,AFRICA24
Afrotainment ,Afrotainment 
Afrotainment Music,Afrotainment Music
Afrotainment Plus,Afrotainment Plus
Aghapy TV,Aghapy TV
Akaku Access,Akaku Access
Akaku Community,Akaku Community
Akaku Experimental,Akaku Experimental
Aksyon,Aksyon
Al Arabiya ,Al Arabiya 
Al Jazeera,Al Jazeera
Al Jazeera America,Al Jazeera America
Al Jazeera Arabic,Al Jazeera Arabic
Al Jazeera English,Al Jazeera English
Al Karma TV,Al Karma TV
Al Masriyah,Al Masriyah
Al Tahrir,Al Tahrir
Alaska Rural Communications Service,Alaska Rural Communications Service
Alerta TV Network,Alerta TV Network
ALIVE,ALIVE
ALLENS TV CABLE TIGERVISION,ALLENS TV CABLE TIGERVISION
Allied Telesis Military,Allied Telesis Military
Allied Telesis Military History,Allied Telesis Military History
Almavision,Almavision
Alpha TV,Alpha TV
ALT,ALT
Alt Nation,Alt Nation
altavision,altavision
Altitude Sports ,Altitude Sports 
Always On Storm Team 12,Always On Storm Team 12
Amazing Discoveries,Amazing Discoveries
Ambient HD ,Ambient HD 
AMC,AMC
AMC Entertainment,AMC Entertainment
AMC Movies,AMC Movies
AMEDIA,AMEDIA
American Express,American Express
American Heroes ,American Heroes 
American Life Talk Radio,American Life Talk Radio
american movie classics ,AMC
American Sports Network,American Sports Network
America's Auction Network,America's Auction Network
AMG TV,AMG TV
Angel One,Angel One
Angel Two,Angel Two
Animal Planet ,Animal Planet 
ANIMAL PLANET AUSTRALIA,ANIMAL PLANET AUSTRALIA
Anime Network ,Anime Network 
