tv_genre,gracenote_name
Action,Action
Adventure,Adventure
Biography,Biography
biographies,Biography
biographical,Biography
Comedy,Comedy
comedies,Comedy
funny,Comedy
Crime drama,Crime drama
crime dramas,Crime drama
police,Crime drama
detective,Crime drama
Dark comedy,Dark comedy
dark comedies,Dark comedy
Docudrama,Docudrama
docudramas,Docudrama
Documentary,Documentary
documentaries,Documentary
Drama,Drama
dramas,Drama
Erotic,Erotic
Fantasy,Fantasy
fantasies,Fantasy
Historical drama,Historical drama
historical dramas,Historical drama
Horror,Horror
scary,Horror
Musical,Musical
musicals,Musical
Mystery,Mystery
mysteries,Mystery
Romance,Romance
romantic,Romance
Romantic comedy,Romantic comedy
romantic comedies,Romantic comedy
Science fiction,Science fiction
science fictions ,Science fiction
sci fi,Science fiction
sci-fi,Science fiction
Thriller,Thriller
thrillers,Thriller
War,War
Western,Western
westerns,Western
comedic drama,Comedy drama
Musical comedy,Musical comedy
musical comedies,Musical comedy
Adults only,Adults only
Aerobics,Aerobics
aerobic,Aerobics
Agriculture,Agriculture
Animals,Animals
animal,Animals
pets,Animals
wildlife ,Animals
Animated,Animated
animation,Animated
animations,Animated
cartoon ,Animated
cartoons,Animated
Anime,Anime
Anthology,Anthology
anthologies,Anthology
Archery,Archery
Arm wrestling,Arm wrestling
Art,Art
arts and crafts,Arts/crafts
crafts,Arts/crafts
Auction,Auction
Auto,Auto
automobile,Auto
car,Auto
cars,Auto
Auto racing,Auto racing
car racing ,Auto racing
racing,Auto racing
NASCAR,Auto racing
Aviation,Aviation
Awards,Awards
award,Awards
Badminton,Badminton
Ballet,Ballet
Baseball,Baseball
Basketball,Basketball
Beach soccer,Beach soccer
Beach volleyball,Beach volleyball
Biathlon,Biathlon
Bicycle,Bicycle
Bicycle racing,Bicycle racing
bike racing ,Bicycle racing
Billiards,Billiards
Blackjack,Blackjack
Boat,Boat
Boat racing,Boat racing
Bobsled,Bobsled
bobsledding,Bobsled
Bodybuilding,Bodybuilding
Bowling,Bowling
Boxing,Boxing
Bullfighting,Bullfighting
business,Bus./financial
financial,Bus./financial
finance,Bus./financial
Canoe,Canoe
Card games,Card games
Cheerleading,Cheerleading
Children,Children
childrens,Children
children's,Children
child-friendly,Children
child friendly,Children
kids,Children
kid's,Children
kid friendly,Children
kid-friendly,Children
family friendly,Children
