weather_condition,value
rain,rain
sunny,sunny
windy,windy
need a coat,coat
need coat,coat
coat,coat
snow,snow
cloudy,cloudy
forecast,sunny
Snowing,Snow
Need an umbrella,umbrella
snowy,snow
rainy,rain
hot,temperature
Temperature,temperature
high temperature,temperature
raining,rain
warm,temperature
Sunny day,sunny
weather report,weather
cold,temperature
sunshine,sunny
STORM,storm
hottest,temperature
Heavy storm,storm
fog,fog
rainy weather,rain
Weather forecast,rain
pleasant,weather
Rainfall,rain
Sky clear,sky
wind conditons,windy
Thunderstorm,thunderstorm
Hurricane,Hurricane
freezing,temperature
Maximum temperature,temperature
cold,temperature
umbrella,umbrella
thunderstorms,thunderstorm
winter weather,temperature
dew point,dew
Tsunami,tsunami
humidity,humidity
rainy day,rain
Weather,weather
tornadoes,tornado
sunny days,sunny
strong winds,windy
hail,hail
rains,rain
blizzard,snowstorm
tornado,tornado
Flood,flood
Extreme heat,temperature
sleet,sleet
smog,smog
hurricanes,Hurricane
floods,flood
Hurricanes,Hurricane
cold,temperature
storms,storm
all weather,weather
1 inch of snow or more,snow
snows,snow
tornado warnings,tornado
Snow weather,snow
dust storms,storm
Thunder Storms,thunderstorm
degrees,temperature
tornado warning,tornado
High winds,windy
sunset,sunset
sun set,sunset
sun setting,sunset
sunrise,sunrise
sun rise,sunrise
sun rising,sunrise
sun going to set,sunset
sun going to rise,sunrise
present weather,weather
current weather,weather
latest weather,weather
local weather,weather
recent weather,weather
