full_name
Dwayne Johnson
Rachel Brown
Karen Bardsley
Donna Auguste
Henriette Avram
Ruzena Bajcsy
Tiger Woods
Valerie Solanas
Deval Patrick
Elena Kagan
Sonia Sotomayor
John Paul Stevens
Ruth Bader Ginsburg
Stephen Breyer
Sandra Day O'Connor
Samuel Alito
Clarence Thomas
John Roberts
Antonin Scalia
Anthony Kennedy
Nelson Rockefeller
David Rockefeller
Farciot Edouart
Edmund H. Hansen
John Gaeta
John Knoll
David DeCoteau
Karl Brown
Louis King
Kevin Yagher
Joseph Zito
Jack Sholder
Jean Bartik
Francine Berman
Danielle Bunten Berry
Serena Williams
Anita Borg
Maxine D. Brown
Jennifer Tour Chayes
Lynn Conway
Danese Cooper
Pamela Kyle Crossley
Dorothy E. Denning
Venus Williams
Annie Easley
Thelma Estrin
Jeanne Ferrante
Phyllis Fox
John Adair
Charlotte Froese Fischer
Susan Gerhart
Stan Coveleski
Adele Goldberg
"Jon Huntsman, Jr."
Shafrira Goldwasser
Susan L. Graham
Harry S. Truman
Diane Greene
Sheila Greibach
Aaliyah
Nancy Davis Griffeth
Rebecca Grinter
Lois Haibt
Ashawna Hailey
Black Francis
Margaret Hamilton
Betty Holberton
Judy Garland
Molly Holzschlag
Grace Hopper
Ayanna Howard
Cathy Hudgins
Mary Jane Irwin
Nikki Haley
Mark Sanford
Jim Hodges
David Beasley
"Carroll A. Campbell, Jr."
Andrew Cuomo
David Paterson
Eliot Spitzer
George Pataki
Lindsay Davenport
Jennifer Capriati
Leah Jamieson
John Boehner
Katherine Johnson
Lynne Jolitz
Anna Karlin
Lydia Kavraki
Mary Kenneth Keller
Daphne Koller
Janet L. Kolodner
Monica S. Lam
Susan Landau
Amy L. Lansky
Corinna E. Lathan
Nancy Leveson
Ming C. Lin
Joyce Currie Little
Kevin Mitnick
Mildred Cohn
Catherine Coleman
Mary Peters Fieser
Joanna S. Fowler
Helen Murray Free
Louise Giblin
Mary L. Good
Anna J. Harrison
Jane Stafford
Allene Jeanes
Joyce Jacobson Kaufman
Ann A. Kiessling
Stephanie L. Kwolek
Carmen Hermosillo
